"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"10:20:00 02/02/1984",NA,NA,NA,NA,NA,NA,80,65,NA,NA,10.5,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,65,9.5,65,NA,NA
"10:20:00 05/09/1984",NA,NA,NA,NA,NA,NA,76,65,NA,NA,12.3,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,65,5.6,65,NA,NA
"10:20:00 06/05/1983",NA,NA,NA,NA,NA,NA,100,65,NA,NA,11.1,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,8.8,65,NA,NA
"10:20:00 15/07/1982",NA,NA,NA,NA,NA,NA,84,65,NA,NA,12.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,5.4,65,NA,NA
"10:20:00 23/08/1977",NA,NA,NA,NA,NA,NA,62,65,NA,NA,9.7,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,65,7,65,NA,NA
"10:25:00 02/05/1984",NA,NA,NA,NA,NA,NA,79,65,NA,NA,10.2,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,10.2,65,NA,NA
"10:25:00 06/10/1980",NA,NA,NA,NA,NA,NA,75,65,NA,NA,11,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,65,9.9,65,NA,NA
"10:25:00 09/12/1981",NA,NA,NA,NA,NA,NA,63,65,NA,NA,NA,180,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,13,65,NA,NA
"10:25:00 11/01/1979",NA,NA,NA,NA,NA,NA,65,65,NA,NA,9.8,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,65,14.8,65,NA,NA
"10:25:00 16/10/1984",NA,NA,NA,NA,NA,NA,85,65,NA,NA,9.9,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,65,10,65,NA,NA
