"Date","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","IronasFe","IronasFe_Qual","ManganeseasMn","ManganeseasMn_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"13:45:00 11/09/1980",35,65,NA,NA,NA,NA,10.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,65,10,65,NA,NA
"13:45:00 13/07/1987",46,65,NA,NA,NA,NA,12.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,5,65,NA,NA
"13:45:00 19/02/1998",NA,NA,108,1,8.9,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,3,1,0.003,1,5,1,NA,NA,NA,NA,7.79,1
"13:50:00 02/08/1979",50,65,NA,NA,NA,NA,11.2,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,7,65,NA,NA
"13:50:00 04/02/1986",65,65,NA,NA,NA,NA,8.9,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,20.5,65,NA,NA
"13:50:00 05/08/1977",38,65,NA,NA,NA,NA,NA,180,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,65,8,65,NA,NA
"13:50:00 10/09/1985",45,65,NA,NA,NA,NA,11,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,9,65,NA,NA
"14:00:00 02/02/1978",120,65,NA,NA,NA,NA,6.9,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,65,25.8,65,NA,NA
"14:00:00 02/09/1981",38,65,NA,NA,NA,NA,10.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,65,9.5,65,NA,NA
"14:00:00 06/10/1977",57,65,NA,NA,NA,NA,10.3,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,65,12.5,65,NA,NA
"14:00:00 07/01/1986",52,65,NA,NA,NA,NA,NA,180,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,19.5,65,NA,NA
"14:00:00 07/11/1979",49,65,NA,NA,NA,NA,9.5,65,8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,15,65,NA,NA
"14:00:00 16/03/1977",45,65,NA,NA,NA,NA,8.6,65,9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,65,19.5,65,NA,NA
"14:05:00 03/05/1978",96,65,NA,NA,NA,NA,11.1,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,11,65,NA,NA
"14:10:00 01/06/1983",31,65,NA,NA,NA,NA,NA,180,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,10,65,NA,NA
"14:10:00 02/06/1981",63,65,NA,NA,NA,NA,10.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,10,65,NA,NA
"14:10:00 04/06/1979",63,65,NA,NA,NA,NA,13.3,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,65,6,65,NA,NA
"14:10:00 04/09/1984",33,65,NA,NA,NA,NA,9.9,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,65,9,65,NA,NA
