"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"07:00:00 14/11/2007",NA,NA,NA,NA,NA,NA,NA,NA,18,65,55,65,NA,NA,NA,NA,NA,NA,9.3,65,7,65,0.003,65,0.15,65,NA,NA,NA,NA,NA,NA,0.19,65,0.01,65,4,65,7.2,65,12.5,65,NA,NA,NA,NA
"07:00:00 27/02/2008",NA,NA,NA,NA,NA,NA,NA,NA,14,65,49,65,NA,NA,NA,NA,NA,NA,9.3,65,7.3,65,0.003,65,0.14,65,NA,NA,NA,NA,NA,NA,0.15,65,0.005,65,5,65,3.4,65,16.7,65,NA,NA,NA,NA
"07:15:00 21/11/2017",NA,NA,NA,NA,NA,NA,NA,NA,8,1,52,1,NA,NA,NA,NA,NA,NA,9.7,1,7.1,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.17,1,0.006,1,3,1,2.4,1,15.6,1,NA,NA,NA,NA
"07:20:00 20/10/2009",NA,NA,NA,NA,NA,NA,NA,NA,20,1,42.6,1,NA,NA,NA,NA,NA,NA,10.6,1,7.1,1,0.003,1,0.05,1,NA,NA,NA,NA,NA,NA,0.241,1,0.005,1,1,1,2.8,1,9.5,1,NA,NA,NA,NA
"07:20:00 22/02/2012",NA,NA,NA,NA,NA,NA,NA,NA,20,1,55,1,NA,NA,NA,NA,NA,NA,10,1,6.9,1,0.004,1,0.14,1,NA,NA,NA,NA,NA,NA,0.13,1,0.005,1,2,1,3,1,16.1,1,NA,NA,NA,NA
"07:25:00 17/02/2010",NA,NA,NA,NA,NA,NA,NA,NA,30,1,54.3,1,NA,NA,NA,NA,NA,NA,9.1,1,7.1,1,0.001,1,0.13,1,NA,NA,NA,NA,NA,NA,0.099,1,0.022,1,1,1,4.3,1,16,1,NA,NA,NA,NA
"07:30:00 04/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,8,65,45,65,NA,NA,NA,NA,NA,NA,9.2,65,7.2,65,0.003,65,0.13,65,NA,NA,NA,NA,NA,NA,0.08,65,0.007,65,2,65,1.7,65,18,65,NA,NA,NA,NA
"07:30:00 19/11/2009",NA,NA,NA,NA,NA,NA,NA,NA,10,1,47.2,1,NA,NA,NA,NA,NA,NA,9.4,1,7,1,0.001,1,0.15,1,NA,NA,NA,NA,NA,NA,0.087,1,0.005,1,2,1,4,1,19.2,1,NA,NA,NA,NA
"07:35:00 14/02/2001",NA,NA,NA,NA,NA,NA,NA,NA,10,65,45,65,NA,NA,NA,NA,NA,NA,9,65,7.3,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.17,65,0.01,65,4,65,1.3,65,15.5,65,NA,NA,NA,NA
"07:35:00 15/10/2008",NA,NA,NA,NA,NA,NA,NA,NA,17,65,84,65,NA,NA,NA,NA,NA,NA,11.1,65,7.1,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.21,65,0.007,65,2,65,3.7,65,10,65,NA,NA,NA,NA
"07:35:00 18/02/2009",NA,NA,NA,NA,NA,NA,NA,NA,13,65,51,65,NA,NA,NA,NA,NA,NA,9,65,7.2,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.15,65,0.01,65,2,65,2.3,65,16,65,NA,NA,NA,NA
"07:45:00 04/12/1997",NA,NA,NA,NA,NA,NA,NA,NA,10,65,51,65,NA,NA,NA,NA,NA,NA,9.2,65,6.7,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.11,65,0.007,65,2,65,1.5,65,15.5,65,NA,NA,NA,NA
"07:45:00 18/12/2018",NA,NA,NA,NA,NA,NA,NA,NA,12,1,46,1,NA,NA,NA,NA,NA,NA,9.61,1,7.27,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.18,1,0.005,1,2,1,1.7,1,15.7,1,NA,NA,NA,NA
"08:00:00 17/10/2007",NA,NA,NA,NA,NA,NA,NA,NA,16,65,51,65,NA,NA,NA,NA,NA,NA,12,65,6.7,65,0.003,65,0.05,65,NA,NA,NA,NA,NA,NA,0.11,65,0.01,65,5,65,6,65,9.5,65,NA,NA,NA,NA
"08:00:00 17/11/2015",NA,NA,NA,NA,NA,NA,NA,NA,8,1,47,1,NA,NA,NA,NA,NA,NA,9.9,1,7.3,1,0.005,1,0.11,1,NA,NA,NA,NA,NA,NA,0.16,1,0.006,1,2,1,2,1,15,1,NA,NA,NA,NA
"08:15:00 06/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,7,65,47,65,NA,NA,NA,NA,NA,NA,9.8,65,7.1,65,0.003,65,0.14,65,NA,NA,NA,NA,NA,NA,0.08,65,0.01,65,2,65,2.7,65,13,65,NA,NA,NA,NA
"08:15:00 09/05/2002",NA,NA,NA,NA,NA,NA,NA,NA,10,65,51,65,NA,NA,NA,NA,NA,NA,9.9,65,6.4,65,0.003,65,0.07,65,NA,NA,NA,NA,NA,NA,0.14,65,0.005,65,1,65,0.8,65,13.5,65,NA,NA,NA,NA
"08:15:00 16/02/2011",NA,NA,NA,NA,NA,NA,NA,NA,20,1,52,1,NA,NA,NA,NA,NA,NA,9.3,1,7.3,1,0.003,1,0.13,1,NA,NA,NA,NA,NA,NA,0.12,1,0.01,1,2,1,2.5,1,17.5,1,NA,NA,NA,NA
"08:20:00 17/07/2007",NA,NA,NA,NA,NA,NA,NA,NA,25,65,64,65,NA,NA,NA,NA,NA,NA,11.9,65,6.5,65,0.004,65,0.14,65,NA,NA,NA,NA,NA,NA,0.2,65,0.01,65,1,65,8.9,65,6.9,65,NA,NA,NA,NA
"08:20:00 19/04/2012",NA,NA,NA,NA,NA,NA,NA,NA,22,1,50,1,NA,NA,NA,NA,NA,NA,10,1,7,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.17,1,0.005,1,3,1,2.6,1,14,1,NA,NA,NA,NA
"08:20:00 26/06/2007",NA,NA,NA,NA,NA,NA,NA,NA,18,65,57,65,NA,NA,NA,NA,NA,NA,11.9,65,6.7,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.17,65,0.009,65,5,65,7.5,65,7,65,NA,NA,NA,NA
"08:30:00 11/04/2007",NA,NA,NA,NA,NA,NA,NA,NA,14,65,49,65,NA,NA,NA,NA,NA,NA,9.3,65,6.7,65,0.003,65,0.19,65,NA,NA,NA,NA,NA,NA,0.11,65,0.02,65,1,65,4.2,65,15.5,65,NA,NA,NA,NA
"08:30:00 17/08/2011",NA,NA,NA,NA,NA,NA,NA,NA,20,1,62,1,NA,NA,NA,NA,NA,NA,11.1,1,7,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.26,1,0.005,1,2,1,6.4,1,9,1,NA,NA,NA,NA
"08:30:00 18/07/2012",NA,NA,NA,NA,NA,NA,NA,NA,18,1,62,1,NA,NA,NA,NA,NA,NA,11.2,1,7,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.24,1,0.008,1,3,1,2.9,1,8,1,NA,NA,NA,NA
"08:30:00 19/12/2001",NA,NA,NA,NA,NA,NA,NA,NA,14,65,38,65,NA,NA,NA,NA,NA,NA,9.7,65,6.9,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.15,65,0.007,65,7,65,1.1,65,14,65,NA,NA,NA,NA
"08:30:00 24/09/2019",NA,NA,NA,NA,NA,NA,NA,NA,20,1,54,1,NA,NA,NA,NA,NA,NA,11.42,1,6.82,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.27,1,0.007,1,2,1,1.9,1,9.2,1,NA,NA,NA,NA
"08:30:00 29/07/2009",NA,NA,NA,NA,NA,NA,NA,NA,15,1,69.7,1,NA,NA,NA,NA,NA,NA,12.8,1,7,1,0.008,1,0.05,1,NA,NA,NA,NA,NA,NA,0.2,1,0.005,1,1,1,2.9,1,8.7,1,NA,NA,NA,NA
"08:35:00 09/09/1999",NA,NA,NA,NA,NA,NA,NA,NA,18,65,65,65,NA,NA,NA,NA,NA,NA,11.1,65,7,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.17,65,0.006,65,2,65,2.1,65,8,65,NA,NA,NA,NA
"08:45:00 16/08/2001",NA,NA,NA,NA,NA,NA,NA,NA,14,65,60,65,NA,NA,NA,NA,NA,NA,11.2,65,7.2,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.17,65,0.01,65,1,65,1.4,65,10.5,65,NA,NA,NA,NA
"09:00:00 04/06/1998",NA,NA,NA,NA,NA,NA,NA,NA,10,65,50,65,NA,NA,NA,NA,NA,NA,11,65,6.6,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.09,65,0.005,65,2,65,2.1,65,9.5,65,NA,NA,NA,NA
"09:00:00 04/12/1995",NA,NA,NA,NA,NA,NA,NA,NA,14,65,47,65,NA,NA,NA,NA,NA,NA,10.6,65,6.2,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.19,65,0.005,65,2,65,1.2,65,12.5,65,NA,NA,NA,NA
"09:00:00 13/11/1997",NA,NA,NA,NA,NA,NA,NA,NA,11,65,43,65,NA,NA,NA,NA,NA,NA,9.6,65,7.1,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.13,65,0.007,65,2,65,1.8,65,13,65,NA,NA,NA,NA
"09:00:00 16/07/2019",NA,NA,NA,NA,NA,NA,NA,NA,35,1,75,1,NA,NA,NA,NA,NA,NA,11.35,1,7.17,1,0.003,1,0.17,1,NA,NA,NA,NA,NA,NA,0.5,1,0.018,1,2,1,6.4,1,8,1,NA,NA,NA,NA
"09:05:00 14/01/2009",NA,NA,NA,NA,NA,NA,NA,NA,13,65,47,65,NA,NA,NA,NA,NA,NA,9.1,65,7.2,65,0.003,65,0.13,65,NA,NA,NA,NA,NA,NA,0.11,65,0.005,65,2,65,3.8,65,18.5,65,NA,NA,NA,NA
"09:10:00 26/07/2001",NA,NA,NA,NA,NA,NA,NA,NA,25,65,68,65,NA,NA,NA,NA,NA,NA,10.9,65,7.3,65,0.01,65,0.07,65,NA,NA,NA,NA,NA,NA,0.17,65,0.01,65,1,65,1.5,65,8.5,65,NA,NA,NA,NA
"09:10:00 26/11/2004",NA,NA,NA,NA,NA,NA,NA,NA,18,65,49,65,NA,NA,NA,NA,NA,NA,10.7,65,6.9,65,0.003,65,0.14,65,NA,NA,NA,NA,NA,NA,0.15,65,0.008,65,4,65,3.4,65,14.3,65,NA,NA,NA,NA
"09:15:00 15/05/2007",NA,NA,NA,NA,NA,NA,NA,NA,11,65,48,65,NA,NA,NA,NA,NA,NA,9.9,65,7.3,65,0.003,65,0.06,65,NA,NA,NA,NA,NA,NA,0.13,65,0.03,65,2,65,2.4,65,13.4,65,NA,NA,NA,NA
"09:25:00 14/02/2002",NA,NA,NA,NA,NA,NA,NA,NA,16,65,51,65,NA,NA,NA,NA,NA,NA,9.6,65,6.9,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.13,65,0.006,65,1,65,2,65,16,65,NA,NA,NA,NA
"09:35:00 10/12/2008",NA,NA,NA,NA,NA,NA,NA,NA,17,65,48,65,NA,NA,NA,NA,NA,NA,9.2,65,7.2,65,0.003,65,0.13,65,NA,NA,NA,NA,NA,NA,0.17,65,0.01,65,2,65,2.5,65,15,65,NA,NA,NA,NA
"09:40:00 20/02/2013",NA,NA,NA,NA,NA,NA,NA,NA,18,1,55,1,NA,NA,NA,NA,NA,NA,9.7,1,6.9,1,0.003,1,0.16,1,NA,NA,NA,NA,NA,NA,0.13,1,0.007,1,2,1,2.6,1,18,1,NA,NA,NA,NA
"09:45:00 02/09/1998",NA,NA,NA,NA,NA,NA,NA,NA,8,65,56,65,NA,NA,NA,NA,NA,NA,10.4,65,7.2,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.16,65,0.005,65,2,65,1.3,65,11,65,NA,NA,NA,NA
"09:45:00 29/03/2001",NA,NA,NA,NA,NA,NA,NA,NA,14,65,56,65,NA,NA,NA,NA,NA,NA,9.6,65,7.2,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.12,65,0.008,65,1,65,1.6,65,14.5,65,NA,NA,NA,NA
"09:50:00 04/05/2000",NA,NA,NA,NA,NA,NA,NA,NA,14,65,32,65,NA,NA,NA,NA,NA,NA,9.6,65,6.7,65,0.003,65,0.17,65,NA,NA,NA,NA,NA,NA,0.14,65,0.01,65,4,65,1.4,65,14.5,65,NA,NA,NA,NA
"09:50:00 07/01/1999",NA,NA,NA,NA,NA,NA,NA,NA,15,65,55,65,NA,NA,NA,NA,NA,NA,8.8,65,7.1,65,0.003,65,0.18,65,NA,NA,NA,NA,NA,NA,0.13,65,0.006,65,3,65,1.6,65,18.5,65,NA,NA,NA,NA
"09:50:00 25/07/2002",NA,NA,NA,NA,NA,NA,NA,NA,12,65,69,65,NA,NA,NA,NA,NA,NA,10.3,65,7.4,65,0.004,65,0.09,65,NA,NA,NA,NA,NA,NA,0.18,65,0.005,65,2,65,1.6,65,6.5,65,NA,NA,NA,NA
"09:55:00 06/09/2001",NA,NA,NA,NA,NA,NA,NA,NA,16,65,58,65,NA,NA,NA,NA,NA,NA,10.9,65,6.6,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.16,65,0.02,65,1,65,1.5,65,8,65,NA,NA,NA,NA
"10:00:00 07/08/1997",NA,NA,NA,NA,NA,NA,NA,NA,10,65,53,65,NA,NA,NA,NA,NA,NA,11.2,65,7.6,65,0.004,65,0.3,65,NA,NA,NA,NA,NA,NA,0.17,65,0.008,65,2,65,1.3,65,10,65,NA,NA,NA,NA
"10:00:00 13/04/2000",NA,NA,NA,NA,NA,NA,NA,NA,12,65,35,65,NA,NA,NA,NA,NA,NA,10,65,7,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.12,65,0.006,65,1,65,2,65,15,65,NA,NA,NA,NA
"10:00:00 26/07/2000",NA,NA,NA,NA,NA,NA,NA,NA,30,65,33,65,NA,NA,NA,NA,NA,NA,11.6,65,7.3,65,0.003,65,0.28,65,NA,NA,NA,NA,NA,NA,0.18,65,0.008,65,4,65,3.4,65,8,65,NA,NA,NA,NA
"10:05:00 12/11/2008",NA,NA,NA,NA,NA,NA,NA,NA,12,65,51,65,NA,NA,NA,NA,NA,NA,8.8,65,7.4,65,0.003,65,0.14,65,NA,NA,NA,NA,NA,NA,0.19,65,0.008,65,2,65,2.5,65,17,65,NA,NA,NA,NA
"10:10:00 05/07/1995",NA,NA,NA,NA,NA,NA,NA,NA,20,65,47,65,NA,NA,NA,NA,NA,NA,12,65,6.9,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.14,65,0.007,65,3,65,1.7,65,8,65,NA,NA,NA,NA
"10:15:00 23/11/2000",NA,NA,NA,NA,NA,NA,NA,NA,14,65,46,65,NA,NA,NA,NA,NA,NA,9.7,65,7.1,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.19,65,0.006,65,2,65,1.7,65,14,65,NA,NA,NA,NA
"10:20:00 20/06/2002",NA,NA,NA,NA,NA,NA,NA,NA,16,65,58,65,NA,NA,NA,NA,NA,NA,10.4,65,6.5,65,0.003,65,0.04,65,NA,NA,NA,NA,NA,NA,0.16,65,0.005,65,2,65,1,65,9,65,NA,NA,NA,NA
"10:23:00 18/11/2003",NA,NA,NA,NA,NA,NA,NA,NA,20,65,50,65,NA,NA,NA,NA,NA,NA,10.3,65,7.2,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.18,65,0.005,65,1,65,NA,NA,13.5,65,NA,NA,NA,NA
"10:25:00 01/12/1993",NA,NA,NA,NA,NA,NA,NA,NA,5,65,54,65,NA,NA,NA,NA,NA,NA,10,65,7.1,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.12,65,0.005,65,2,65,2,65,14.5,65,NA,NA,NA,NA
"10:30:00 01/12/1994",NA,NA,NA,NA,NA,NA,NA,NA,5,65,46,65,NA,NA,NA,NA,NA,NA,10.2,65,7.3,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.11,65,0.006,65,9,65,1.3,65,14.3,65,NA,NA,NA,NA
"10:30:00 02/01/2002",NA,NA,NA,NA,NA,NA,NA,NA,25,65,49,65,NA,NA,NA,NA,NA,NA,9.4,65,7,65,0.005,65,0.19,65,NA,NA,NA,NA,NA,NA,0.13,65,0.01,65,2,65,1.8,65,15,65,NA,NA,NA,NA
"10:30:00 03/01/1995",NA,NA,NA,NA,NA,NA,NA,NA,10,65,58,65,NA,NA,NA,NA,NA,NA,9.6,65,6.9,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.11,65,0.005,65,5,65,1.5,65,16.5,65,NA,NA,NA,NA
"10:30:00 03/03/1997",NA,NA,NA,NA,NA,NA,NA,NA,7,65,140,65,NA,NA,NA,NA,NA,NA,10.6,65,7,65,0.003,65,0.06,65,NA,NA,NA,NA,NA,NA,0.13,65,0.005,65,2,65,0.8,65,14.5,65,NA,NA,NA,NA
"10:30:00 03/12/1990",NA,NA,NA,NA,NA,NA,NA,NA,15,65,55,65,NA,NA,NA,NA,NA,NA,9,65,6.5,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.11,65,0.005,65,2,65,1.2,65,16,65,NA,NA,NA,NA
"10:30:00 04/08/1992",NA,NA,NA,NA,NA,NA,NA,NA,10,65,61,65,NA,NA,NA,NA,NA,NA,10.4,65,7.5,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.14,65,0.005,65,4,65,1.4,65,7.5,65,NA,NA,NA,NA
"10:30:00 05/01/2000",NA,NA,NA,NA,NA,NA,NA,NA,40,65,40,65,NA,NA,NA,NA,NA,NA,10.8,65,7.3,65,0.003,65,0.21,65,NA,NA,NA,NA,NA,NA,0.14,65,0.01,65,12,65,5,65,14,65,NA,NA,NA,NA
"10:30:00 05/02/1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,65,NA,NA,NA,NA,NA,NA,9.6,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,15.5,65,NA,NA,NA,NA
"10:30:00 06/05/1999",NA,NA,NA,NA,NA,NA,NA,NA,12,65,51,65,NA,NA,NA,NA,NA,NA,10.8,65,8.2,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.14,65,0.005,65,4,65,1.6,65,11,65,NA,NA,NA,NA
"10:30:00 07/01/1991",NA,NA,NA,NA,NA,NA,NA,NA,15,65,60,65,NA,NA,NA,NA,NA,NA,10,65,7.3,65,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.1,65,0.006,65,3,65,1.5,65,17,65,NA,NA,NA,NA
"10:30:00 10/02/1997",NA,NA,NA,NA,NA,NA,NA,NA,4,65,47,65,NA,NA,NA,NA,NA,NA,9.8,65,6.8,65,0.003,65,0.15,65,NA,NA,NA,NA,NA,NA,0.13,65,0.007,65,3,65,1.3,65,16,65,NA,NA,NA,NA
"10:30:00 13/02/1991",NA,NA,NA,NA,NA,NA,NA,NA,15,65,58,65,NA,NA,NA,NA,NA,NA,8.3,65,6.1,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.09,65,0.006,65,1,65,1.3,65,17.5,65,NA,NA,NA,NA
"10:30:00 17/07/2008",NA,NA,NA,NA,NA,NA,NA,NA,13,65,60,65,NA,NA,NA,NA,NA,NA,11.2,65,6.7,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.21,65,0.005,65,2,65,3.7,65,7.5,65,NA,NA,NA,NA
"10:30:00 18/09/2008",NA,NA,NA,NA,NA,NA,NA,NA,30,65,52,65,NA,NA,NA,NA,NA,NA,12,65,7.2,65,0.003,65,0.16,65,NA,NA,NA,NA,NA,NA,0.01,65,0.006,65,2,65,2.4,65,8,65,NA,NA,NA,NA
"10:30:00 19/03/2008",NA,NA,NA,NA,NA,NA,NA,NA,14,65,49,65,NA,NA,NA,NA,NA,NA,9.9,65,7.4,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.15,65,0.005,65,4,65,2,65,18.5,65,NA,NA,NA,NA
"10:35:00 07/09/2000",NA,NA,NA,NA,NA,NA,NA,NA,14,65,80,65,NA,NA,NA,NA,NA,NA,11,65,7.6,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.18,65,0.005,65,2,65,2.2,65,8,65,NA,NA,NA,NA
"10:35:00 17/06/1999",NA,NA,NA,NA,NA,NA,NA,NA,15,65,50,65,NA,NA,NA,NA,NA,NA,12,65,7.4,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.14,65,0.005,65,4,65,1.7,65,5.5,65,NA,NA,NA,NA
"10:40:00 08/06/1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,65,NA,NA,NA,NA,NA,NA,9.6,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,65,10,65,NA,NA,NA,NA
"10:40:00 09/12/1998",NA,NA,NA,NA,NA,NA,NA,NA,15,65,55,65,NA,NA,NA,NA,NA,NA,9.4,65,7.2,65,0.003,65,0.13,65,NA,NA,NA,NA,NA,NA,0.14,65,0.006,65,2,65,1.5,65,16.5,65,NA,NA,NA,NA
"10:40:00 14/06/2001",NA,NA,NA,NA,NA,NA,NA,NA,20,65,50,65,NA,NA,NA,NA,NA,NA,11.2,65,7.5,65,0.003,65,0.14,65,NA,NA,NA,NA,NA,NA,0.16,65,0.04,65,5,65,1.6,65,6.5,65,NA,NA,NA,NA
"10:40:00 22/05/2008",NA,NA,NA,NA,NA,NA,NA,NA,14,65,55,65,NA,NA,NA,NA,NA,NA,11.6,65,7.5,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.19,65,0.005,65,4,65,3.4,65,10.8,65,NA,NA,NA,NA
"10:40:00 28/09/2016",NA,NA,NA,NA,NA,NA,NA,NA,20,1,53,1,NA,NA,NA,NA,NA,NA,11.3,1,6.8,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.2,1,0.007,1,2,1,2.8,1,10.5,1,NA,NA,NA,NA
"10:45:00 01/02/1995",NA,NA,NA,NA,NA,NA,NA,NA,10,65,61,65,NA,NA,NA,NA,NA,NA,9.1,65,7.4,65,0.004,65,0.1,65,NA,NA,NA,NA,NA,NA,0.1,65,0.007,65,2,65,1.3,65,18,65,NA,NA,NA,NA
"10:45:00 01/03/1994",NA,NA,NA,NA,NA,NA,NA,NA,10,65,59,65,NA,NA,NA,NA,NA,NA,9.8,65,7.2,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.11,65,0.01,65,3,65,2,65,14.7,65,NA,NA,NA,NA
"10:45:00 02/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,13,65,61,65,NA,NA,NA,NA,NA,NA,10,65,6.9,65,0.004,65,0.2,65,NA,NA,NA,NA,NA,NA,0.21,65,0.01,65,5,65,1,65,12.5,65,NA,NA,NA,NA
"10:45:00 05/02/1996",NA,NA,NA,NA,NA,NA,NA,NA,13,65,50,65,NA,NA,NA,NA,NA,NA,11.6,65,7.2,65,0.004,65,0.1,65,NA,NA,NA,NA,NA,NA,0.14,65,0.01,65,3,65,1.5,65,13.5,65,NA,NA,NA,NA
"10:45:00 07/01/1998",NA,NA,NA,NA,NA,NA,NA,NA,6,65,49,65,NA,NA,NA,NA,NA,NA,8.8,65,7.4,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.12,65,0.008,65,2,65,2,65,20,65,NA,NA,NA,NA
"10:45:00 12/10/2000",NA,NA,NA,NA,NA,NA,NA,NA,25,65,49,65,NA,NA,NA,NA,NA,NA,10.4,65,6.9,65,0.003,65,0.07,65,NA,NA,NA,NA,NA,NA,0.17,65,0.008,65,2,65,1.7,65,10.5,65,NA,NA,NA,NA
"10:50:00 05/03/1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,65,NA,NA,NA,NA,NA,NA,9,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,65,18.5,65,NA,NA,NA,NA
"10:50:00 17/04/2008",NA,NA,NA,NA,NA,NA,NA,NA,12,65,51,65,NA,NA,NA,NA,NA,NA,9.9,65,6.7,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.17,65,0.005,65,2,65,2.9,65,13.5,65,NA,NA,NA,NA
"10:55:00 03/05/2001",NA,NA,NA,NA,NA,NA,NA,NA,12,65,52,65,NA,NA,NA,NA,NA,NA,9.8,65,7.5,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.14,65,0.005,65,1,65,1.6,65,13,65,NA,NA,NA,NA
"11:00:00 02/10/1990",NA,NA,NA,NA,NA,NA,NA,NA,10,65,65,65,NA,NA,NA,NA,NA,NA,10.2,65,6.5,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.12,65,0.005,65,2,65,2.8,65,10.5,65,NA,NA,NA,NA
"11:00:00 03/01/1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,65,NA,NA,NA,NA,NA,NA,9,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,19,65,NA,NA,NA,NA
"11:00:00 05/06/2000",NA,NA,NA,NA,NA,NA,NA,NA,40,65,94,65,NA,NA,NA,NA,NA,NA,10.1,65,7.3,65,0.01,65,0.68,65,NA,NA,NA,NA,NA,NA,0.16,65,0.05,65,8,65,2.2,65,10,65,NA,NA,NA,NA
"11:00:00 06/08/1998",NA,NA,NA,NA,NA,NA,NA,NA,14,65,51,65,NA,NA,NA,NA,NA,NA,11,65,6.7,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.14,65,0.01,65,2,65,1.4,65,8,65,NA,NA,NA,NA
"11:00:00 13/11/1995",NA,NA,NA,NA,NA,NA,NA,NA,13,65,61,65,NA,NA,NA,NA,NA,NA,10.8,65,5.7,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.17,65,0.005,65,2,65,2.9,65,12,65,NA,NA,NA,NA
"11:00:00 20/11/2018",NA,NA,NA,NA,NA,NA,NA,NA,10,1,47,1,NA,NA,NA,NA,NA,NA,9.65,1,7.4,1,0.003,1,0.05,1,NA,NA,NA,NA,NA,NA,0.2,1,0.006,1,2,1,1.3,1,15.9,1,NA,NA,NA,NA
"11:10:00 04/06/1996",NA,NA,NA,NA,NA,NA,NA,NA,15,65,52,65,NA,NA,NA,NA,NA,NA,13,65,6.7,65,0.003,65,0.24,65,NA,NA,NA,NA,NA,NA,0.12,65,0.01,65,5,65,1.8,65,10.5,65,NA,NA,NA,NA
