"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"15:30:00 16/12/2020",NA,NA,NA,NA,NA,NA,NA,NA,12,1,51,1,NA,NA,NA,NA,NA,NA,9.67,1,7.09,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.2,1,0.005,1,2,1,3.1,1,15.5,1,NA,NA,NA,NA
"15:30:00 19/01/2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,NA,NA,NA,NA,NA,NA,9.95,1,6.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,1,17.6,1,NA,NA,NA,NA
"15:30:00 22/01/2008",NA,NA,NA,NA,NA,NA,NA,NA,20,65,56,65,NA,NA,NA,NA,NA,NA,8.9,65,7.4,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.2,65,0.009,65,2,65,2.7,65,18.5,65,NA,NA,NA,NA
"15:30:00 25/10/2011",NA,NA,NA,NA,NA,NA,NA,NA,25,1,55,1,NA,NA,NA,NA,NA,NA,10.2,1,7.1,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.17,1,0.006,1,2,1,3.8,1,12.5,1,NA,NA,NA,NA
"15:30:00 26/11/2002",NA,NA,NA,NA,NA,NA,NA,NA,9,65,81,65,NA,NA,NA,NA,NA,NA,8,65,7.4,65,0.003,65,0.13,65,NA,NA,NA,NA,NA,NA,0.14,65,0.01,65,2,65,1.4,65,17.5,65,NA,NA,NA,NA
"15:40:00 07/12/2009",NA,NA,NA,NA,NA,NA,NA,NA,20,1,47.4,1,NA,NA,NA,NA,NA,NA,9.3,1,7,1,0.002,1,0.02,1,NA,NA,NA,NA,NA,NA,0.167,1,0.005,1,1,1,2.5,1,19,1,NA,NA,NA,NA
"15:40:00 15/10/2012",NA,NA,NA,NA,NA,NA,NA,NA,20,1,48,1,NA,NA,NA,NA,NA,NA,11,1,6.8,1,0.003,1,0.13,1,NA,NA,NA,NA,NA,NA,0.2,1,0.005,1,2,1,3.1,1,12,1,NA,NA,NA,NA
"15:40:00 20/10/2014",NA,NA,NA,NA,NA,NA,NA,NA,14,1,48,1,NA,NA,NA,NA,NA,NA,10.4,1,6.9,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.16,1,0.005,1,2,1,3,1,14,1,NA,NA,NA,NA
"15:45:00 05/07/1994",NA,NA,NA,NA,NA,NA,NA,NA,5,65,220,65,NA,NA,NA,NA,NA,NA,11.2,65,7.2,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.13,65,0.007,65,2,65,2.9,65,8,65,NA,NA,NA,NA
"15:45:00 07/01/2020",NA,NA,NA,NA,NA,NA,NA,NA,8,1,49,1,NA,NA,NA,NA,NA,NA,9.14,1,6.91,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.19,1,0.005,1,4,1,1.7,1,18.5,1,NA,NA,NA,NA
