"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"13:15:00 12/05/1997",NA,NA,5.4,65,3,65,30,65,61,65,60,65,NA,NA,11.2,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.33,65,2,65,NA,NA,0.009,65,0.8,65,NA,NA,3,65,2,65,23,65,NA,NA,NA,NA,NA,NA,0.01,65,2,65,0.8,65,10,65,7.4,65
"13:15:00 15/05/1991",NA,NA,NA,NA,NA,NA,10,65,110,65,NA,NA,NA,NA,11.2,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,1,65,1.1,65,13,65,NA,NA
"13:20:00 03/02/1987",NA,NA,5.7,65,2,65,5,65,73,65,NA,NA,NA,NA,7,65,7,65,NA,NA,NA,NA,22,65,0.08,65,0.15,65,2.2,65,0.01,65,0.003,65,0.5,65,5.5,65,3.4,65,1.6,65,29,65,42,65,NA,NA,2,65,0.007,65,1,65,1.5,65,25,65,NA,NA
"13:20:00 04/01/1984",NA,NA,NA,NA,NA,NA,NA,NA,35,65,NA,NA,NA,NA,8.7,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,19.5,65,NA,NA
"13:20:00 04/04/1979",NA,NA,4.3,65,4,65,10,65,74,65,NA,NA,NA,NA,10,65,6.5,65,NA,NA,NA,NA,32,65,0.23,65,0.15,65,2.6,65,0.02,65,0.02,65,0.7,65,6.8,65,4.2,65,1,65,31,65,40,65,NA,NA,3,65,0.01,65,2,65,2.8,65,16,65,NA,NA
"13:20:00 04/10/1984",NA,NA,NA,NA,NA,NA,NA,NA,20,65,NA,NA,NA,NA,NA,180,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,10.5,65,NA,NA
"13:20:00 14/11/1977",NA,NA,NA,NA,NA,NA,NA,NA,40,65,NA,NA,NA,NA,9.6,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,19.5,65,NA,NA
"13:25:00 04/03/1980",NA,NA,NA,NA,NA,NA,NA,NA,96,65,NA,NA,NA,NA,7.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,24.5,65,NA,NA
"13:25:00 04/05/2009",NA,NA,NA,NA,NA,NA,18,65,65,65,NA,NA,NA,NA,11.5,65,6.4,65,0.003,65,NA,NA,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,18,65,31,65,13.8,65,NA,NA
"13:25:00 12/06/1986",NA,NA,NA,NA,NA,NA,NA,NA,47,65,NA,NA,NA,NA,11.1,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,8.5,65,NA,NA
"13:25:00 12/11/2012",NA,NA,NA,NA,NA,NA,6,1,45,1,NA,NA,NA,NA,10.1,1,7.4,1,0.003,1,NA,NA,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,0.005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,1,4,1,5.4,1,20.1,1,NA,NA
"13:25:00 14/05/2012",NA,NA,NA,NA,NA,NA,6,1,40,1,NA,NA,NA,NA,11.4,1,7.5,1,0.003,1,NA,NA,NA,NA,NA,NA,0.07,1,NA,NA,NA,NA,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,1.9,1,11.2,1,NA,NA
"13:30:00 02/10/2001",NA,NA,1.9,65,2,65,25,65,36,65,29,65,NA,NA,10.2,65,7.2,65,0.008,65,NA,NA,NA,NA,NA,NA,0.31,65,0.9,65,NA,NA,0.02,65,0.5,65,NA,NA,1.8,65,1,65,11,65,NA,NA,NA,NA,NA,NA,0.03,65,8,65,4,65,14.3,65,7.1,65
"13:30:00 02/10/2008",NA,NA,NA,NA,NA,NA,9,65,21,65,NA,NA,NA,NA,10,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,0.06,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,5,65,7.2,65,16.6,65,NA,NA
"13:30:00 03/02/1983",NA,NA,12.4,65,4.9,65,30,65,120,65,NA,NA,NA,NA,NA,180,8.5,65,NA,NA,NA,NA,46,65,0.34,65,NA,NA,4,65,0.04,65,0.01,65,1,65,2.9,65,5.2,65,4,65,47,65,70,65,NA,NA,5,65,0.03,65,5,65,2.5,65,28,65,NA,NA
"13:30:00 03/12/2008",NA,NA,NA,NA,NA,NA,11,65,46,65,NA,NA,NA,NA,9.6,65,6.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,14,65,17.1,65,16.8,65,NA,NA
"13:30:00 06/07/1990",NA,NA,NA,NA,NA,NA,NA,NA,43,65,NA,NA,NA,NA,11.2,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,65,7,65,NA,NA
"13:30:00 06/08/1981",NA,NA,NA,NA,NA,NA,NA,NA,34,65,NA,NA,NA,NA,11.7,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,65,8,65,NA,NA
"13:30:00 08/10/1990",NA,NA,NA,NA,NA,NA,5,65,36,65,NA,NA,NA,NA,10.7,65,6.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.004,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,4,65,1.8,65,10,65,NA,NA
"13:30:00 08/11/1979",NA,NA,NA,NA,NA,NA,NA,NA,45,65,NA,NA,NA,NA,9.6,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,17,65,NA,NA
"13:30:00 11/07/2011",NA,NA,NA,NA,NA,NA,14,1,40,1,NA,NA,NA,NA,11.2,1,7.1,1,0.003,1,NA,NA,NA,NA,NA,NA,0.09,1,NA,NA,NA,NA,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,4,1,8.8,1,8,1,NA,NA
"13:30:00 12/08/1985",NA,NA,2.1,65,2,65,30,65,62,65,NA,NA,NA,NA,11.6,65,7,65,NA,NA,NA,NA,10,65,0.36,65,0.1,65,1.1,65,0.02,65,0.02,65,0.4,65,4.3,65,2.3,65,0.8,65,12,65,30,65,NA,NA,3,65,0.01,65,2,65,NA,180,6,65,NA,NA
"13:30:00 14/04/1994",NA,NA,NA,NA,NA,NA,10,65,43,65,NA,NA,NA,NA,10.2,65,6.9,65,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.006,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,1,65,0.7,65,13.5,65,NA,NA
"13:30:00 19/04/1988",NA,NA,NA,NA,NA,NA,NA,NA,86,65,NA,NA,NA,NA,NA,180,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,65,17.5,65,NA,NA
"13:30:00 23/09/1997",NA,NA,2,65,2,65,12,65,29,65,28,65,NA,NA,11.2,65,7.6,65,0.003,65,NA,NA,NA,NA,NA,NA,0.08,65,0.9,65,NA,NA,0.02,65,0.5,65,NA,NA,1.7,65,1,65,11,65,NA,NA,NA,NA,NA,NA,0.006,65,6,65,1.6,65,10,65,7.2,65
"13:35:00 12/12/1983",NA,NA,NA,NA,NA,NA,NA,NA,35,65,NA,NA,NA,NA,8.8,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,18,65,NA,NA
"13:35:00 14/03/2011",NA,NA,NA,NA,NA,NA,14,1,42,1,NA,NA,NA,NA,8.2,1,7.1,1,0.003,1,NA,NA,NA,NA,NA,NA,0.11,1,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,2,1,4.2,1,20.5,1,NA,NA
"13:40:00 07/04/2008",NA,NA,NA,NA,NA,NA,30,65,78,65,NA,NA,NA,NA,9.4,65,7.4,65,0.003,65,NA,NA,NA,NA,NA,NA,0.22,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,23,65,50.1,65,18.4,65,NA,NA
"13:40:00 14/08/1997",NA,NA,2.1,65,2,65,13,65,42,65,29,65,NA,NA,12,65,7.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.18,65,1,65,NA,NA,0.07,65,0.5,65,NA,NA,2,65,0.8,65,12,65,NA,NA,NA,NA,NA,NA,0.01,65,4,65,2.7,65,8,65,7.4,65
"13:40:00 19/05/2014",NA,NA,NA,NA,NA,NA,8,1,49,1,NA,NA,NA,NA,10.7,1,6.9,1,0.003,1,NA,NA,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,1,5,1,7.9,1,14.7,1,NA,NA
"13:45:00 02/06/1999",NA,NA,2.2,65,3,65,25,65,33,65,29,65,NA,NA,11.2,65,7.6,65,0.003,65,NA,NA,NA,NA,NA,NA,0.14,65,1,65,NA,NA,0.15,65,0.5,65,NA,NA,1.8,65,1,65,9,65,NA,NA,NA,NA,NA,NA,0.01,65,6,65,4.2,65,8,65,7.4,65
"13:45:00 03/06/1992",NA,NA,NA,NA,NA,NA,25,65,39,65,NA,NA,NA,NA,8.6,65,8.4,65,0.003,65,NA,NA,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,0.007,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,11,65,4.2,65,8.5,65,NA,NA
"13:45:00 03/08/1999",NA,NA,2.4,65,2,65,10,65,36,65,30,65,NA,NA,12.5,65,7.9,65,0.004,65,NA,NA,NA,NA,NA,NA,0.02,65,1,65,NA,NA,0.02,65,0.5,65,NA,NA,1.8,65,1,65,12,65,NA,NA,NA,NA,NA,NA,0.005,65,20,65,1.1,65,5.5,65,6.6,65
"13:45:00 06/07/1988",NA,NA,NA,NA,NA,NA,NA,NA,48,65,NA,NA,NA,NA,12.1,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,7.5,65,NA,NA
"13:45:00 06/12/2010",NA,NA,NA,NA,NA,NA,12,1,34,1,NA,NA,NA,NA,9,1,7.3,1,0.003,1,NA,NA,NA,NA,NA,NA,0.11,1,NA,NA,NA,NA,0.009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,1,6,1,9.2,1,20.2,1,NA,NA
"13:45:00 07/07/2009",NA,NA,NA,NA,NA,NA,15,1,65,1,NA,NA,NA,NA,11.8,1,7,1,0.001,1,NA,NA,NA,NA,NA,NA,0.16,1,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,1,9,1,15,1,8.1,1,NA,NA
"13:45:00 09/05/2000",NA,NA,3,65,3,65,35,65,37,65,38,65,NA,NA,10.2,65,7.4,65,0.003,65,NA,NA,NA,NA,NA,NA,0.16,65,1.2,65,NA,NA,0.02,65,0.6,65,NA,NA,1.9,65,1,65,14,65,NA,NA,NA,NA,NA,NA,0.008,65,1,65,3,65,13,65,6.6,65
"13:45:00 11/04/2013",NA,NA,NA,NA,NA,NA,6,1,29,1,NA,NA,NA,NA,9.2,1,7.3,1,0.003,1,NA,NA,NA,NA,NA,NA,0.11,1,NA,NA,NA,NA,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,1,2,1,2.2,1,17.4,1,NA,NA
"13:45:00 11/07/2013",NA,NA,NA,NA,NA,NA,8,1,35,1,NA,NA,NA,NA,12.4,1,7.5,1,0.003,1,NA,NA,NA,NA,NA,NA,0.06,1,NA,NA,NA,NA,0.049,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,3.2,1,5.3,1,NA,NA
"13:45:00 14/12/1984",NA,NA,NA,NA,NA,NA,NA,NA,61,65,NA,NA,NA,NA,9.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,18,65,NA,NA
"13:49:00 15/11/2010",NA,NA,NA,NA,NA,NA,25,1,29,1,NA,NA,NA,NA,8.8,1,6.9,1,0.003,1,NA,NA,NA,NA,NA,NA,0.13,1,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,1,8,1,11.9,1,19.3,1,NA,NA
"13:50:00 05/02/1985",NA,NA,8.7,65,5,65,20,65,83,65,NA,NA,NA,NA,7.4,65,NA,180,NA,NA,NA,NA,35,65,0.17,65,0.55,65,2.9,65,0.04,65,0.003,65,0.7,65,5.3,65,4.5,65,2.5,65,36,65,60,65,NA,NA,7,65,0.01,65,6,65,1.2,65,26,65,NA,NA
"13:50:00 07/10/1991",NA,NA,NA,NA,NA,NA,15,65,38,65,NA,NA,NA,NA,13.4,65,6.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,2,65,1.8,65,11.5,65,NA,NA
"13:50:00 13/02/1990",NA,NA,3.9,65,5,65,40,65,66,65,NA,NA,NA,NA,9.2,65,7,65,NA,NA,NA,NA,19,65,0.19,65,0.2,65,1.8,65,0.01,65,0.003,65,0.5,65,7.1,65,5.4,65,2.5,65,22,65,53,65,NA,NA,8,65,0.008,65,3,65,1.4,65,21,65,NA,NA
"13:50:00 23/02/2011",NA,NA,NA,NA,NA,NA,14,1,33,1,NA,NA,NA,NA,9.6,1,7.3,1,0.003,1,NA,NA,NA,NA,NA,NA,0.11,1,NA,NA,NA,NA,0.018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,1,7,1,9,1,18,1,NA,NA
"13:55:00 23/04/2014",NA,NA,NA,NA,NA,NA,8,1,45,1,NA,NA,NA,NA,8.4,1,7,1,0.003,1,NA,NA,NA,NA,NA,NA,0.09,1,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,1,5,1,8,1,16.9,1,NA,NA
"14:00:00 02/07/2002",NA,NA,2.6,65,2,65,18,65,40,65,36,65,NA,NA,12,65,6.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.08,65,1.3,65,NA,NA,0.02,65,0.6,65,NA,NA,2.9,65,1,65,13,65,NA,NA,NA,NA,NA,NA,0.006,65,2,65,2.7,65,7.3,65,7.3,65
"14:00:00 03/05/2007",NA,NA,NA,NA,NA,NA,33,65,84,65,NA,NA,NA,NA,9.6,65,7.5,65,0.006,65,NA,NA,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,18,65,33.1,65,15.8,65,NA,NA
"14:00:00 04/05/1982",NA,NA,NA,NA,NA,NA,NA,NA,53,65,NA,NA,NA,NA,10,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,12.5,65,NA,NA
"14:00:00 07/10/1987",NA,NA,NA,NA,NA,NA,NA,NA,37,65,NA,NA,NA,NA,9.3,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,11,65,NA,NA
"14:00:00 08/01/1990",NA,NA,NA,NA,NA,NA,NA,NA,69,65,NA,NA,NA,NA,8.7,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,65,21,65,NA,NA
"14:00:00 09/04/1980",NA,NA,NA,NA,NA,NA,NA,NA,110,65,NA,NA,NA,NA,8,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,18.5,65,NA,NA
"14:00:00 10/08/1988",NA,NA,2.3,65,1,65,10,65,53,65,NA,NA,NA,NA,12.8,65,7.1,65,NA,NA,NA,NA,12,65,0.18,65,0.1,65,1.1,65,0.01,65,NA,NA,0.5,65,5.8,65,2.1,65,0.7,65,12,65,27,65,NA,NA,2,65,0.53,65,6,65,2.4,65,8,65,NA,NA
"14:00:00 10/08/2009",NA,NA,NA,NA,NA,NA,10,1,105.7,1,NA,NA,NA,NA,12.4,1,6.9,1,0.002,1,NA,NA,NA,NA,NA,NA,0.06,1,NA,NA,NA,NA,0.062,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,7.9,1,7.8,1,NA,NA
"14:00:00 11/06/1996",NA,NA,NA,NA,NA,NA,13,65,38,65,NA,NA,NA,NA,14.4,65,6.8,65,0.005,65,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,2,65,1.9,65,7,65,NA,NA
"14:00:00 24/03/1980",NA,NA,8.1,65,4.5,65,20,65,83,65,NA,NA,NA,NA,9.2,65,7.7,65,NA,NA,NA,NA,38,65,0.27,65,0.15,65,3.5,65,0.02,65,0.06,65,0.9,65,7.1,65,4.6,65,3,65,35,65,54,65,NA,NA,2,65,0.06,65,3,65,1.6,65,19.5,65,NA,NA
"14:00:00 24/08/1989",NA,NA,2.2,65,2,65,15,65,64,65,NA,NA,NA,NA,12,65,7,65,NA,NA,NA,NA,NA,NA,0.05,65,0.4,65,1.1,65,0.01,65,0.01,65,0.6,65,5.8,65,2,65,0.3,65,15,65,24,65,NA,NA,4,65,0.04,65,2,65,1.6,65,8,65,NA,NA
"14:05:00 05/01/1978",NA,NA,NA,NA,NA,NA,NA,NA,75,65,NA,NA,NA,NA,8.4,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,21.5,65,NA,NA
"14:10:00 08/09/1987",NA,NA,NA,NA,NA,NA,NA,NA,42,65,NA,NA,NA,NA,10.8,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,65,9,65,NA,NA
"14:11:00 04/05/2010",NA,NA,NA,NA,NA,NA,8,1,31.9,1,NA,NA,NA,NA,8.2,1,7.7,1,0.001,1,NA,NA,NA,NA,NA,NA,0.16,1,NA,NA,NA,NA,0.014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,1,3,1,6.6,1,15.3,1,NA,NA
"14:15:00 03/12/1986",NA,NA,NA,NA,NA,NA,NA,NA,37,65,NA,NA,NA,NA,9.8,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,23.5,65,NA,NA
"14:15:00 05/11/2008",NA,NA,NA,NA,NA,NA,18,65,48,65,NA,NA,NA,NA,8.6,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,10,65,18.8,65,18.7,65,NA,NA
"14:15:00 06/03/1978",NA,NA,NA,NA,NA,NA,NA,NA,120,65,NA,NA,NA,NA,8.2,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,23.1,65,NA,NA
"14:15:00 08/06/1994",NA,NA,NA,NA,NA,NA,5,65,44,65,NA,NA,NA,NA,11.2,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,0.007,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,1,65,1.5,65,9.5,65,NA,NA
"14:15:00 14/06/1990",NA,NA,NA,NA,NA,NA,NA,NA,40,65,NA,NA,NA,NA,10.6,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,9,65,NA,NA
"14:15:00 19/06/2012",NA,NA,NA,NA,NA,NA,14,1,31,1,NA,NA,NA,NA,8.7,1,7.3,1,0.003,1,NA,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,0.053,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,6.3,1,9.4,1,NA,NA
"14:15:00 22/06/2010",NA,NA,NA,NA,NA,NA,13,1,45,1,NA,NA,NA,NA,11,1,7.2,1,0.005,1,NA,NA,NA,NA,NA,NA,0.05,1,NA,NA,NA,NA,0.119,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,4,1,7.7,1,8.8,1,NA,NA
"14:15:00 22/09/1989",NA,NA,NA,NA,NA,NA,NA,NA,29,65,NA,NA,NA,NA,11.8,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,10,65,NA,NA
"14:15:00 25/07/1989",NA,NA,NA,NA,NA,NA,NA,NA,45,65,NA,NA,NA,NA,9.8,65,6.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,9.2,65,NA,NA
"14:20:00 02/06/1980",NA,NA,NA,NA,NA,NA,NA,NA,48,65,NA,NA,NA,NA,11.2,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,9,65,NA,NA
"14:20:00 03/02/1982",NA,NA,NA,NA,NA,NA,NA,NA,55,65,NA,NA,NA,NA,7.6,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,65,23,65,NA,NA
