"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"13:00:00 10/04/2001",NA,NA,7.2,65,2,65,18,65,79,65,77,65,NA,NA,10,65,7.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.12,65,2.5,65,NA,NA,0.01,65,0.6,65,NA,NA,3.5,65,2,65,32,65,NA,NA,NA,NA,NA,NA,0.009,65,1,65,1.6,65,15,65,7.3,65
"13:00:00 10/08/1992",NA,NA,NA,NA,NA,NA,15,65,37,65,NA,NA,NA,NA,NA,180,7.8,65,0.003,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,4,65,2,65,6.5,65,NA,NA
"13:00:00 11/07/1994",NA,NA,NA,NA,NA,NA,10,65,34,65,NA,NA,NA,NA,11.2,65,7.4,65,0.003,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,0.007,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,1,65,2,65,6,65,NA,NA
"13:00:00 12/05/1998",NA,NA,6.9,65,5,65,20,65,77,65,76,65,NA,NA,10,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.19,65,2.6,65,NA,NA,0.01,65,0.9,65,NA,NA,3.5,65,3,65,31,65,NA,NA,NA,NA,NA,NA,0.02,65,16,65,6.2,65,12,65,7.2,65
"13:00:00 12/05/1999",NA,NA,5.5,65,2,65,14,65,75,65,66,65,NA,NA,11.6,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.07,65,2.2,65,NA,NA,0.008,65,0.5,65,NA,NA,3.4,65,2,65,27,65,NA,NA,NA,NA,NA,NA,0.006,65,2,65,1.8,65,9.5,65,7.4,65
"13:00:00 12/07/1993",NA,NA,NA,NA,NA,NA,15,65,29,65,NA,NA,NA,NA,12.2,65,7.9,65,0.003,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,3,65,3.6,65,6,65,NA,NA
"13:00:00 12/08/1991",NA,NA,NA,NA,NA,NA,15,65,40,65,NA,NA,NA,NA,11,65,7.3,65,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,21,65,5.4,65,9,65,NA,NA
"13:00:00 12/12/1989",NA,NA,NA,NA,NA,NA,NA,NA,53,65,NA,NA,NA,NA,8.8,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,23.5,65,NA,NA
"13:00:00 15/06/1989",NA,NA,NA,NA,NA,NA,NA,NA,30,65,NA,NA,NA,NA,11,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,9,65,NA,NA
"13:00:00 16/04/1991",NA,NA,NA,NA,NA,NA,10,65,74,65,NA,NA,NA,NA,9.7,65,7.2,65,0.005,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,1,65,1,65,16,65,NA,NA
"13:00:00 19/03/2012",NA,NA,NA,NA,NA,NA,16,1,33,1,NA,NA,NA,NA,8.6,1,6.9,1,0.003,1,NA,NA,NA,NA,NA,NA,0.12,1,NA,NA,NA,NA,0.007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,1,8,1,13,1,17.9,1,NA,NA
"13:00:00 23/09/1996",NA,NA,NA,NA,NA,NA,27,65,33,65,NA,NA,NA,NA,10.4,65,7,65,0.006,65,NA,NA,NA,NA,NA,NA,0.22,65,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,12,65,6.4,65,10.5,65,NA,NA
"13:05:00 07/04/1993",NA,NA,NA,NA,NA,NA,15,65,50,65,NA,NA,NA,NA,10.4,65,6.9,65,0.006,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,1,65,1.5,65,14.5,65,NA,NA
"13:05:00 07/11/1988",NA,NA,2.4,65,2,65,10,65,40,65,NA,NA,NA,NA,10,65,7.3,65,NA,NA,NA,NA,10,65,0.2,65,0.1,65,1.1,65,0.01,65,0.003,65,0.5,65,5.9,65,2.3,65,0.7,65,12,65,24,65,NA,NA,2,65,0.01,65,4,65,2.6,65,15.5,65,NA,NA
"13:05:00 14/01/2014",NA,NA,NA,NA,NA,NA,8,1,34,1,NA,NA,NA,NA,6.3,1,7.2,1,0.003,1,NA,NA,NA,NA,NA,NA,0.23,1,NA,NA,NA,NA,0.006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,1,6,1,3.9,1,24.9,1,NA,NA
