"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"11:00:00 02/10/2013",NA,NA,NA,NA,NA,NA,22,1,53,1,NA,NA,NA,NA,11,1,7.2,1,0.003,1,NA,NA,NA,NA,NA,NA,0.17,1,NA,NA,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1,4,1,16,1,13.7,1,NA,NA
"11:00:00 02/11/1981",NA,NA,NA,NA,NA,NA,NA,NA,37,65,NA,NA,NA,NA,9.4,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,16,65,NA,NA
"11:00:00 03/04/2014",NA,NA,NA,NA,NA,NA,6,1,45,1,NA,NA,NA,NA,7.8,1,7.1,1,0.003,1,NA,NA,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,0.009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,1,5,1,5,1,19.8,1,NA,NA
"11:00:00 03/10/1978",NA,NA,2.4,65,6.2,65,55,65,44,65,NA,NA,NA,NA,10.7,65,7.1,65,NA,NA,0.04,65,15,65,0.75,65,0.35,65,1.9,65,0.02,65,2e-04,65,0.06,65,0.8,65,6.8,65,4.7,65,2,65,14,65,40,65,NA,NA,4,65,0.02,65,4,65,14,65,14,65,NA,NA
"11:00:00 03/11/2011",NA,NA,NA,NA,NA,NA,30,1,66,1,NA,NA,NA,NA,8.9,1,7.5,1,0.076,1,NA,NA,NA,NA,NA,NA,0.17,1,NA,NA,NA,NA,NA,NA,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,1,7,1,21.5,1,16.5,1,NA,NA
"11:00:00 04/07/2011",NA,NA,NA,NA,NA,NA,10,1,65,1,NA,NA,NA,NA,10.7,1,7.4,1,0.003,1,NA,NA,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,NA,NA,0.007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,4,1,4.6,1,9.5,1,NA,NA
"11:00:00 05/06/2008",NA,NA,NA,NA,NA,NA,35,65,99,65,NA,NA,NA,NA,10.1,65,7.3,65,0.003,65,NA,NA,NA,NA,NA,NA,0.33,65,NA,NA,NA,NA,NA,NA,0.32,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,10,65,27.4,65,13.3,65,NA,NA
"11:00:00 06/04/1990",NA,NA,NA,NA,NA,NA,NA,NA,73,65,NA,NA,NA,NA,8.8,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,65,20,65,NA,NA
"11:00:00 07/06/2007",NA,NA,NA,NA,NA,NA,40,65,90,65,NA,NA,NA,NA,10.8,65,5.7,65,0.008,65,NA,NA,NA,NA,NA,NA,0.51,65,NA,NA,NA,NA,NA,NA,0.98,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,56,65,140,65,10.6,65,NA,NA
"11:00:00 07/07/1992",NA,NA,NA,NA,NA,NA,25,65,68,65,NA,NA,NA,NA,10.4,65,7.4,65,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,5,65,9.1,65,10,65,NA,NA
"11:00:00 07/11/2002",NA,NA,NA,NA,NA,NA,12,65,42,65,NA,NA,NA,NA,10,65,6.3,65,0.007,65,NA,NA,NA,NA,NA,NA,0.28,65,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,10,65,7.5,65,18.5,65,NA,NA
"11:00:00 10/12/2001",NA,NA,NA,NA,NA,NA,35,65,63,65,NA,NA,NA,NA,10.6,65,7.2,65,0.006,65,NA,NA,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,NA,NA,0.05,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,6.3,65,17.5,65,NA,NA
"11:00:00 12/03/2014",NA,NA,NA,NA,NA,NA,6,1,33,1,NA,NA,NA,NA,6.9,1,7,1,0.003,1,NA,NA,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,NA,NA,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,1,3,1,7.2,1,22.6,1,NA,NA
"11:00:00 26/03/1998",NA,NA,NA,NA,NA,NA,5,65,78,65,NA,NA,NA,NA,9.4,65,7,65,0.004,65,NA,NA,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,4.4,65,20,65,NA,NA
"11:00:00 26/11/1996",NA,NA,NA,NA,NA,NA,14,65,34,65,NA,NA,NA,NA,9.2,65,6.9,65,0.005,65,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,11,65,4,65,19,65,NA,NA
"11:00:00 28/02/1984",NA,NA,2.7,65,6,65,30,65,55,65,NA,NA,NA,NA,8.2,65,7.5,65,NA,NA,NA,NA,15,65,0.6,65,0.3,65,1.8,65,0.02,65,NA,NA,0.09,65,1.1,65,5.6,65,5.1,65,1,65,16,65,35,65,NA,NA,4,65,0.01,65,4,65,4.4,65,21,65,NA,NA
"11:08:00 04/08/2015",NA,NA,NA,NA,NA,NA,12,1,57,1,NA,NA,NA,NA,10.9,1,7.6,1,0.003,1,NA,NA,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,0.014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,3,1,6.7,1,8.4,1,NA,NA
"11:10:00 04/07/1977",NA,NA,NA,NA,NA,NA,NA,NA,76,65,NA,NA,NA,NA,NA,180,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,65,8,65,NA,NA
"11:10:00 07/01/2014",NA,NA,NA,NA,NA,NA,16,1,60,1,NA,NA,NA,NA,8.8,1,7.5,1,0.003,1,NA,NA,NA,NA,NA,NA,0.32,1,NA,NA,NA,NA,NA,NA,0.096,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,1,8,1,11.7,1,19.1,1,NA,NA
"11:15:00 02/10/2012",NA,NA,NA,NA,NA,NA,24,1,48,1,NA,NA,NA,NA,9.6,1,7.6,1,0.003,1,NA,NA,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,NA,NA,0.063,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,1,5,1,18,1,14.2,1,NA,NA
"11:15:00 04/03/1980",NA,NA,NA,NA,NA,NA,NA,NA,57,65,NA,NA,NA,NA,7,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,65,21,65,NA,NA
"11:15:00 05/08/2013",NA,NA,NA,NA,NA,NA,36,1,67,1,NA,NA,NA,NA,11.1,1,7,1,0.003,1,NA,NA,NA,NA,NA,NA,0.27,1,NA,NA,NA,NA,NA,NA,0.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,1,10,1,29.3,1,10.8,1,NA,NA
"11:15:00 05/10/1983",NA,NA,NA,NA,NA,NA,NA,NA,58,65,NA,NA,NA,NA,10.8,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,65,12.5,65,NA,NA
"11:15:00 08/10/1986",NA,NA,NA,NA,NA,NA,NA,NA,44,65,NA,NA,NA,NA,NA,180,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,65,14,65,NA,NA
"11:15:00 10/05/1984",NA,NA,3.3,65,8.1,65,60,65,69,65,NA,NA,NA,NA,NA,180,7.1,65,NA,NA,NA,NA,17,65,1.4,65,0.3,65,2.4,65,0.03,65,NA,NA,0.12,65,1.3,65,4.1,65,5.8,65,2,65,18,65,50,65,NA,NA,4,65,0.02,65,12,65,20,65,13,65,NA,NA
"11:15:00 13/06/1984",NA,NA,NA,NA,NA,NA,NA,NA,64,65,NA,NA,NA,NA,11,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,65,11,65,NA,NA
"11:15:00 21/08/2001",NA,NA,NA,NA,NA,NA,50,65,91,65,NA,NA,NA,NA,11.2,65,7.6,65,0.003,65,NA,NA,NA,NA,NA,NA,0.45,65,NA,NA,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,12,65,30,65,10.3,65,NA,NA
"11:20:00 01/05/2008",NA,NA,NA,NA,NA,NA,50,65,105,65,NA,NA,NA,NA,10.1,65,7.5,65,0.004,65,NA,NA,NA,NA,NA,NA,0.34,65,NA,NA,NA,NA,NA,NA,0.41,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,16,65,40,65,15.7,65,NA,NA
"11:20:00 04/05/2010",NA,NA,NA,NA,NA,NA,17,1,55.9,1,NA,NA,NA,NA,9.1,1,7.3,1,0.001,1,NA,NA,NA,NA,NA,NA,0.17,1,NA,NA,NA,NA,NA,NA,0.008,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029,1,4,1,10,1,16.7,1,NA,NA
"11:20:00 04/12/2014",NA,NA,NA,NA,NA,NA,6,1,59,1,NA,NA,NA,NA,6.7,1,7.6,1,0.003,1,NA,NA,NA,NA,NA,NA,0.17,1,NA,NA,NA,NA,NA,NA,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033,1,4,1,4,1,20.7,1,NA,NA
"11:20:00 19/06/1978",NA,NA,NA,NA,NA,NA,NA,NA,63,65,NA,NA,NA,NA,11,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,65,11.5,65,NA,NA
"11:25:00 06/06/2011",NA,NA,NA,NA,NA,NA,10,1,71,1,NA,NA,NA,NA,9.6,1,7.4,1,0.003,1,NA,NA,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,0.009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,4,1,4.1,1,10.8,1,NA,NA
"11:25:00 08/12/2009",NA,NA,NA,NA,NA,NA,8,1,46.2,1,NA,NA,NA,NA,9,1,7.1,1,0.003,1,NA,NA,NA,NA,NA,NA,0.07,1,NA,NA,NA,NA,NA,NA,0.055,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,3,1,12.9,1,18,1,NA,NA
"11:25:00 11/06/1986",NA,NA,NA,NA,NA,NA,NA,NA,83,65,NA,NA,NA,NA,10.7,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,65,10.5,65,NA,NA
"11:25:00 22/03/1984",NA,NA,NA,NA,NA,NA,NA,NA,59,65,NA,NA,NA,NA,9.3,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,65,18.5,65,NA,NA
"11:25:00 26/11/2007",NA,NA,NA,NA,NA,NA,60,65,73,65,NA,NA,NA,NA,10.1,65,7.3,65,0.003,65,NA,NA,NA,NA,NA,NA,0.39,65,NA,NA,NA,NA,NA,NA,0.66,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,66,65,182,65,15.8,65,NA,NA
"11:30:00 03/03/2008",NA,NA,NA,NA,NA,NA,35,65,85,65,NA,NA,NA,NA,8.9,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.42,65,NA,NA,NA,NA,NA,NA,0.41,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,17,65,47.5,65,20.1,65,NA,NA
"11:30:00 03/05/1989",NA,NA,3,65,4,65,10,65,60,65,NA,NA,NA,NA,8,65,7,65,NA,NA,NA,NA,15,65,0.49,65,0.2,65,1.9,65,0.02,65,NA,NA,0.01,65,0.7,65,3,65,4.3,65,1.3,65,18,65,33,65,NA,NA,2,65,0.01,65,5,65,5.4,65,16,65,NA,NA
"11:30:00 03/05/2011",NA,NA,NA,NA,NA,NA,12,1,58,1,NA,NA,NA,NA,8.4,1,7.5,1,0.003,1,NA,NA,NA,NA,NA,NA,0.21,1,NA,NA,NA,NA,NA,NA,0.018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,1,3,1,4.9,1,15.4,1,NA,NA
"11:30:00 03/08/1995",NA,NA,NA,NA,NA,NA,25,65,36,65,NA,NA,NA,NA,11.6,65,7.6,65,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,0.05,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,7,65,8,65,NA,NA
"11:30:00 04/03/2009",NA,NA,NA,NA,NA,NA,10,65,69,65,NA,NA,NA,NA,8.4,65,6.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,8,65,7.6,65,20.5,65,NA,NA
"11:30:00 04/04/1985",NA,NA,NA,NA,NA,NA,NA,NA,69,65,NA,NA,NA,NA,8.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,19.5,65,NA,NA
"11:30:00 06/10/2011",NA,NA,NA,NA,NA,NA,36,1,63,1,NA,NA,NA,NA,9.7,1,7.3,1,0.003,1,NA,NA,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,1,8,1,29.5,1,15.4,1,NA,NA
"11:30:00 07/03/2013",NA,NA,NA,NA,NA,NA,4,1,49,1,NA,NA,NA,NA,8.2,1,7.3,1,0.003,1,NA,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,NA,0.005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,1,5,1,6.7,1,26,1,NA,NA
"11:30:00 08/06/1993",NA,NA,NA,NA,NA,NA,15,65,65,65,NA,NA,NA,NA,10.6,65,7.3,65,0.004,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,9.4,65,13,65,NA,NA
"11:30:00 12/02/1991",NA,NA,NA,NA,NA,NA,40,65,57,65,NA,NA,NA,NA,8.2,65,6.1,65,NA,NA,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,8,65,15,65,22,65,NA,NA
"11:30:00 13/03/1984",NA,NA,NA,NA,NA,NA,NA,NA,64,65,NA,NA,NA,NA,9,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,65,19,65,NA,NA
"11:30:00 19/06/1997",NA,NA,NA,NA,NA,NA,14,65,87,65,NA,NA,NA,NA,10.8,65,7.6,65,0.003,65,NA,NA,NA,NA,NA,NA,0.22,65,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,8,65,2,65,11,65,NA,NA
"11:35:00 05/07/2012",NA,NA,NA,NA,NA,NA,72,1,54,1,NA,NA,NA,NA,11.9,1,7.5,1,0.003,1,NA,NA,NA,NA,NA,NA,0.31,1,NA,NA,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,1,22,1,20.2,1,11.2,1,NA,NA
"11:35:00 07/08/2008",NA,NA,NA,NA,NA,NA,25,65,76,65,NA,NA,NA,NA,10.7,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.21,65,NA,NA,NA,NA,NA,NA,0.32,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,4,65,17.3,65,11,65,NA,NA
"11:35:00 11/05/2006",NA,NA,NA,NA,NA,NA,17,65,62,65,NA,NA,NA,NA,11.2,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.42,65,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,10,65,17,65,13,65,NA,NA
"11:35:00 15/08/1990",NA,NA,NA,NA,NA,NA,60,65,76,65,NA,NA,NA,NA,11.8,65,6.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,18,65,30,65,10,65,NA,NA
"11:35:00 24/01/2006",NA,NA,NA,NA,NA,NA,15,65,44,65,NA,NA,NA,NA,7.8,65,6.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,NA,NA,0.004,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,9.4,65,NA,NA,NA,NA
"11:38:00 16/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,1,9.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,1,NA,NA,0.028,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:40:00 01/05/2012",NA,NA,NA,NA,NA,NA,25,1,65,1,NA,NA,NA,NA,9.3,1,7.2,1,0.003,1,NA,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,NA,0.046,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,1,2,1,7.9,1,16.5,1,NA,NA
"11:40:00 02/07/2009",NA,NA,NA,NA,NA,NA,1,1,61.4,1,NA,NA,NA,NA,10.3,1,7,1,0.007,1,NA,NA,NA,NA,NA,NA,0.05,1,NA,NA,NA,NA,NA,NA,0.252,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,9,1,22.6,1,11,1,NA,NA
"11:40:00 09/01/1989",NA,NA,NA,NA,NA,NA,NA,NA,46,65,NA,NA,NA,NA,8.8,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,65,18.5,65,NA,NA
"11:40:00 24/10/1983",NA,NA,NA,NA,NA,NA,NA,NA,51,65,NA,NA,NA,NA,10.3,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,65,15,65,NA,NA
"11:45:00 07/05/2014",NA,NA,NA,NA,NA,NA,12,1,54,1,NA,NA,NA,NA,9.3,1,7.8,1,0.003,1,NA,NA,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,NA,NA,0.029,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,1,4,1,4.5,1,14.5,1,NA,NA
"11:45:00 13/05/1997",NA,NA,NA,NA,NA,NA,10,65,75,65,NA,NA,NA,NA,11.2,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,6,65,2,65,13.5,65,NA,NA
"11:45:00 15/02/1995",NA,NA,NA,NA,NA,NA,5,65,49,65,NA,NA,NA,NA,8.8,65,7.3,65,0.003,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,10,65,2.2,65,21,65,NA,NA
"11:45:00 15/11/1983",NA,NA,NA,NA,NA,NA,NA,NA,52,65,NA,NA,NA,NA,9.6,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,65,17.5,65,NA,NA
"11:50:00 06/08/2007",NA,NA,NA,NA,NA,NA,50,65,80,65,NA,NA,NA,NA,11.2,65,6.7,65,0.007,65,NA,NA,NA,NA,NA,NA,0.51,65,NA,NA,NA,NA,NA,NA,0.83,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,65,100,65,362,65,10.3,65,NA,NA
"11:50:00 10/01/1977",NA,NA,NA,NA,NA,NA,NA,NA,120,65,NA,NA,NA,NA,9.3,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,19.9,65,NA,NA
"11:50:00 10/08/2010",NA,NA,NA,NA,NA,NA,10,1,46,1,NA,NA,NA,NA,11.1,1,7,1,0.003,1,NA,NA,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,NA,NA,0.01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,1,3,1,5,1,9.5,1,NA,NA
"11:50:00 21/12/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1,9.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,1,NA,NA,0.017,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:50:00 22/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1,9.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,1,NA,NA,0.022,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:50:00 31/08/1983",NA,NA,NA,NA,NA,NA,NA,NA,52,65,NA,NA,NA,NA,NA,180,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,65,11.5,65,NA,NA
