"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"11:25:00 03/10/2005",20,65,176,65,NA,NA,NA,NA,9,65,7.3,65,0.003,65,0.23,65,0.02,65,NA,NA,NA,NA,0.02,65,14,65,NA,NA,NA,NA,NA,NA
"11:25:00 18/01/2010",15,1,276.4,1,NA,NA,NA,NA,8.2,1,7.5,1,0.001,1,0.22,1,0.002,1,NA,NA,NA,NA,0.007,1,5,1,8.2,1,18.1,1,NA,NA
"11:25:00 21/01/2019",25,1,610,1,NA,NA,NA,NA,5.6,1,7.42,1,0.003,1,0.7,1,0.01,1,NA,NA,NA,NA,0.054,1,7,1,10.5,1,26.9,1,NA,NA
"11:25:00 23/08/2018",8,1,505,1,NA,NA,NA,NA,10.1,1,7.6,1,0.003,1,0.47,1,0.016,1,NA,NA,NA,NA,0.033,1,19,1,16.5,1,11.2,1,NA,NA
"11:30:00 01/08/2005",25,65,192,65,NA,NA,NA,NA,10.2,65,7.2,65,0.003,65,0.28,65,0.1,65,NA,NA,NA,NA,0.03,65,9,65,NA,NA,NA,NA,NA,NA
"11:30:00 05/09/2013",22,1,214,1,NA,NA,NA,NA,9.4,1,7.2,1,0.003,1,0.24,1,0.23,1,NA,NA,NA,NA,0.019,1,5,1,9.2,1,17.5,1,NA,NA
"11:30:00 13/05/2015",30,1,170,1,NA,NA,NA,NA,9.6,1,7.3,1,0.015,1,0.32,1,0.17,1,NA,NA,NA,NA,0.061,1,10,1,11.6,1,12,1,NA,NA
"11:30:00 13/06/2012",55,1,119,1,NA,NA,NA,NA,9,1,7.2,1,0.021,1,0.61,1,0.47,1,NA,NA,NA,NA,0.092,1,20,1,48,1,9.9,1,NA,NA
"11:30:00 25/06/2015",50,1,113,1,NA,NA,NA,NA,10.6,1,7.1,1,0.007,1,0.31,1,0.25,1,NA,NA,NA,NA,0.027,1,7,1,13.5,1,10.9,1,NA,NA
"11:30:00 27/01/2011",30,1,274,1,NA,NA,NA,NA,6.9,1,7.2,1,0.004,1,0.47,1,0.003,1,NA,NA,NA,NA,0.046,1,10,1,12.1,1,23.9,1,NA,NA
"11:31:00 04/04/2007",15,65,567,65,NA,NA,NA,NA,9.6,65,7.3,65,0.003,65,0.22,65,0.003,65,NA,NA,NA,NA,0.02,65,19,65,29.3,65,19,65,NA,NA
"11:33:00 20/12/2017",64,1,226,1,NA,NA,NA,NA,5.7,1,7.1,1,0.011,1,0.42,1,0.007,1,NA,NA,NA,NA,0.038,1,11,1,13.2,1,24.2,1,NA,NA
"11:35:00 04/07/2005",4,65,358,65,NA,NA,NA,NA,10.6,65,7.4,65,0.004,65,0.23,65,0.22,65,NA,NA,NA,NA,0.02,65,5,65,NA,NA,NA,NA,NA,NA
"11:35:00 05/09/2005",12,65,154,65,NA,NA,NA,NA,9.8,65,7.2,65,0.006,65,0.24,65,0.05,65,NA,NA,NA,NA,0.05,65,12,65,NA,NA,NA,NA,NA,NA
"11:35:00 18/04/2005",20,65,396,65,NA,NA,NA,NA,5.4,65,7,65,0.01,65,0.45,65,0.04,65,NA,NA,NA,NA,0.05,65,9,65,NA,NA,NA,NA,NA,NA
"11:42:00 06/06/2013",14,1,405,1,NA,NA,NA,NA,14.4,1,7.6,1,0.003,1,0.6,1,0.003,1,NA,NA,NA,NA,0.052,1,8,1,15.1,1,11.9,1,NA,NA
"11:45:00 19/10/2011",25,1,169,1,NA,NA,NA,NA,10.1,1,6.6,1,0.005,1,0.2,1,0.038,1,NA,NA,NA,NA,0.017,1,8,1,10.5,1,19.6,1,NA,NA
"11:46:00 22/10/2007",20,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA
"11:48:00 26/07/2017",16,1,455,1,NA,NA,NA,NA,10.5,1,7.7,1,0.011,1,0.36,1,0.18,1,NA,NA,NA,NA,0.027,1,10,1,13.4,1,9.6,1,NA,NA
"11:49:00 27/07/2016",48,1,211,1,NA,NA,NA,NA,10.5,1,7,1,0.019,1,0.38,1,0.43,1,NA,NA,NA,NA,0.06,1,8,1,17.8,1,9.1,1,NA,NA
"11:50:00 03/07/1997",NA,NA,NA,NA,83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049,1,NA,NA,NA,NA,NA,NA,7.19,1
"11:50:00 09/08/1999",NA,NA,NA,NA,114,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,1,0.012,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:50:00 14/07/2015",20,1,176,1,NA,NA,NA,NA,10.7,1,7.4,1,0.003,1,0.24,1,0.25,1,NA,NA,NA,NA,0.016,1,5,1,12.6,1,9.9,1,NA,NA
"11:50:00 18/02/2009",24,65,380,65,NA,NA,NA,NA,8.3,65,7.4,65,0.003,65,0.52,65,0.003,65,NA,NA,NA,NA,0.04,65,13,65,18.3,65,24,65,NA,NA
"11:50:00 22/07/2009",10,1,408.6,1,NA,NA,NA,NA,9.9,1,6.9,1,0.01,1,0.18,1,0.129,1,NA,NA,NA,NA,0.022,1,12,1,21.9,1,11.6,1,NA,NA
"11:50:00 31/07/2013",32,1,209,1,NA,NA,NA,NA,10.6,1,7.4,1,0.003,1,0.27,1,0.32,1,NA,NA,NA,NA,0.023,1,6,1,11.7,1,11.4,1,NA,NA
"11:55:00 20/09/2011",30,1,204,1,NA,NA,NA,NA,10.8,1,6.8,1,0.004,1,0.39,1,0.17,1,NA,NA,NA,NA,0.022,1,8,1,9.1,1,15.2,1,NA,NA
"11:57:00 01/08/2007",35,65,328,65,NA,NA,NA,NA,10.4,65,7.2,65,0.003,65,0.35,65,0.71,65,NA,NA,NA,NA,0.02,65,10,65,10.8,65,11.3,65,NA,NA
