"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"14:00:00 31/05/1990",NA,NA,NA,NA,NA,NA,8.5,65,59,65,NA,NA,40,65,350,65,NA,NA,NA,NA,NA,180,6.9,65,NA,NA,48,65,2.1,65,0.6,65,NA,NA,6.1,65,0.07,65,NA,NA,NA,NA,0.34,65,2.1,65,9.3,65,40,65,21,65,26,65,210,65,5,65,0.05,65,29,65,17.5,65,12,65,NA,NA,NA,NA
"14:05:00 19/06/2007",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.001,65,42,65,386,65,NA,NA,0.002,65,11,65,7.3,65,0.003,65,NA,NA,NA,NA,0.4,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.002,65,0.37,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,20,65,21.5,65,9.5,65,0.005,65,NA,NA
"14:10:00 04/03/2014",NA,NA,0.001,1,2e-04,1,NA,NA,NA,NA,0.002,1,55,1,316,1,NA,NA,0.001,1,8.7,1,7.4,1,0.003,1,NA,NA,NA,NA,1.3,1,0.001,1,NA,NA,NA,NA,1e-04,1,0.002,1,0.069,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,1,49,1,38,1,24,1,0.013,1,NA,NA
"14:10:00 07/05/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,490,65,NA,NA,NA,NA,10.8,65,7,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,35,65,15,65,14.5,65,NA,NA,NA,NA
"14:10:00 12/02/2018",NA,NA,0.001,1,2e-04,1,NA,NA,NA,NA,0.001,1,40,1,424,1,NA,NA,0.002,1,8.1,1,7.5,1,0.012,1,NA,NA,NA,NA,0.48,1,0.001,1,NA,NA,NA,NA,1e-04,1,0.001,1,0.19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,1,36,1,29,1,21.5,1,0.004,1,NA,NA
"14:10:00 14/01/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,390,65,NA,NA,NA,NA,7.8,65,6.8,65,0.02,65,NA,NA,NA,NA,0.84,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,65,52,65,17,65,21,65,NA,NA,NA,NA
"14:15:00 07/12/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,310,65,NA,NA,NA,NA,7.8,65,7.4,65,0.008,65,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,50,65,52,65,23.5,65,NA,NA,NA,NA
"14:15:00 11/04/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,360,65,NA,NA,NA,NA,9.4,65,7.6,65,0.003,65,NA,NA,NA,NA,0.72,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,39,65,17,65,18,65,NA,NA,NA,NA
"14:15:00 13/08/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,439,65,NA,NA,NA,NA,10.8,65,7.5,65,0.01,65,NA,NA,NA,NA,0.87,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,26,65,15,65,11,65,NA,NA,NA,NA
"14:20:00 11/08/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,65,350,65,NA,NA,NA,NA,11.2,65,7.3,65,0.003,65,NA,NA,NA,NA,0.52,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,23,65,7,65,12,65,NA,NA,NA,NA
