"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"08:00:00 20/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 20/05/1997",NA,NA,NA,NA,NA,NA,530,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1
"08:00:00 20/05/2002",NA,NA,NA,NA,NA,NA,321,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,1,0.084,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 20/06/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.061,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 21/01/1997",NA,NA,NA,NA,NA,NA,251,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 21/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 21/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 21/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 21/10/2002",NA,NA,NA,NA,NA,NA,254,1,9.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.07,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 21/12/1996",NA,NA,NA,NA,NA,NA,218,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 22/01/1997",NA,NA,NA,NA,NA,NA,249,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 22/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 22/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 22/04/1997",NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,1
"08:00:00 22/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 22/10/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 22/12/1996",NA,NA,NA,NA,NA,NA,245,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 23/01/1997",NA,NA,NA,NA,NA,NA,259,1,9.4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,1
"08:00:00 23/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 23/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 23/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 23/12/1996",NA,NA,NA,NA,NA,NA,487,1,7.2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,1
"08:00:00 24/01/1997",NA,NA,NA,NA,NA,NA,264,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 24/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 24/03/1997",NA,NA,NA,NA,NA,NA,270,1,9.6,1,NA,NA,NA,NA,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,1
"08:00:00 24/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 24/03/2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,1,0.06,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 24/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 24/04/2000",NA,NA,NA,NA,NA,NA,297,1,9.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,1,0.051,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 24/06/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 24/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 24/12/1996",NA,NA,NA,NA,NA,NA,246,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 25/01/1997",NA,NA,NA,NA,NA,NA,248,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 25/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 25/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 25/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 25/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 25/12/1996",NA,NA,NA,NA,NA,NA,259,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 26/01/1997",NA,NA,NA,NA,NA,NA,249,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 26/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 26/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 26/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 26/06/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 26/08/2002",NA,NA,NA,NA,NA,NA,343,1,12.19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,1,0.052,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 26/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 26/10/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 26/12/1996",NA,NA,NA,NA,NA,NA,250,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 27/01/1997",NA,NA,NA,NA,NA,NA,249,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 27/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 27/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 27/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 27/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 27/12/1996",NA,NA,NA,NA,NA,NA,199,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 28/01/1997",NA,NA,NA,NA,NA,NA,290,1,6.7,1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,1
"08:00:00 28/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 28/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 28/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 28/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 28/12/1996",NA,NA,NA,NA,NA,NA,197,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 29/01/1997",NA,NA,NA,NA,NA,NA,261,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 29/01/2002",NA,NA,NA,NA,NA,NA,245,1,7.77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,1,0.097,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 29/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 29/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 29/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 29/09/1998",NA,NA,NA,NA,NA,NA,299,1,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.13,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 29/12/1996",NA,NA,NA,NA,NA,NA,225,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 30/01/1997",NA,NA,NA,NA,NA,NA,308,1,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1
"08:00:00 30/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 30/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 30/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 30/12/1996",NA,NA,NA,NA,NA,NA,227,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 31/01/1997",NA,NA,NA,NA,NA,NA,253,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 31/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 31/12/1996",NA,NA,NA,NA,NA,NA,246,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:02:00 24/04/2001",NA,NA,NA,NA,NA,NA,170,1,9.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,1,0.35,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:04:00 21/05/2001",NA,NA,NA,NA,NA,NA,340,1,10.54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1,0.057,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:04:00 29/02/2000",NA,NA,NA,NA,NA,NA,297,1,7.65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,1,0.079,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:05:00 11/02/2002",NA,NA,NA,NA,NA,NA,229,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,1,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:05:00 20/10/1998",NA,NA,NA,NA,NA,NA,325,1,9.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:05:00 26/02/2002",NA,NA,NA,NA,NA,NA,268,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1,0.068,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:06:00 16/07/2001",NA,NA,NA,NA,NA,NA,347,1,11.44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1,0.066,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:10:00 01/06/1999",NA,NA,NA,NA,NA,NA,355,1,9.52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,1,0.073,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:10:00 07/10/2002",NA,NA,NA,NA,NA,NA,320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1,0.094,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:10:00 08/04/2002",NA,NA,NA,NA,NA,NA,236,1,9.29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,1,0.048,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:10:00 09/04/2001",NA,NA,NA,NA,NA,NA,290,1,9.44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,1,0.054,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:10:00 21/07/1998",NA,NA,NA,NA,NA,NA,337,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1,0.06,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:14:00 17/06/2002",NA,NA,NA,NA,NA,NA,293,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,1,0.067,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:15:00 13/10/1998",NA,NA,NA,NA,NA,NA,321,1,9.27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:15:00 15/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:17:00 19/10/1999",NA,NA,NA,NA,NA,NA,340,1,8.93,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1,0.088,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:18:00 26/11/2001",NA,NA,NA,NA,NA,NA,267,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1,0.089,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:19:00 01/02/2000",NA,NA,NA,NA,NA,NA,253,1,8.56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,1,0.078,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:19:00 11/08/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,1,0.06,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:20:00 02/07/2002",NA,NA,NA,NA,NA,NA,298,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1,0.078,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:20:00 03/09/2001",NA,NA,NA,NA,NA,NA,350,1,11.08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,0.089,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:20:00 20/08/2001",NA,NA,NA,NA,NA,NA,313,1,11.48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,1,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:20:00 22/06/1999",NA,NA,NA,NA,NA,NA,259,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:20:00 23/07/2001",NA,NA,NA,NA,NA,NA,302,1,11.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,0.077,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:24:00 13/07/1999",NA,NA,NA,NA,NA,NA,305,1,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:25:00 15/12/2003",NA,NA,NA,NA,NA,NA,277,1,7.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:25:00 28/01/2003",NA,NA,NA,NA,NA,NA,312,1,7.62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,1,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:27:00 30/04/2001",NA,NA,NA,NA,NA,NA,320,1,9.54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:30:00 01/06/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:30:00 01/10/2001",NA,NA,NA,NA,NA,NA,318,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1,0.072,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:30:00 03/06/2002",NA,NA,NA,NA,NA,NA,303,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1,0.043,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:30:00 12/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,1,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:30:00 13/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.28,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:30:00 14/08/2001",NA,NA,NA,NA,NA,NA,333,1,11.32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,0.075,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:30:00 16/04/1997",NA,NA,NA,NA,NA,NA,230,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,1,NA,NA,NA,NA,NA,NA,7.14,1
"08:30:00 26/06/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:32:00 24/08/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:32:00 26/08/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:40:00 06/08/2001",NA,NA,NA,NA,NA,NA,343,1,11.72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1,0.071,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:40:00 12/08/2002",NA,NA,NA,NA,NA,NA,316,1,11.63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,1,0.051,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:40:00 15/07/2002",NA,NA,NA,NA,NA,NA,325,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:40:00 22/04/2002",NA,NA,NA,NA,NA,NA,250,1,8.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,1,0.087,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:41:00 03/08/1999",NA,NA,NA,NA,NA,NA,251,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,1,0.081,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:45:00 13/01/2003",NA,NA,NA,NA,NA,NA,293,1,8.32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,1,0.58,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:45:00 16/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:45:00 29/10/2001",NA,NA,NA,NA,NA,NA,288,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:50:00 16/12/2009",NA,NA,45,1,309.6,1,NA,NA,NA,NA,7.3,1,6.8,1,0.008,1,0.37,1,0.246,1,NA,NA,0.045,1,28,1,31,1,20,1,NA,NA
"09:00:00 15/03/2007",NA,NA,40,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,0.65,65,0.19,65,NA,NA,0.08,65,30,65,NA,NA,NA,NA,NA,NA
"09:02:00 30/07/2001",NA,NA,NA,NA,NA,NA,346,1,11.62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1,0.069,1,NA,NA,NA,NA,NA,NA,NA,NA
"09:15:00 09/06/2004",NA,NA,NA,NA,NA,NA,259,1,9.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.032,1,NA,NA,NA,NA,NA,NA,NA,NA
"09:20:00 07/05/2008",NA,NA,35,65,353,65,NA,NA,NA,NA,9.2,65,7,65,0.003,65,0.67,65,0.24,65,NA,NA,0.06,65,30,65,28.9,65,12.4,65,NA,NA
