"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"07:55:00 07/08/2000",NA,NA,NA,NA,NA,NA,411,1,11.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1,0.066,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:55:00 15/06/1999",NA,NA,NA,NA,NA,NA,286,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1,0.082,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:55:00 15/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:55:00 27/07/1999",NA,NA,NA,NA,NA,NA,217,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1,0.068,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:55:00 28/07/1998",NA,NA,NA,NA,NA,NA,338,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.063,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:55:00 29/07/2002",NA,NA,NA,NA,NA,NA,195,1,11.72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1,0.051,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:56:00 07/09/1999",NA,NA,NA,NA,NA,NA,260,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,1,0.22,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:56:00 10/12/2001",NA,NA,NA,NA,NA,NA,236,1,9.59,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1,0.084,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:56:00 15/05/2001",NA,NA,NA,NA,NA,NA,390,1,10.44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,1,0.061,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:56:00 16/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA
