"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"13:00:00 10/11/1981",NA,NA,NA,NA,NA,NA,320,65,NA,NA,10,65,8.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,65,21,65,NA,NA
"13:00:00 11/09/2001",7.4,65,65,65,60,65,320,65,310,65,10,65,7.3,65,0.01,65,NA,NA,NA,NA,NA,NA,0.65,65,6.7,65,NA,NA,NA,NA,0.66,65,2.8,65,NA,NA,38,65,11,65,28,65,NA,NA,NA,NA,0.07,65,15,65,15,65,13,65,7.2,65
"13:00:00 14/05/1997",4.6,65,46,65,38,65,210,65,210,65,10.8,65,6.8,65,0.006,65,NA,NA,NA,NA,NA,NA,0.47,65,5,65,NA,NA,NA,NA,0.31,65,2.2,65,NA,NA,25,65,7,65,16,65,NA,NA,NA,NA,0.03,65,11,65,6,65,12,65,7.1,65
"13:00:00 16/01/1984",NA,NA,NA,NA,NA,NA,220,65,NA,NA,7.4,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,65,22,65,NA,NA
"13:00:00 16/02/1994",NA,NA,NA,NA,120,65,260,65,NA,NA,9.3,65,6.7,65,0.05,65,NA,NA,NA,NA,NA,NA,1.1,65,NA,NA,NA,NA,NA,NA,0.32,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,65,58,65,40,65,22.5,65,NA,NA
"13:00:00 16/12/1982",NA,NA,NA,NA,NA,NA,160,65,NA,NA,NA,180,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,65,23,65,NA,NA
"13:00:00 22/06/1982",NA,NA,NA,NA,NA,NA,410,65,NA,NA,10.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,12,65,NA,NA
"13:04:00 15/09/1992",NA,NA,NA,NA,90,65,180,65,NA,NA,11,65,6.6,65,0.03,65,NA,NA,NA,NA,NA,NA,1.2,65,NA,NA,NA,NA,NA,NA,0.69,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,65,49,65,68,65,10.5,65,NA,NA
"13:05:00 01/06/1989",NA,NA,NA,NA,NA,NA,56,65,NA,NA,10.4,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,65,11,65,NA,NA
"13:05:00 13/03/1991",NA,NA,NA,NA,20,65,170,65,NA,NA,10.2,65,7.1,65,0.01,65,NA,NA,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,20,65,11,65,20.5,65,NA,NA
"13:05:00 18/04/1994",NA,NA,NA,NA,20,65,230,65,NA,NA,9.6,65,7,65,0.01,65,NA,NA,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,21,65,20,65,16,65,NA,NA
"13:06:00 04/06/1991",NA,NA,NA,NA,NA,NA,390,65,NA,NA,11,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,65,14,65,NA,NA
"13:10:00 03/09/1997",7.8,65,72,65,60,65,340,65,320,65,10.6,65,7.5,65,0.01,65,NA,NA,NA,NA,NA,NA,0.61,65,7.3,65,NA,NA,NA,NA,0.88,65,2.7,65,NA,NA,42,65,16,65,23,65,NA,NA,NA,NA,0.08,65,30,65,24,65,13,65,7.3,65
"13:10:00 04/06/1984",NA,NA,NA,NA,NA,NA,320,65,NA,NA,10.4,65,8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,65,15,65,NA,NA
"13:10:00 11/08/1982",NA,NA,NA,NA,NA,NA,320,65,NA,NA,11.8,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,16,65,NA,NA
"13:10:00 12/09/1978",6.6,65,46,65,110,65,190,65,NA,NA,NA,180,7.4,65,NA,NA,0.03,65,45,65,3.9,65,0.7,65,5.5,65,0.02,65,2e-04,65,0.46,65,2.4,65,9.9,65,30,65,16,65,21,65,160,65,9,65,0.11,65,91,65,51,65,19,65,NA,NA
"13:10:00 24/08/1999",7.3,65,63,65,50,65,300,65,300,65,10.2,65,7.3,65,0.01,65,NA,NA,NA,NA,NA,NA,0.49,65,6.7,65,NA,NA,NA,NA,0.62,65,2.6,65,NA,NA,37,65,11,65,29,65,NA,NA,NA,NA,0.06,65,14,65,14,65,12,65,7.4,65
"13:12:00 12/05/1993",NA,NA,NA,NA,40,65,150,65,NA,NA,11,65,6.4,65,0.02,65,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,16,65,14,65,13.5,65,NA,NA
"13:12:00 19/04/1995",NA,NA,NA,NA,45,65,280,65,NA,NA,8.2,65,7,65,0.02,65,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,0.44,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,30,65,23,65,14,65,NA,NA
"13:13:00 13/10/1993",NA,NA,NA,NA,55,65,150,65,NA,NA,12.2,65,7.1,65,0.01,65,NA,NA,NA,NA,NA,NA,0.7,65,NA,NA,NA,NA,NA,NA,0.52,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,36,65,43,65,14,65,NA,NA
"13:15:00 01/08/2001",7.7,65,78,65,40,65,380,65,340,65,11.1,65,7.3,65,0.005,65,NA,NA,NA,NA,NA,NA,0.78,65,8.5,65,NA,NA,NA,NA,0.63,65,3.5,65,NA,NA,41,65,11,65,24,65,NA,NA,NA,NA,0.07,65,12,65,20,65,10.5,65,7,65
"13:15:00 02/11/1983",8,65,49,65,80,65,230,65,NA,NA,8.4,65,7,65,NA,NA,NA,NA,46,65,2.4,65,0.6,65,5.5,65,0.08,65,NA,NA,0.49,65,2.4,65,11,65,32,65,14,65,28,65,160,65,9,65,0.07,65,33,65,20,65,18,65,NA,NA
"13:15:00 03/06/1987",NA,NA,NA,NA,NA,NA,280,65,NA,NA,9.8,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,65,13,65,NA,NA
"13:15:00 08/08/1996",5.2,65,41,65,65,65,190,65,200,65,12.2,65,6.7,65,0.02,65,NA,NA,NA,NA,NA,NA,1.1,65,5.1,65,NA,NA,NA,NA,0.81,65,3.3,65,NA,NA,23,65,6.4,65,16,65,NA,NA,NA,NA,0.13,65,58,65,33,65,8,65,7,65
