"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"07:39:00 15/02/1995",NA,NA,NA,NA,40,65,160,65,NA,NA,7.8,65,6.4,65,0.005,65,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,21,65,18,65,21,65,NA,NA
"07:50:00 15/11/1995",NA,NA,NA,NA,60,65,240,65,NA,NA,9.8,65,6.4,65,0.006,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,0.53,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,37,65,26,65,15,65,NA,NA
"08:10:00 16/03/1998",3.5,65,36,65,35,65,320,65,150,65,9.4,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.27,65,3.8,65,NA,NA,NA,NA,0.02,65,1.6,65,NA,NA,18,65,5,65,18,65,NA,NA,NA,NA,0.04,65,13,65,12,65,18,65,7.9,65
"08:15:00 17/12/1990",NA,NA,NA,NA,55,65,150,65,NA,NA,11,65,6.4,65,0.08,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,0.004,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,65,26,65,16,65,17,65,NA,NA
"08:30:00 02/11/1982",NA,NA,NA,NA,NA,NA,260,65,NA,NA,8.3,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,19.5,65,NA,NA
"08:35:00 14/01/1999",6.9,65,58,65,55,65,370,65,290,65,8.4,65,6.9,65,0.02,65,NA,NA,NA,NA,NA,NA,0.58,65,6.4,65,NA,NA,NA,NA,0.26,65,2.8,65,NA,NA,36,65,16,65,29,65,NA,NA,NA,NA,0.08,65,23,65,8.5,65,19.5,65,7.2,65
"08:41:00 08/03/1990",NA,NA,NA,NA,NA,NA,410,65,NA,NA,7.4,65,6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,65,20,65,NA,NA
"08:45:00 12/10/1995",NA,NA,NA,NA,50,65,270,65,NA,NA,10.1,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,0.43,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,24,65,15,65,13,65,NA,NA
"08:56:00 12/04/1990",NA,NA,NA,NA,NA,NA,150,65,NA,NA,9.3,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,65,18.5,65,NA,NA
"09:00:00 07/02/1989",4.2,65,31,65,100,65,160,65,NA,NA,7.2,65,6.8,65,NA,NA,NA,NA,26,65,1.9,65,0.5,65,4.3,65,0.1,65,NA,NA,0.003,65,1.9,65,NA,NA,19,65,1.8,65,20,65,100,65,6,65,0.06,65,40,65,17,65,20.5,65,NA,NA
"09:02:00 11/01/1990",NA,NA,NA,NA,NA,NA,140,65,NA,NA,9.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,22,65,NA,NA
"09:07:00 20/08/1990",NA,NA,NA,NA,80,65,210,65,NA,NA,11.2,65,7.7,65,0.006,65,NA,NA,NA,NA,NA,NA,0.9,65,NA,NA,NA,NA,NA,NA,0.62,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,39,65,35,65,10,65,NA,NA
"09:10:00 05/07/1990",NA,NA,NA,NA,NA,NA,260,65,NA,NA,11.6,65,5.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,8.5,65,NA,NA
"09:10:00 07/01/1985",NA,NA,NA,NA,NA,NA,270,65,NA,NA,8.2,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,65,19,65,NA,NA
"09:10:00 09/01/1986",NA,NA,NA,NA,NA,NA,200,65,NA,NA,9.4,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,19,65,NA,NA
"09:10:00 15/11/1977",NA,NA,NA,NA,NA,NA,280,65,NA,NA,9.6,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,65,18.5,65,NA,NA
"09:11:00 17/09/1990",NA,NA,NA,NA,40,65,210,65,NA,NA,11.4,65,NA,180,0.01,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,0.52,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,24,65,20,65,10.5,65,NA,NA
"09:12:00 05/06/1990",NA,NA,NA,NA,NA,NA,240,65,NA,NA,11.2,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,65,11.5,65,NA,NA
"09:15:00 05/12/2001",7,65,56,65,50,65,280,65,280,65,9,65,7.3,65,0.007,65,NA,NA,NA,NA,NA,NA,0.46,65,6.9,65,NA,NA,NA,NA,0.37,65,2.3,65,NA,NA,36,65,16,65,28,65,NA,NA,NA,NA,0.06,65,19,65,13,65,16,65,7.4,65
"09:21:00 19/11/1990",NA,NA,NA,NA,50,65,220,65,NA,NA,10.2,65,6.6,65,0.03,65,NA,NA,NA,NA,NA,NA,0.7,65,NA,NA,NA,NA,NA,NA,0.32,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,26,65,21,65,17,65,NA,NA
"09:22:00 22/10/1990",NA,NA,NA,NA,55,65,250,65,NA,NA,10.7,65,6.7,65,0.08,65,NA,NA,NA,NA,NA,NA,0.7,65,NA,NA,NA,NA,NA,NA,0.52,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,65,36,65,32,65,13,65,NA,NA
"09:30:00 02/12/1987",NA,NA,NA,NA,NA,NA,210,65,NA,NA,8.8,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,65,16,65,NA,NA
"09:30:00 05/11/1986",7.2,65,41,65,60,65,250,65,NA,NA,NA,180,6.9,65,NA,NA,NA,NA,41,65,1.9,65,0.45,65,5.5,65,0.06,65,NA,NA,0.53,65,1.8,65,10,65,30,65,26,65,24,65,160,65,6,65,0.08,65,24,65,10,65,19,65,NA,NA
"09:30:00 06/02/1997",3.2,65,28,65,50,65,140,65,140,65,8.8,65,6.6,65,0.005,65,NA,NA,NA,NA,NA,NA,0.25,65,3.2,65,NA,NA,NA,NA,0.16,65,1.9,65,NA,NA,15,65,2.2,65,17,65,NA,NA,NA,NA,0.11,65,18,65,13,65,21.5,65,7.1,65
"09:30:00 06/09/1995",NA,NA,NA,NA,60,65,230,65,NA,NA,11.8,65,6.9,65,0.01,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,32,65,20,65,8,65,NA,NA
"09:30:00 08/02/1990",6.2,65,42,65,35,65,250,65,NA,NA,9.1,65,6.9,65,NA,NA,NA,NA,47,65,1.2,65,0.6,65,6.3,65,0.08,65,NA,NA,0.02,65,2.3,65,3.5,65,30,65,32,65,20,65,160,65,7,65,0.07,65,26,65,15,65,19,65,NA,NA
"09:30:00 08/06/1995",NA,NA,NA,NA,50,65,240,65,NA,NA,11,65,7,65,0.01,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,0.61,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,30,65,17,65,11.2,65,NA,NA
"09:35:00 03/09/1980",NA,NA,NA,NA,NA,NA,280,65,NA,NA,9.5,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,14.5,65,NA,NA
"09:35:00 06/12/1985",NA,NA,NA,NA,NA,NA,190,65,NA,NA,9,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,19,65,NA,NA
"09:35:00 15/07/1980",7.2,65,53,65,80,65,270,65,NA,NA,9.9,65,7.4,65,NA,NA,NA,NA,42,65,1.87,65,0.6,65,6,65,0.04,65,NA,NA,1.2,65,2,65,11,65,34,65,24,65,17,65,170,65,7,65,0.07,65,20,65,25,65,13,65,NA,NA
"09:40:00 02/11/1988",8.1,65,59,65,50,65,320,65,NA,NA,9,65,7,65,NA,NA,NA,NA,51,65,1.9,65,0.7,65,7.6,65,0.06,65,NA,NA,0.6,65,2.6,65,12,65,40,65,25,65,26,65,200,65,9,65,0.09,65,22,65,3.4,65,17,65,NA,NA
"09:40:00 07/01/1987",NA,NA,NA,NA,NA,NA,240,65,NA,NA,7.2,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,22.5,65,NA,NA
"09:40:00 10/05/1984",13,65,72,65,100,65,430,65,NA,NA,9.2,65,7.4,65,NA,NA,NA,NA,66,65,1.9,65,0.55,65,9.2,65,0.07,65,NA,NA,0.45,65,3.4,65,12,65,55,65,45,65,38,65,250,65,7,65,0.08,65,22,65,25,65,15,65,NA,NA
"09:40:00 11/01/1982",18,65,58,65,60,65,460,65,NA,NA,7.8,65,6.7,65,NA,NA,NA,NA,78,65,1.45,65,0.55,65,7.6,65,0.08,65,NA,NA,0.17,65,3.6,65,9.6,65,61,65,77,65,46,65,280,65,7,65,0.05,65,26,65,19,65,23,65,NA,NA
"09:40:00 12/08/2002",7,65,64,65,30,65,340,65,320,65,10.3,65,7,65,0.01,65,NA,NA,NA,NA,NA,NA,0.5,65,7.2,65,NA,NA,NA,NA,0.58,65,2.6,65,NA,NA,41,65,17,65,27,65,NA,NA,NA,NA,0.05,65,12,65,9.5,65,9.4,65,7.1,65
"09:40:00 31/10/1984",8.3,65,45,65,50,65,250,65,NA,NA,9.3,65,7.3,65,NA,NA,NA,NA,48,65,1.5,65,0.6,65,7.2,65,0.04,65,NA,NA,0.46,65,2.1,65,11,65,34,65,28,65,22,65,160,65,10,65,0.12,65,30,65,14,65,18,65,NA,NA
"09:45:00 03/02/1986",5.6,65,33,65,60,65,200,65,NA,NA,9,65,6.8,65,NA,NA,NA,NA,36,65,1.9,65,0.5,65,5.1,65,0.09,65,NA,NA,0.05,65,1.7,65,7.6,65,24,65,19,65,22,65,130,65,6,65,0.12,65,26,65,10.6,65,21,65,NA,NA
"09:45:00 03/03/1987",NA,NA,NA,NA,NA,NA,270,65,NA,NA,9.3,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,19,65,NA,NA
"09:45:00 04/09/1986",NA,NA,NA,NA,NA,NA,250,65,NA,NA,11,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,65,12,65,NA,NA
"09:45:00 14/05/1998",5.8,65,49,65,25,65,280,65,260,65,10.2,65,7.1,65,0.006,65,NA,NA,NA,NA,NA,NA,0.35,65,5.8,65,NA,NA,NA,NA,0.07,65,2.4,65,NA,NA,32,65,22,65,19,65,NA,NA,NA,NA,0.03,65,10,65,5.7,65,12,65,7.6,65
"09:45:00 24/06/1998",11,65,95,65,43,65,430,65,470,65,11,65,7.4,65,0.05,65,NA,NA,NA,NA,NA,NA,0.51,65,9.1,65,NA,NA,NA,NA,0.42,65,3.5,65,NA,NA,61,65,29,65,43,65,NA,NA,NA,NA,0.08,65,8,65,8.6,65,10,65,7.3,65
"09:45:00 27/11/1997",6.6,65,59,65,35,65,240,65,270,65,7.8,65,7.1,65,0.01,65,NA,NA,NA,NA,NA,NA,0.58,65,6.5,65,NA,NA,NA,NA,0.12,65,2.9,65,NA,NA,34,65,11,65,25,65,NA,NA,NA,NA,0.06,65,19,65,16,65,20,65,7.1,65
"09:50:00 04/02/1985",12,65,50,65,50,65,370,65,NA,NA,7,65,7.2,65,NA,NA,NA,NA,72,65,0.9,65,0.75,65,10,65,0.04,65,NA,NA,0.07,65,2.4,65,2,65,46,65,70,65,30,65,230,65,6,65,0.07,65,26,65,19,65,22,65,NA,NA
"09:50:00 06/07/1995",NA,NA,NA,NA,90,65,270,65,NA,NA,11.8,65,7.1,65,0.02,65,NA,NA,NA,NA,NA,NA,1.1,65,NA,NA,NA,NA,NA,NA,1.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,28,65,20,65,8,65,NA,NA
"09:50:00 11/07/2001",6.8,65,60,65,35,65,290,65,280,65,11.6,65,7.7,65,0.009,65,NA,NA,NA,NA,NA,NA,0.44,65,6.8,65,NA,NA,NA,NA,0.68,65,2.1,65,NA,NA,33,65,12,65,21,65,NA,NA,NA,NA,0.06,65,18,65,16,65,10.5,65,6.9,65
"09:50:00 13/11/1985",5.9,65,42,65,80,65,230,65,NA,NA,9.5,65,NA,180,NA,NA,NA,NA,34,65,3,65,0.8,65,5.3,65,0.09,65,NA,NA,0.37,65,2.1,65,6.8,65,28,65,9.1,65,23,65,150,65,13,65,0.1,65,29,65,41,65,19,65,NA,NA
"09:50:00 17/05/1990",4.7,65,43,65,35,65,190,65,NA,NA,11.2,65,6.2,65,NA,NA,NA,NA,30,65,1,65,0.3,65,4.6,65,0.05,65,NA,NA,0.32,65,1.9,65,9.9,65,23,65,5.7,65,17,65,120,65,4,65,0.26,65,9,65,12,65,12,65,NA,NA
"09:50:00 28/04/1998",5.3,65,50,65,33,65,280,65,300,65,10,65,7.1,65,0.008,65,NA,NA,NA,NA,NA,NA,0.48,65,5.7,65,NA,NA,NA,NA,0.06,65,2.9,65,NA,NA,33,65,20,65,20,65,NA,NA,NA,NA,0.06,65,12,65,8.6,65,14,65,7.2,65
"10:00:00 03/12/1998",4.9,65,44,65,47,65,230,65,230,65,8.2,65,7.4,65,0.009,65,NA,NA,NA,NA,NA,NA,0.58,65,5.1,65,NA,NA,NA,NA,0.29,65,1.9,65,NA,NA,28,65,11,65,21,65,NA,NA,NA,NA,0.08,65,24,65,11,65,18.5,65,7.3,65
"10:00:00 04/09/1984",NA,NA,NA,NA,NA,NA,290,65,NA,NA,9.7,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,65,12,65,NA,NA
"10:00:00 06/02/1996",NA,NA,NA,NA,45,65,190,65,NA,NA,11,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,47,65,2.7,65,18.5,65,NA,NA
"10:00:00 07/01/1988",NA,NA,NA,NA,NA,NA,220,65,NA,NA,8.6,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,65,21.5,65,NA,NA
"10:00:00 10/02/1987",5.4,65,35,65,70,65,180,65,NA,NA,8.4,65,6.7,65,NA,NA,NA,NA,40,65,2.3,65,0.6,65,4.4,65,0.12,65,NA,NA,0.06,65,2,65,3.6,65,24,65,7.4,65,24,65,110,65,8,65,0.33,65,34,65,20,65,21.5,65,NA,NA
"10:00:00 11/05/1981",NA,NA,NA,NA,NA,NA,590,65,NA,NA,9.1,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,65,15,65,NA,NA
"10:05:00 07/08/1985",12,65,66,65,120,65,330,65,NA,NA,11.4,65,6.5,65,NA,NA,NA,NA,69,65,3.6,65,1,65,8,65,0.08,65,NA,NA,0.76,65,3,65,10,65,41,65,18,65,35,65,210,65,13,65,0.2,65,97,65,NA,180,10.5,65,NA,NA
"10:10:00 03/10/1985",NA,NA,NA,NA,NA,NA,220,65,NA,NA,10,65,6.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,65,15,65,NA,NA
"10:10:00 27/11/2000",5.8,65,44,65,50,65,210,65,220,65,8.4,65,7.5,65,0.006,65,NA,NA,NA,NA,NA,NA,0.57,65,5.9,65,NA,NA,NA,NA,0.3,65,2.3,65,NA,NA,26,65,13,65,22,65,NA,NA,NA,NA,0.08,65,19,65,11,65,21.5,65,7.3,65
"10:11:00 15/01/1991",NA,NA,NA,NA,70,65,210,65,NA,NA,9,65,6.2,65,0.02,65,NA,NA,NA,NA,NA,NA,0.7,65,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,65,27,65,15,65,21.5,65,NA,NA
"10:15:00 02/02/1988",3.4,65,23,65,50,65,130,65,NA,NA,8.6,65,6.8,65,NA,NA,NA,NA,21,65,1.4,65,0.6,65,3.3,65,0.07,65,NA,NA,0.01,65,1.8,65,2.7,65,14,65,2.6,65,16,65,NA,NA,5,65,0.06,65,27,65,8.3,65,22,65,NA,NA
"10:15:00 06/08/1986",7.1,65,44,65,50,65,240,65,NA,NA,10.8,65,6.9,65,NA,NA,NA,NA,44,65,1.9,65,0.7,65,5.9,65,0.05,65,NA,NA,0.86,65,2.2,65,11,65,32,65,21,65,20,65,160,65,6,65,0.09,65,24,65,14,65,10,65,NA,NA
"10:15:00 13/01/1989",NA,NA,NA,NA,NA,NA,230,65,NA,NA,8.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,65,18.5,65,NA,NA
"10:15:00 14/08/1995",NA,NA,NA,NA,60,65,200,65,NA,NA,11.8,65,6.8,65,0.01,65,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,1.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,16,65,17,65,7.5,65,NA,NA
"10:18:00 12/02/1991",NA,NA,NA,NA,50,65,73,65,NA,NA,8.4,65,6.5,65,0.02,65,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,14,65,13,65,20,65,NA,NA
"10:20:00 07/08/1989",6.7,65,54,65,80,65,290,65,NA,NA,11.3,65,6.9,65,NA,NA,NA,NA,42,65,2.6,65,1,65,6.1,65,0.06,65,NA,NA,0.69,65,3.7,65,10,65,31,65,9.3,65,24,65,190,65,9,65,0.11,65,21,65,24,65,9,65,NA,NA
"10:20:00 09/12/1980",NA,NA,NA,NA,NA,NA,360,65,NA,NA,7.5,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,22,65,NA,NA
"10:20:00 22/04/1982",NA,NA,NA,NA,NA,NA,360,65,NA,NA,9.3,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,18,65,NA,NA
"10:20:00 24/01/2000",4.1,65,37,65,45,65,180,65,180,65,8.8,65,7.3,65,0.003,65,NA,NA,NA,NA,NA,NA,0.46,65,4.3,65,NA,NA,NA,NA,0.04,65,2,65,NA,NA,21,65,7,65,18,65,NA,NA,NA,NA,0.06,65,19,65,10,65,18.5,65,6.8,65
"10:30:00 02/04/1985",NA,NA,NA,NA,NA,NA,360,65,NA,NA,8.4,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,65,20,65,NA,NA
"10:30:00 02/05/1988",9.4,65,58,65,120,65,350,65,NA,NA,8.6,65,7.3,65,NA,NA,NA,NA,52,65,1.6,65,0.6,65,7.1,65,0.07,65,NA,NA,0.52,65,2.9,65,8.3,65,46,65,38,65,32,65,200,65,4,65,0.08,65,33,65,1.1,65,16.5,65,NA,NA
"10:30:00 02/10/1984",NA,NA,NA,NA,NA,NA,220,65,NA,NA,10,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,65,13,65,NA,NA
"10:30:00 04/11/1996",4,65,39,65,40,65,180,65,190,65,9,65,6.7,65,0.006,65,NA,NA,NA,NA,NA,NA,0.52,65,4.3,65,NA,NA,NA,NA,0.5,65,2,65,NA,NA,21,65,7,65,17,65,NA,NA,NA,NA,0.06,65,28,65,5.5,65,17.5,65,7,65
"10:30:00 06/05/1986",7.3,65,46,65,80,65,260,65,NA,NA,9.2,65,7.1,65,NA,NA,NA,NA,43,65,1.3,65,0.5,65,6.8,65,0.05,65,NA,NA,0.26,65,1.7,65,6,65,34,65,25,65,21,65,150,65,5,65,0.08,65,17,65,7.1,65,15,65,NA,NA
"10:30:00 11/04/2000",4.3,65,35,65,35,65,150,65,170,65,9.6,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.66,65,4.1,65,NA,NA,NA,NA,0.08,65,1.8,65,NA,NA,20,65,5,65,21,65,NA,NA,NA,NA,0.06,65,18,65,8.2,65,16,65,7.7,65
"10:30:00 11/08/1998",7.4,65,60,65,43,65,290,65,280,65,11.2,65,7.4,65,0.02,65,NA,NA,NA,NA,NA,NA,0.36,65,6.5,65,NA,NA,NA,NA,0.6,65,2.4,65,NA,NA,35,65,10,65,26,65,NA,NA,NA,NA,0.07,65,14,65,7,65,10.5,65,7.2,65
"10:30:00 14/05/1996",NA,NA,NA,NA,37,65,200,65,NA,NA,12.8,65,6.9,65,0.03,65,NA,NA,NA,NA,NA,NA,0.48,65,NA,NA,NA,NA,NA,NA,0.42,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,15,65,12,65,12,65,NA,NA
"10:30:00 14/10/1982",7.1,65,52,65,60,65,260,65,NA,NA,9.4,65,7.5,65,NA,NA,NA,NA,46,65,1.16,65,0.55,65,7.1,65,0.05,65,NA,NA,0.13,65,2,65,7.9,65,32,65,19,65,22,65,160,65,6,65,0.06,65,18,65,14,65,18.5,65,NA,NA
"10:30:00 16/09/1999",5.1,65,52,65,40,65,270,65,250,65,10.2,65,7.3,65,0.01,65,NA,NA,NA,NA,NA,NA,0.35,65,6,65,NA,NA,NA,NA,0.59,65,2.1,65,NA,NA,30,65,11,65,19,65,NA,NA,NA,NA,0.06,65,18,65,17,65,13,65,6.9,65
"10:30:00 22/07/1997",7.7,65,68,65,47,65,300,65,310,65,11.2,65,7.5,65,0.04,65,NA,NA,NA,NA,NA,NA,0.5,65,7.1,65,NA,NA,NA,NA,0.64,65,3.3,65,NA,NA,38,65,11,65,24,65,NA,NA,NA,NA,0.11,65,16,65,9.6,65,10,65,7.3,65
"10:30:00 31/08/1987",6.8,65,57,65,60,65,270,65,NA,NA,10.7,65,7.3,65,NA,NA,NA,NA,41,65,1.8,65,0.4,65,6.1,65,0.07,65,NA,NA,0.66,65,2.2,65,11,65,34,65,10,65,25,65,180,65,6,65,0.08,65,18,65,23,65,15,65,NA,NA
