"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"00:00:00 06/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,1,NA,NA,5.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,1
"00:00:00 06/02/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 07/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 07/02/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 08/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 08/02/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 09/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 09/02/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 10/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 10/02/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 11/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 11/02/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 12/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 12/02/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 12/03/2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,1,0.16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 13/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,1,NA,NA,6.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 13/02/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 14/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 15/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,1,NA,NA,7.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 16/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 17/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 18/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 19/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 20/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,1,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 20/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 21/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 21/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 22/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 22/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 23/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,1,NA,NA,6.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,1
"00:00:00 23/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 24/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 24/03/2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,1,0.087,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 24/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 25/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 25/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 26/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 26/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 27/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 27/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 28/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 28/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 29/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 29/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 30/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 30/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 31/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 31/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:15:00 02/07/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.108,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:30:00 17/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.183,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:30:00 27/06/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.147,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:30:00 27/08/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.284,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:45:00 18/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.215,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01:00:00 05/05/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,1,1.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01:00:00 14/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01:00:00 19/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01:00:00 26/06/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01:15:00 23/10/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.202,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01:30:00 13/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1,0.59,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01:45:00 27/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.192,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02:00:00 06/05/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,1,1.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02:02:00 09/05/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1,0.19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02:15:00 05/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.153,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02:15:00 25/06/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03:00:00 09/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.262,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03:00:00 13/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,1,0.72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03:03:00 09/05/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03:15:00 22/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.114,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03:15:00 27/06/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.117,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03:30:00 19/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.301,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03:30:00 21/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.159,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03:30:00 29/08/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04:00:00 13/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1,0.83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
