"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"11:30:00 11/08/2008",NA,NA,16,65,81,65,11.6,65,6.4,65,0.003,65,0.11,65,0.36,65,0.005,65,2,65,2.5,65,8.7,65
"11:30:00 22/05/2008",NA,NA,20,65,62,65,10.7,65,5.3,65,0.003,65,0.14,65,0.15,65,0.005,65,2,65,1.9,65,10.9,65
"11:30:00 28/09/2011",NA,NA,18,1,77,1,11.2,1,6.9,1,0.005,1,0.08,1,0.12,1,0.005,1,2,1,2.2,1,13.3,1
"11:35:00 15/09/2020",NA,NA,12,1,82,1,10.9,1,7.2,1,0.004,1,0.07,1,0.11,1,0.005,1,2,1,2.5,1,12.5,1
"11:35:00 20/02/2020",NA,NA,50,1,127,1,9.7,1,7.2,1,0.003,1,0.39,1,0.4,1,0.024,1,46,1,33,1,16.5,1
"11:40:00 05/03/2007",NA,NA,50,65,90,65,8.5,65,7.5,65,0.006,65,0.43,65,0.19,65,0.06,65,65,65,129,65,21.2,65
"11:40:00 22/06/2015",NA,NA,40,1,80,1,12,1,7,1,0.003,1,0.15,1,0.23,1,0.011,1,2,1,10.2,1,6.4,1
"11:40:00 25/02/2008",NA,NA,18,65,83,65,9.4,65,8,65,0.003,65,0.1,65,0.12,65,0.006,65,2,65,2.7,65,18.6,65
"11:41:00 12/01/2017",NA,NA,16,1,55,1,8.4,1,7.5,1,0.037,1,0.24,1,0.11,1,0.013,1,3,1,4.7,1,22.9,1
"11:50:00 26/07/2016",NA,NA,40,1,69,1,13.1,1,6.9,1,0.003,1,0.1,1,0.17,1,0.015,1,2,1,13.8,1,7.9,1
"11:53:00 17/12/2009",NA,NA,18,1,80.8,1,8.3,1,7.6,1,0.004,1,0.14,1,0.11,1,0.006,1,4,1,2.1,1,25.1,1
"12:00:00 02/07/2007",NA,NA,45,65,NA,NA,NA,NA,NA,NA,0.003,65,0.31,65,0.58,65,0.04,65,26,65,NA,NA,NA,NA
"12:00:00 17/11/2008",NA,NA,11,65,73,65,9.8,65,6.9,65,0.003,65,0.19,65,0.11,65,0.006,65,2,65,2,65,18.7,65
"12:00:00 20/12/2012",NA,NA,16,1,79,1,9.4,1,7.3,1,0.003,1,0.15,1,0.11,1,0.011,1,2,1,2.9,1,20.9,1
"12:00:00 27/08/2012",NA,NA,16,1,159,1,9.6,1,7.2,1,0.003,1,0.09,1,0.079,1,0.008,1,2,1,4.9,1,13.7,1
"12:00:00 28/10/2009",NA,NA,10,1,70,1,8.8,1,7.7,1,0.002,1,0.08,1,0.065,1,0.005,1,1,1,2.3,1,17.5,1
"12:00:00 29/01/2020",NA,NA,20,1,87,1,8.7,1,7.5,1,0.003,1,0.18,1,0.063,1,0.007,1,5,1,5.5,1,23.9,1
"12:13:00 23/06/2016",NA,NA,64,1,93.5,1,12.1,1,6.95,1,0.004,1,0.3,1,0.24,1,0.015,1,9,1,19.8,1,9.6,1
"12:15:00 26/06/2019",NA,NA,10,1,64.9,1,13.17,1,7.84,1,0.003,1,0.12,1,0.18,1,0.009,1,6,1,2.2,1,4.2,1
"12:16:00 27/09/2017",NA,NA,12,1,64,1,10.8,1,8.1,1,0.009,1,0.11,1,0.053,1,0.005,1,2,1,2.3,1,12.3,1
"12:20:00 08/06/2010",NA,NA,18,1,65,1,11.1,1,6.9,1,0.003,1,0.54,1,0.068,1,0.005,1,1,1,3,1,9.8,1
"12:22:00 17/03/2016",NA,NA,20,1,82,1,6.9,1,6.7,1,0.003,1,0.14,1,0.099,1,0.01,1,2,1,2.4,1,21.4,1
"12:25:00 20/09/2012",NA,NA,14,1,81,1,16.9,1,7.2,1,0.003,1,0.12,1,0.096,1,0.008,1,2,1,5.6,1,14.1,1
"12:25:00 23/04/2019",NA,NA,10,1,50.1,1,10.2,1,7.9,1,0.003,1,0.09,1,0.13,1,0.005,1,2,1,3.3,1,15.6,1
"12:30:00 03/09/2007",NA,NA,16,65,15,65,8.9,65,6.9,65,0.003,65,0.11,65,0.05,65,0.008,65,2,65,2.2,65,11.2,65
"12:30:00 18/11/2019",NA,NA,14,1,78.1,1,9.9,1,7.4,1,0.003,1,0.16,1,0.19,1,0.007,1,3,1,3.7,1,18.6,1
"12:30:00 23/07/2008",NA,NA,14,65,81,65,11.6,65,6.8,65,0.003,65,0.1,65,0.2,65,0.007,65,2,65,3.4,65,7,65
"12:35:00 26/02/2014",NA,NA,12,1,55,1,6.8,1,7,1,0.003,1,0.12,1,0.11,1,0.006,1,2,1,2.5,1,20.6,1
"12:43:00 27/07/2017",NA,NA,12,1,75,1,10.9,1,7.2,1,0.003,1,0.09,1,0.11,1,0.005,1,2,1,4.8,1,7.4,1
"12:45:00 26/02/2009",NA,NA,11,65,56,65,9.6,65,6.4,65,0.003,65,0.12,65,0.004,65,0.01,65,2,65,1.4,65,20.5,65
"12:50:00 26/11/2014",NA,NA,14,1,57,1,9.5,1,7.4,1,0.003,1,0.13,1,0.13,1,0.005,1,2,1,3,1,18.5,1
"12:50:00 27/08/2009",NA,NA,20,1,77.6,1,11.9,1,7.4,1,0.003,1,0.07,1,0.126,1,0.005,1,7,1,19.3,1,9.1,1
"12:50:00 28/04/2011",NA,NA,18,1,61,1,9.9,1,7.1,1,0.003,1,0.14,1,0.1,1,0.009,1,5,1,5.8,1,14.9,1
"12:51:00 24/08/2015",NA,NA,8,1,74,1,11.2,1,7.4,1,0.003,1,0.05,1,0.11,1,0.005,1,2,1,2.6,1,10,1
"13:00:00 25/10/2012",NA,NA,20,1,78,1,9.3,1,7.3,1,0.003,1,0.12,1,0.11,1,0.008,1,2,1,29.3,1,17,1
"13:05:00 02/04/2007",NA,NA,30,65,NA,NA,NA,NA,NA,NA,0.003,65,0.1,65,0.09,65,0.01,65,5,65,NA,NA,NA,NA
"13:10:00 01/05/2007",NA,NA,20,65,68,65,9.4,65,7,65,0.004,65,0.37,65,0.16,65,0.04,65,6,65,11.6,65,15.6,65
"13:10:00 27/03/2019",NA,NA,12,1,54.8,1,10.1,1,7.8,1,0.003,1,0.12,1,0.1,1,0.008,1,2,1,2.8,1,16.8,1
"13:15:00 02/07/2007",NA,NA,NA,NA,85,65,11,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,65,10.5,65
"13:15:00 16/04/2020",NA,NA,25,1,89,1,10,1,7.4,1,0.006,1,0.15,1,0.16,1,0.008,1,3,1,4.2,1,15.9,1
"13:15:00 30/04/2009",NA,NA,14,65,89,65,10.2,65,6.5,65,0.003,65,0.12,65,0.12,65,0.006,65,2,65,2.8,65,10.7,65
"13:32:00 23/02/2016",NA,NA,10,1,68,1,9.6,1,7.6,1,0.003,1,0.14,1,0.084,1,0.005,1,2,1,2.3,1,21.8,1
"13:35:00 25/06/2008",NA,NA,20,65,72,65,10.4,65,7,65,0.003,65,0.15,65,0.18,65,0.005,65,2,65,3.2,65,10.5,65
"13:38:00 29/05/2017",NA,NA,10,1,55,1,11.2,1,6.8,1,0.008,1,0.07,1,0.15,1,0.005,1,2,1,1.6,1,10.7,1
"13:40:00 22/01/2008",NA,NA,30,65,95,65,7.6,65,6.9,65,0.003,65,0.21,65,0.51,65,0.02,65,4,65,4.7,65,19.5,65
"13:40:00 28/05/2015",NA,NA,18,1,83,1,9.8,1,6.9,1,0.004,1,0.2,1,0.07,1,0.007,1,2,1,2.6,1,13,1
"13:55:00 02/04/2007",NA,NA,NA,NA,80,65,11,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,65,17.6,65
"14:10:00 28/03/2017",NA,NA,14,1,70,1,8.8,1,7.2,1,0.013,1,0.12,1,0.099,1,0.013,1,2,1,2.3,1,19.9,1
"14:20:00 18/06/2020",NA,NA,12,1,77,1,11.6,1,7.1,1,0.003,1,0.11,1,0.12,1,0.008,1,4,1,3.1,1,9.1,1
"14:25:00 19/12/2017",NA,NA,16,1,64,1,8.7,1,7.5,1,0.003,1,0.1,1,0.053,1,0.006,1,2,1,2.6,1,23.7,1
"15:10:00 17/08/2007",NA,NA,20,65,12,65,11.4,65,6,65,0.003,65,0.12,65,0.27,65,0.01,65,1,65,9.5,65,8.8,65
