"Date","AluminiumasAl","AluminiumasAl_Qual","AmmoniaasN","AmmoniaasN_Qual","BicarbonateAlkalinityasCaCO3","BicarbonateAlkalinityasCaCO3_Qual","CadmiumasCd","CadmiumasCd_Qual","CalciumasCa","CalciumasCa_Qual","CarbonateAlkalinityasCaCO3","CarbonateAlkalinityasCaCO3_Qual","ChlorideasCl","ChlorideasCl_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HydroxideAlkalinityasCaCO3","HydroxideAlkalinityasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","MolybdenumasMo","MolybdenumasMo_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","NitrateNitrogen","NitrateNitrogen_Qual","NitriteNitrogen","NitriteNitrogen_Qual","PotassiumasK","PotassiumasK_Qual","SeleniumasSe","SeleniumasSe_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"09:15:00 13/12/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,65,120,65,NA,NA,NA,NA,NA,NA,6,65,7,65,0.04,65,NA,NA,NA,NA,0.48,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,61,65,NA,NA,21.5,65,NA,NA,NA,NA
"09:15:00 17/01/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,120,65,NA,NA,NA,NA,NA,NA,6.3,65,6,65,0.01,65,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,10,65,NA,NA,21.7,65,NA,NA,NA,NA
"09:15:00 25/07/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,220,65,NA,NA,NA,NA,NA,NA,10.2,65,7.1,65,0.03,65,NA,NA,NA,NA,0.49,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,65,14,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:20:00 14/11/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,65,170,65,NA,NA,NA,NA,NA,NA,7.7,65,6.7,65,0.13,65,NA,NA,NA,NA,0.64,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,65,9,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:20:00 15/01/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,65,2024,65,NA,NA,NA,NA,NA,NA,9.6,65,7.4,65,0.003,65,NA,NA,NA,NA,0.74,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,18,65,NA,NA,22.6,65,NA,NA,NA,NA
"09:20:00 19/12/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,153,65,NA,NA,NA,NA,NA,NA,7.3,65,6.8,65,0.02,65,NA,NA,NA,NA,0.43,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,2,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:20:00 24/06/2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,177,1,NA,NA,NA,NA,NA,NA,10.8,1,7.9,1,0.01,1,NA,NA,NA,NA,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.334,1,2,1,7.7,1,8.5,1,NA,NA,NA,NA
"09:20:00 28/08/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,191,65,NA,NA,NA,NA,NA,NA,9.7,65,6.9,65,0.01,65,NA,NA,NA,NA,0.37,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,17,65,NA,NA,10.4,65,NA,NA,NA,NA
"09:20:00 31/01/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,130,65,NA,NA,NA,NA,NA,NA,4.9,65,7,65,0.02,65,NA,NA,NA,NA,0.33,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,11,65,NA,NA,23.8,65,NA,NA,NA,NA
"09:25:00 10/10/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,103,65,NA,NA,NA,NA,NA,NA,8.7,65,7.2,65,0.01,65,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,17,65,NA,NA,NA,NA,NA,NA,7.5,65
"09:25:00 15/11/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,76,65,NA,NA,NA,NA,NA,NA,7.3,65,7,65,0.01,65,NA,NA,NA,NA,0.39,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,47,65,NA,NA,17.5,65,NA,NA,NA,NA
"09:25:00 27/07/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,1,0.053,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09:26:00 19/04/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,1,NA,NA,7.27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1,0.13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09:26:00 20/07/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,1,0.057,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09:30:00 25/10/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,130,65,NA,NA,NA,NA,NA,NA,6.9,65,7.1,65,0.02,65,NA,NA,NA,NA,0.41,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,16,65,NA,NA,18.4,65,NA,NA,NA,NA
"09:30:00 27/04/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,1,NA,NA,8.34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,1,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09:35:00 08/06/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,1,NA,NA,8.78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,1,0.098,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09:35:00 09/05/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,194,65,NA,NA,NA,NA,NA,NA,7.9,65,7.3,65,0.05,65,NA,NA,NA,NA,0.49,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,65,18,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:35:00 11/09/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,180,65,NA,NA,NA,NA,NA,NA,9.3,65,6.9,65,0.005,65,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,13,65,NA,NA,12.6,65,NA,NA,NA,NA
"09:35:00 24/10/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,160,65,NA,NA,NA,NA,NA,NA,7.3,65,6.8,65,0.003,65,NA,NA,NA,NA,0.55,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,65,18,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:35:00 25/05/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,1,NA,NA,8.48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,1,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09:35:00 29/08/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,181,65,NA,NA,NA,NA,NA,NA,9.5,65,7.2,65,0.003,65,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,18,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:36:00 04/12/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,65,1079,65,NA,NA,NA,NA,NA,NA,8.5,65,7.2,65,0.004,65,NA,NA,NA,NA,0.62,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,26,65,NA,NA,19.9,65,NA,NA,NA,NA
"09:38:00 22/08/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,164,65,NA,NA,NA,NA,NA,NA,9.9,65,7.2,65,0.008,65,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,21,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:40:00 09/04/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,1,NA,NA,NA,NA,NA,NA,NA,NA,7.22,1
"09:40:00 11/03/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,1,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,1,NA,NA,NA,NA,NA,NA,NA,NA,6.61,1
"09:40:00 14/06/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,209,65,NA,NA,NA,NA,NA,NA,9.1,65,7.1,65,0.01,65,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,14,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:40:00 26/04/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,161,65,NA,NA,NA,NA,NA,NA,7.1,65,7.2,65,0.03,65,NA,NA,NA,NA,0.35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,15,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:40:00 29/05/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,168,65,NA,NA,NA,NA,NA,NA,9.2,65,7,65,0.009,65,NA,NA,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,7,65,NA,NA,11.2,65,NA,NA,NA,NA
"09:40:00 31/07/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,134,65,NA,NA,NA,NA,NA,NA,11.2,65,7.1,65,0.008,65,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,13,65,NA,NA,9.8,65,NA,NA,NA,NA
"09:42:00 08/05/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,155,65,NA,NA,NA,NA,NA,NA,8.5,65,7,65,0.02,65,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,10,65,NA,NA,13.1,65,NA,NA,NA,NA
"09:42:00 10/08/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,1,0.049,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09:42:00 15/06/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,1,0.098,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09:42:00 17/08/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,1,0.16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09:43:00 12/09/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,60,65,NA,NA,NA,NA,NA,NA,8.6,65,7.7,65,0.01,65,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,31,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:45:00 11/04/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,206,65,NA,NA,NA,NA,NA,NA,7,65,6.7,65,0.02,65,NA,NA,NA,NA,0.49,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,18,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:45:00 11/07/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,203,65,NA,NA,NA,NA,NA,NA,9.9,65,7.3,65,0.38,65,NA,NA,NA,NA,1.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,65,22,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:45:00 14/03/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,65,NA,NA,NA,NA,0.25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,14,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:45:00 22/05/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,153,65,NA,NA,NA,NA,NA,NA,9.4,65,7,65,0.01,65,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,9,65,NA,NA,11.9,65,NA,NA,NA,NA
"09:45:00 26/09/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,67,65,NA,NA,NA,NA,NA,NA,9.1,65,7.1,65,0.004,65,NA,NA,NA,NA,0.26,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,18,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:45:00 27/06/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,205,65,NA,NA,NA,NA,NA,NA,9.6,65,7.2,65,0.01,65,NA,NA,NA,NA,0.21,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:47:00 18/04/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,239,65,NA,NA,NA,NA,NA,NA,7.9,65,6.8,65,0.01,65,NA,NA,NA,NA,0.35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,16,65,NA,NA,14,65,NA,NA,NA,NA
"09:50:00 01/05/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,132,65,NA,NA,NA,NA,NA,NA,8.7,65,6.5,65,0.01,65,NA,NA,NA,NA,0.26,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,8,65,NA,NA,13.4,65,NA,NA,NA,NA
"09:50:00 14/05/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,1,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,1,NA,NA,NA,NA,NA,NA,NA,NA,7.03,1
"09:50:00 30/05/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,174,65,NA,NA,NA,NA,NA,NA,9,65,7.3,65,0.01,65,NA,NA,NA,NA,0.35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,12,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:54:00 04/01/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,77,65,NA,NA,NA,NA,NA,NA,7.5,65,6.3,65,0.04,65,NA,NA,NA,NA,0.29,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,13,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:55:00 29/03/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,160,65,NA,NA,NA,NA,NA,NA,7.6,65,7.2,65,0.01,65,NA,NA,NA,NA,0.47,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,65,16,65,NA,NA,16.9,65,NA,NA,NA,NA
"09:56:00 19/06/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,240,65,NA,NA,NA,NA,NA,NA,10.9,65,7.1,65,0.004,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,7,65,NA,NA,8.6,65,NA,NA,NA,NA
"09:58:00 31/08/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
