"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"11:30:00 07/04/1997",NA,NA,50,65,85,65,9,65,7.1,65,0.003,65,0.27,65,0.3,65,0.02,65,12,65,4.5,65,12.4,65
"11:30:00 07/11/2018",NA,NA,45,1,127.8,1,9.1,1,7.3,1,0.003,1,0.32,1,0.2,1,0.031,1,15,1,10.1,1,15.8,1
"11:30:00 08/06/1995",NA,NA,100,65,120,65,11,65,7.1,65,0.003,65,0.7,65,0.34,65,0.04,65,36,65,12,65,11.6,65
"11:30:00 08/10/2014",NA,NA,60,1,105,1,10.3,1,7.2,1,0.005,1,0.74,1,0.34,1,0.085,1,32,1,23,1,12.4,1
"11:30:00 12/10/1995",NA,NA,45,65,97,65,10.6,65,6.5,65,0.005,65,0.4,65,0.39,65,0.04,65,22,65,15,65,10,65
"11:30:00 13/08/1991",NA,NA,55,65,98,65,9.4,65,6.8,65,0.003,65,0.5,65,0.45,65,0.04,65,19,65,11,65,9.5,65
"11:30:00 13/10/2020",NA,NA,50,1,81,1,10.3,1,6.8,1,0.005,1,0.38,1,0.44,1,0.029,1,20,1,16,1,13.1,1
"11:30:00 13/12/2007",NA,NA,60,65,83,65,8.2,65,6.2,65,0.003,65,0.32,65,0.14,65,0.02,65,7,65,7.1,65,20.1,65
"11:30:00 15/03/2006",NA,NA,80,65,98,65,8.8,65,7.3,65,0.007,65,0.22,65,0.22,65,0.009,65,29,65,28,65,NA,NA
"11:30:00 18/04/1994",NA,NA,35,65,77,65,9,65,6.7,65,0.008,65,0.5,65,0.3,65,0.04,65,18,65,12,65,13,65
"11:32:00 04/05/2015",NA,NA,50,1,153,1,10.9,1,7.1,1,0.005,1,0.28,1,0.31,1,0.02,1,8,1,8.1,1,11.6,1
"11:32:00 07/03/2018",NA,NA,40,1,80,1,9.6,1,6.5,1,0.004,1,0.22,1,0.082,1,0.025,1,10,1,4.8,1,17.5,1
"11:33:00 15/09/1992",NA,NA,70,65,68,65,10.9,65,6.6,65,0.02,65,0.7,65,0.44,65,0.07,65,37,65,26,65,8.5,65
"11:34:00 13/03/1991",NA,NA,25,65,79,65,9.2,65,7.2,65,0.01,65,0.4,65,0.21,65,0.03,65,9,65,3.4,65,14,65
"11:35:00 21/06/1993",NA,NA,45,65,80,65,8.9,65,7,65,0.004,65,0.5,65,0.32,65,0.04,65,22,65,15,65,9,65
"11:37:00 16/02/1994",NA,NA,55,65,77,65,9,65,6.9,65,0.03,65,0.4,65,0.25,65,0.06,65,22,65,10.1,65,18.5,65
"11:40:00 05/11/2008",NA,NA,84,65,73,65,10,65,7,65,0.003,65,0.71,65,0.31,65,0.06,65,33,65,8.6,65,14,65
"11:40:00 09/12/1996",NA,NA,45,65,87,65,9.9,65,6.8,65,0.003,65,0.26,65,0.41,65,0.03,65,11,65,6.1,65,13.2,65
"11:40:00 10/06/1998",NA,NA,86,65,84,65,10.8,65,6.9,65,0.009,65,0.72,65,0.33,65,0.05,65,26,65,7.8,65,8.9,65
"11:40:00 13/01/1993",NA,NA,50,65,65,65,8.9,65,6.2,65,0.03,65,0.5,65,0.3,65,0.06,65,22,65,14,65,16,65
"11:41:00 19/04/1993",NA,NA,25,65,72,65,9.2,65,6,65,0.15,65,0.2,65,0.27,65,0.17,65,9,65,8,65,13,65
"11:43:00 17/09/1991",NA,NA,60,65,98,65,10.8,65,6.3,65,0.009,65,0.9,65,0.43,65,0.11,65,39,65,42,65,10,65
"11:45:00 06/03/2019",NA,NA,50,1,92,1,8.49,1,7.26,1,0.005,1,0.32,1,0.04,1,0.031,1,10,1,6.9,1,15.3,1
"11:49:00 10/03/2016",NA,NA,64,1,101,1,8.1,1,7.2,1,0.004,1,0.26,1,0.13,1,0.049,1,10,1,8.2,1,21.2,1
"11:49:00 15/12/1993",NA,NA,45,65,84,65,8.5,65,6.6,65,0.004,65,0.6,65,0.3,65,0.05,65,64,65,25,65,16,65
