"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"09:15:00 02/11/1976",NA,NA,NA,NA,73,65,NA,NA,NA,NA,8.4,65,5.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,65,16,65,NA,NA
"09:15:00 04/04/1985",NA,NA,NA,NA,110,65,NA,NA,NA,NA,8.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,19,65,NA,NA
"09:15:00 15/10/2013",NA,NA,10,1,67,1,NA,NA,NA,NA,9.8,1,7.6,1,0.003,1,0.06,1,0.006,1,0.005,1,2,1,0.8,1,14.9,1,NA,NA
"09:15:00 16/01/2014",NA,NA,14,1,86,1,NA,NA,NA,NA,8.1,1,7.6,1,0.003,1,0.14,1,0.007,1,0.005,1,2,1,1.3,1,28.9,1,NA,NA
"09:15:00 16/02/2006",NA,NA,14,65,96,65,NA,NA,NA,NA,8.3,65,6.9,65,0.003,65,0.13,65,0.02,65,0.006,65,1,65,1.3,65,NA,NA,NA,NA
"09:15:00 28/06/1988",NA,NA,NA,NA,63,65,NA,NA,NA,NA,11.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,8,65,NA,NA
"09:15:00 29/12/2005",NA,NA,18,65,74,65,NA,NA,NA,NA,8,65,7,65,0.003,65,0.16,65,0.02,65,0.02,65,1,65,1.3,65,NA,NA,NA,NA
"09:20:00 08/09/1988",NA,NA,NA,NA,77,65,NA,NA,NA,NA,10.4,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,65,12,65,NA,NA
"09:20:00 16/01/2012",NA,NA,12,1,71,1,NA,NA,NA,NA,8.3,1,7.1,1,0.003,1,0.12,1,0.018,1,0.005,1,2,1,1.8,1,22.7,1,NA,NA
"09:30:00 01/08/1975",NA,NA,NA,NA,87,65,NA,NA,NA,NA,10.8,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,9,65,NA,NA
"09:30:00 02/10/1975",NA,NA,NA,NA,94,65,NA,NA,NA,NA,9.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,12,65,NA,NA
"09:30:00 11/04/2013",NA,NA,6,1,107,1,NA,NA,NA,NA,8.6,1,7,1,0.003,1,0.11,1,0.017,1,0.006,1,2,1,1,1,16.8,1,NA,NA
"09:30:00 12/06/2013",NA,NA,8,1,83,1,NA,NA,NA,NA,10.8,1,7.3,1,0.006,1,0.18,1,0.013,1,0.023,1,2,1,1,1,7.7,1,NA,NA
"09:30:00 13/08/2013",NA,NA,16,1,83,1,NA,NA,NA,NA,11.2,1,7.3,1,0.003,1,0.09,1,0.003,1,0.005,1,2,1,1.6,1,8.4,1,NA,NA
"09:30:00 14/02/2013",NA,NA,8,1,155,1,NA,NA,NA,NA,7.9,1,7.3,1,0.003,1,0.14,1,0.01,1,0.005,1,2,1,0.8,1,20.8,1,NA,NA
"09:30:00 18/12/2013",NA,NA,12,1,69,1,NA,NA,NA,NA,7.8,1,7.1,1,0.003,1,0.11,1,0.003,1,0.008,1,2,1,1.5,1,21.6,1,NA,NA
"09:30:00 19/08/2010",NA,NA,16,1,59,1,NA,NA,NA,NA,10.5,1,7.1,1,0.003,1,0.08,1,0.007,1,0.005,1,2,1,1.2,1,9.5,1,NA,NA
"09:30:00 22/02/2010",NA,NA,25,1,73.4,1,NA,NA,NA,NA,8.5,1,7.5,1,0.001,1,0.13,1,0.008,1,0.007,1,1,1,1.9,1,22.6,1,NA,NA
"09:30:00 26/04/2012",NA,NA,10,1,86,1,NA,NA,NA,NA,9.3,1,7.2,1,0.003,1,0.09,1,0.004,1,0.005,1,2,1,0.9,1,14.4,1,NA,NA
"09:35:00 01/12/1975",NA,NA,NA,NA,93,65,NA,NA,NA,NA,8.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,23,65,NA,NA
"09:38:00 18/01/2007",NA,NA,20,65,163,65,NA,NA,NA,NA,7.5,65,7.2,65,0.009,65,0.63,65,0.02,65,0.04,65,6,65,4.2,65,24.2,65,NA,NA
"09:40:00 09/12/2008",NA,NA,18,65,64,65,NA,NA,NA,NA,8.5,65,7.4,65,0.003,65,0.14,65,0.01,65,0.01,65,3,65,2.4,65,20.4,65,NA,NA
"09:40:00 26/06/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,65,NA,NA,NA,NA,NA,NA
"09:40:00 27/06/2007",NA,NA,NA,NA,112,65,NA,NA,NA,NA,11.9,65,6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,65,8.1,65,NA,NA
"09:40:00 27/06/2012",NA,NA,16,1,82,1,NA,NA,NA,NA,10.6,1,7.5,1,0.003,1,0.12,1,0.064,1,0.009,1,2,1,2.6,1,7,1,NA,NA
"09:45:00 19/06/2008",NA,NA,6,65,81,65,NA,NA,NA,NA,9.9,65,7.7,65,0.003,65,0.08,65,0.008,65,0.005,65,2,65,0.9,65,9.4,65,NA,NA
"09:45:00 20/09/2007",NA,NA,18,65,82,65,NA,NA,NA,NA,10.9,65,6.8,65,0.003,65,0.13,65,0.007,65,0.01,65,2,65,2.1,65,13.1,65,NA,NA
"09:50:00 26/10/2006",NA,NA,10,65,NA,NA,NA,NA,NA,NA,9.9,65,6.9,65,0.003,65,0.14,65,0.03,65,0.01,65,2,65,1.6,65,16.7,65,NA,NA
"09:55:00 13/10/2009",NA,NA,20,1,54.2,1,NA,NA,NA,NA,8.4,1,7,1,0.008,1,0.07,1,0.005,1,0.005,1,1,1,1.6,1,13.2,1,NA,NA
"09:55:00 21/04/2006",NA,NA,10,65,116,65,NA,NA,NA,NA,10,65,7.4,65,0.003,65,0.11,65,0.01,65,0.009,65,1,65,1,65,14,65,NA,NA
"10:00:00 06/05/1986",NA,NA,NA,NA,110,65,NA,NA,NA,NA,10.2,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,12,65,NA,NA
"10:00:00 08/04/2009",NA,NA,12,65,89,65,NA,NA,NA,NA,10.4,65,6.5,65,0.003,65,0.13,65,0.01,65,0.009,65,2,65,1.6,65,16.4,65,NA,NA
"10:00:00 08/11/1988",NA,NA,NA,NA,71,65,NA,NA,NA,NA,9.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,20,65,NA,NA
"10:00:00 08/12/1982",NA,NA,NA,NA,130,65,NA,NA,NA,NA,8.8,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,19.5,65,NA,NA
"10:00:00 10/09/2013",NA,NA,8,1,71,1,NA,NA,NA,NA,9.9,1,7,1,0.003,1,0.09,1,0.003,1,0.01,1,2,1,1.4,1,14.6,1,NA,NA
"10:00:00 11/03/2014",NA,NA,4,1,116,1,NA,NA,NA,NA,8.4,1,7.6,1,0.003,1,0.14,1,0.027,1,0.017,1,2,1,1.1,1,24.6,1,NA,NA
"10:00:00 11/09/2008",NA,NA,10,65,50,65,NA,NA,NA,NA,10.3,65,7.6,65,0.003,65,0.07,65,0.02,65,0.005,65,2,65,1.2,65,12.1,65,NA,NA
"10:00:00 12/12/2012",NA,NA,12,1,86,1,NA,NA,NA,NA,7.9,1,7.3,1,0.003,1,0.13,1,0.003,1,0.008,1,4,1,1.3,1,23.8,1,NA,NA
"10:00:00 13/03/2013",NA,NA,8,1,97,1,NA,NA,NA,NA,8.3,1,7.3,1,0.003,1,0.14,1,0.016,1,0.006,1,2,1,1.5,1,24.1,1,NA,NA
"10:00:00 14/05/2009",NA,NA,8,65,94,65,NA,NA,NA,NA,9.8,65,6,65,0.003,65,0.08,65,0.01,65,0.01,65,2,65,1.2,65,12.6,65,NA,NA
"10:00:00 14/09/2011",NA,NA,10,1,81,1,NA,NA,NA,NA,10.3,1,7.5,1,0.003,1,0.09,1,0.003,1,0.005,1,2,1,1.3,1,13.9,1,NA,NA
"10:00:00 15/09/2010",NA,NA,10,1,57,1,NA,NA,NA,NA,9.7,1,7.5,1,0.003,1,0.09,1,0.003,1,0.01,1,2,1,1.1,1,13.1,1,NA,NA
"10:00:00 17/06/2010",NA,NA,5,1,63,1,NA,NA,NA,NA,10.9,1,7.3,1,0.005,1,0.04,1,0.002,1,0.005,1,1,1,0.8,1,9.1,1,NA,NA
"10:00:00 18/10/2012",NA,NA,14,1,72,1,NA,NA,NA,NA,8.5,1,7.2,1,0.003,1,0.11,1,0.003,1,0.005,1,2,1,2.4,1,15.7,1,NA,NA
"10:00:00 22/05/2012",NA,NA,10,1,71,1,NA,NA,NA,NA,11.7,1,7.4,1,0.003,1,0.06,1,0.003,1,0.005,1,2,1,0.8,1,9.6,1,NA,NA
