"Date","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"10:30:00 07/05/1997",NA,NA,NA,NA,NA,NA,14,65,87,65,NA,NA,10.6,65,7.3,65,0.003,65,0.07,65,NA,NA,NA,NA,NA,NA,0.02,65,0.02,65,8,65,11,65,12,65,NA,NA
"10:30:00 07/08/1996",NA,NA,NA,NA,NA,NA,80,65,46,65,NA,NA,11.6,65,7,65,0.01,65,0.83,65,NA,NA,NA,NA,NA,NA,0.13,65,0.11,65,170,65,52,65,6.5,65,NA,NA
"10:30:00 17/03/2011",NA,NA,NA,NA,NA,NA,20,1,80,1,NA,NA,8.9,1,7.1,1,0.003,1,0.18,1,NA,NA,NA,NA,NA,NA,0.007,1,0.008,1,4,1,2.9,1,16.5,1,NA,NA
"10:30:00 22/08/2018",NA,NA,NA,NA,NA,NA,25,1,60,1,NA,NA,11.2,1,7,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.036,1,0.011,1,2,1,8.7,1,8,1,NA,NA
"10:35:00 07/04/1998",NA,NA,NA,NA,NA,NA,5,65,150,65,NA,NA,9,65,7.1,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.12,65,0.005,65,2,65,1.6,65,13,65,NA,NA
"10:40:00 06/09/1993",NA,NA,NA,NA,NA,NA,15,65,64,65,NA,NA,12.2,65,6.9,65,0.006,65,0.1,65,NA,NA,NA,NA,NA,NA,0.03,65,0.008,65,2,65,6.4,65,7,65,NA,NA
"10:40:00 08/04/1991",NA,NA,NA,NA,NA,NA,5,65,85,65,NA,NA,11,65,6.5,65,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.01,65,0.005,65,1,65,1,65,12,65,NA,NA
"10:40:00 16/11/2010",NA,NA,NA,NA,NA,NA,16,1,65,1,NA,NA,9.4,1,7.2,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,4.8,1,16.5,1,NA,NA
"10:45:00 01/11/1994",NA,NA,NA,NA,NA,NA,10,65,69,65,NA,NA,10.9,65,7,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.01,65,0.01,65,4,65,2.2,65,12.5,65,NA,NA
"10:45:00 04/03/1991",NA,NA,NA,NA,NA,NA,10,65,90,65,NA,NA,9.2,65,6.8,65,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.03,65,0.005,65,1,65,0.8,65,17,65,NA,NA
"10:45:00 04/12/1995",NA,NA,NA,NA,NA,NA,15,65,68,65,NA,NA,9.6,65,6.6,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.01,65,0.005,65,2,65,1.6,65,16,65,NA,NA
