"Date","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"15:10:00 15/06/2010",NA,NA,NA,NA,NA,NA,18,1,65,1,NA,NA,11.8,1,7.1,1,0.001,1,0.02,1,NA,NA,NA,NA,NA,NA,0.12,1,0.005,1,1,1,3.5,1,6.5,1,NA,NA
"15:10:00 16/07/2007",NA,NA,NA,NA,NA,NA,25,65,61,65,NA,NA,11.5,65,6.8,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.22,65,0.008,65,3,65,10,65,6.7,65,NA,NA
"15:10:00 16/11/2015",NA,NA,NA,NA,NA,NA,24,1,83,1,NA,NA,9.7,1,7.3,1,0.004,1,0.12,1,NA,NA,NA,NA,NA,NA,0.003,1,0.009,1,4,1,12,1,19.5,1,NA,NA
"15:10:00 18/08/2009",NA,NA,NA,NA,NA,NA,10,1,41.9,1,NA,NA,12.1,1,7.4,1,0.007,1,0.05,1,NA,NA,NA,NA,NA,NA,0.029,1,0.005,1,1,1,2.2,1,8.9,1,NA,NA
"15:10:00 20/08/2013",NA,NA,NA,NA,NA,NA,22,1,59,1,NA,NA,12.1,1,7.1,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.19,1,0.017,1,10,1,16.4,1,7.5,1,NA,NA
"15:10:00 21/05/2013",NA,NA,NA,NA,NA,NA,12,1,106,1,NA,NA,11.5,1,6.9,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.29,1,0.009,1,4,1,3.2,1,10,1,NA,NA
"15:15:00 14/09/2020",NA,NA,NA,NA,NA,NA,12,1,65,1,NA,NA,10.35,1,7.39,1,0.003,1,0.06,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,2,1,12.2,1,NA,NA
"15:15:00 16/04/2018",NA,NA,NA,NA,NA,NA,8,1,80,1,NA,NA,9.2,1,7.6,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.011,1,0.008,1,2,1,3,1,15,1,NA,NA
"15:15:00 16/08/2011",NA,NA,NA,NA,NA,NA,20,1,58,1,NA,NA,11.1,1,7.1,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.19,1,0.009,1,3,1,15.5,1,10.5,1,NA,NA
"15:15:00 20/09/2011",NA,NA,NA,NA,NA,NA,10,1,67,1,NA,NA,11.4,1,7,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.006,1,0.009,1,2,1,7.1,1,11,1,NA,NA
"15:15:00 25/09/2017",NA,NA,NA,NA,NA,NA,12,1,53,1,NA,NA,11.7,1,7,1,0.004,1,0.06,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,2.6,1,11.5,1,NA,NA
"15:20:00 15/05/2012",NA,NA,NA,NA,NA,NA,8,1,68,1,NA,NA,11.4,1,6.8,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.027,1,0.005,1,2,1,1.7,1,9.5,1,NA,NA
"15:20:00 17/08/2015",NA,NA,NA,NA,NA,NA,8,1,59,1,NA,NA,12.7,1,7.3,1,0.003,1,0.06,1,NA,NA,NA,NA,NA,NA,0.061,1,0.014,1,2,1,3.5,1,7.5,1,NA,NA
"15:20:00 25/06/2007",NA,NA,NA,NA,NA,NA,NA,NA,73,65,NA,NA,11.2,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,65,6,65,NA,NA
"15:20:00 26/06/2007",NA,NA,NA,NA,NA,NA,25,65,NA,NA,NA,NA,NA,NA,NA,NA,0.004,65,0.2,65,NA,NA,NA,NA,NA,NA,0.5,65,0.01,65,17,65,NA,NA,NA,NA,NA,NA
"15:30:00 16/06/2014",NA,NA,NA,NA,NA,NA,12,1,72,1,NA,NA,12.2,1,6.9,1,0.003,1,0.07,1,NA,NA,NA,NA,NA,NA,0.025,1,0.005,1,2,1,4.2,1,9.5,1,NA,NA
"15:30:00 16/07/2018",NA,NA,NA,NA,NA,NA,12,1,56,1,NA,NA,12.4,1,7.2,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.02,1,0.005,1,2,1,3.3,1,5.5,1,NA,NA
"15:30:00 17/05/2010",NA,NA,NA,NA,NA,NA,15,1,65.3,1,NA,NA,11.8,1,7.3,1,0.003,1,0.02,1,NA,NA,NA,NA,NA,NA,0.002,1,0.014,1,1,1,2.7,1,9.5,1,NA,NA
"15:30:00 17/07/2012",NA,NA,NA,NA,NA,NA,14,1,60,1,NA,NA,11.8,1,7.2,1,0.003,1,0.15,1,NA,NA,NA,NA,NA,NA,0.08,1,0.011,1,3,1,6.9,1,9,1,NA,NA
"15:30:00 19/10/2009",NA,NA,NA,NA,NA,NA,20,1,60.2,1,NA,NA,8.9,1,7.3,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.17,1,0.005,1,1,1,5.4,1,13.5,1,NA,NA
"15:30:00 20/11/2017",NA,NA,NA,NA,NA,NA,18,1,64,1,NA,NA,8.3,1,7.5,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.009,1,0.016,1,5,1,19.5,1,22.5,1,NA,NA
"15:30:00 24/05/2017",NA,NA,NA,NA,NA,NA,6,1,83,1,NA,NA,11.3,1,7,1,0.004,1,0.03,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,1.5,1,9.5,1,NA,NA
"15:38:00 22/05/2018",NA,NA,NA,NA,NA,NA,10,1,73.7,1,NA,NA,9.9,1,7.5,1,0.003,1,0.06,1,NA,NA,NA,NA,NA,NA,0.005,1,0.005,1,2,1,2.2,1,11.3,1,NA,NA
"15:40:00 15/11/2011",NA,NA,NA,NA,NA,NA,18,1,73,1,NA,NA,9.4,1,7.3,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.019,1,0.005,1,2,1,5.5,1,20,1,NA,NA
"15:40:00 17/08/2016",NA,NA,NA,NA,NA,NA,12,1,56,1,NA,NA,11.6,1,7.2,1,0.003,1,0.05,1,NA,NA,NA,NA,NA,NA,0.01,1,0.005,1,2,1,2.1,1,10,1,NA,NA
"15:40:00 18/07/2016",NA,NA,NA,NA,NA,NA,20,1,57,1,NA,NA,10.1,1,6.8,1,0.003,1,0.07,1,NA,NA,NA,NA,NA,NA,0.1,1,0.005,1,2,1,3.9,1,9,1,NA,NA
"15:40:00 22/08/2017",NA,NA,NA,NA,NA,NA,16,1,56,1,NA,NA,11.4,1,7.1,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.091,1,0.009,1,2,1,4.5,1,8,1,NA,NA
"15:45:00 14/06/2011",NA,NA,NA,NA,NA,NA,16,1,70,1,NA,NA,11.8,1,7.3,1,0.003,1,0.05,1,NA,NA,NA,NA,NA,NA,0.074,1,0.01,1,2,1,4.7,1,8.5,1,NA,NA
"15:50:00 17/06/2013",NA,NA,NA,NA,NA,NA,40,1,78,1,NA,NA,11.9,1,6.9,1,0.003,1,0.23,1,NA,NA,NA,NA,NA,NA,0.24,1,0.016,1,12,1,23,1,8.5,1,NA,NA
"15:50:00 21/07/2014",NA,NA,NA,NA,NA,NA,20,1,63,1,NA,NA,10.4,1,7,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.097,1,0.005,1,2,1,5,1,7.5,1,NA,NA
"16:00:00 14/04/2020",NA,NA,NA,NA,NA,NA,12,1,72,1,NA,NA,10.25,1,7.66,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,2.3,1,13.6,1,NA,NA
"16:00:00 18/04/2012",NA,NA,NA,NA,NA,NA,10,1,67,1,NA,NA,10.4,1,7.3,1,0.003,1,0.06,1,NA,NA,NA,NA,NA,NA,0.007,1,0.005,1,2,1,1.7,1,15,1,NA,NA
"16:00:00 18/04/2016",NA,NA,NA,NA,NA,NA,6,1,91,1,NA,NA,9.8,1,7,1,0.003,1,0.14,1,NA,NA,NA,NA,NA,NA,0.008,1,0.005,1,2,1,1.6,1,15.5,1,NA,NA
"16:00:00 20/05/2019",NA,NA,NA,NA,NA,NA,6,1,82.9,1,NA,NA,11.47,1,7.32,1,0.003,1,0.03,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,0.5,1,9.7,1,NA,NA
"16:05:00 23/09/2019",NA,NA,NA,NA,NA,NA,18,1,66,1,NA,NA,10.93,1,7.41,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.003,1,0.007,1,2,1,2.6,1,10.9,1,NA,NA
"16:15:00 18/11/2009",NA,NA,NA,NA,NA,NA,15,1,67.6,1,NA,NA,8.3,1,7.2,1,0.001,1,0.16,1,NA,NA,NA,NA,NA,NA,0.015,1,0.005,1,1,1,2.7,1,23,1,NA,NA
"16:15:00 28/07/2009",NA,NA,NA,NA,NA,NA,10,1,83.5,1,NA,NA,10.8,1,7,1,0.002,1,0.05,1,NA,NA,NA,NA,NA,NA,0.079,1,0.005,1,1,1,1.7,1,6.5,1,NA,NA
"16:25:00 15/07/2019",NA,NA,NA,NA,NA,NA,90,1,75,1,NA,NA,11.34,1,7.15,1,0.003,1,0.67,1,NA,NA,NA,NA,NA,NA,0.066,1,0.095,1,71,1,76,1,8.9,1,NA,NA
"16:45:00 13/07/2020",NA,NA,NA,NA,NA,NA,100,1,66,1,NA,NA,11.21,1,7.06,1,0.004,1,1.3,1,NA,NA,NA,NA,NA,NA,0.094,1,0.28,1,180,1,185,1,9.2,1,NA,NA
