"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"13:27:00 15/04/1980",2.1,65,13,65,60,65,78,65,9.9,65,7.9,65,NA,NA,18,65,0.57,65,0.25,65,2.1,65,0.02,65,0.01,65,0.9,65,9.8,65,7,65,2,65,11,65,61,65,4,65,0.09,65,4,65,1.4,65,14.5,65
"13:30:00 01/06/1989",NA,NA,NA,NA,NA,NA,86,65,9.8,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,12,65
"13:30:00 06/03/1989",NA,NA,NA,NA,NA,NA,74,65,9.4,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,18,65
"13:30:00 14/10/1982",2.1,65,10,65,30,65,62,65,9.6,65,7.3,65,NA,NA,14,65,0.62,65,0.15,65,1.8,65,0.02,65,0.04,65,0.4,65,7.5,65,5.7,65,3,65,10,65,39,65,3,65,0.01,65,6,65,4,65,13.5,65
"13:30:00 15/10/1979",2.8,65,17,65,120,65,75,65,9.9,65,7.2,65,NA,NA,23,65,2.6,65,0.85,65,2.8,65,0.03,65,0.26,65,1.1,65,7.5,65,9.8,65,1,65,11,65,97,65,12,65,0.05,65,28,65,26,65,10,65
"13:30:00 19/01/1981",2.1,65,11,65,60,65,59,65,7,65,7.1,65,NA,NA,12,65,0.78,65,0.3,65,1.8,65,0.02,65,0.03,65,1.2,65,9.9,65,6,65,3,65,11,65,46,65,5,65,0.02,65,9,65,3.5,65,23,65
"13:40:00 05/10/1989",NA,NA,NA,NA,NA,NA,79,65,11.8,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,13.5,65
"13:40:00 13/04/1988",NA,NA,NA,NA,NA,NA,94,65,9.4,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,16,65
"13:40:00 16/02/1977",NA,NA,NA,NA,NA,NA,79,65,8.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,65,19,65
"13:40:00 22/04/1982",NA,NA,NA,NA,NA,NA,77,65,10.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,13,65
"13:50:00 07/09/1981",NA,NA,NA,NA,NA,NA,57,65,10.8,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,65,9,65
"13:50:00 12/09/1978",4.5,65,27,65,130,65,120,65,NA,180,7.5,65,NA,NA,32,65,4.5,65,0.95,65,4.8,65,0.05,65,0.14,65,1.5,65,7,65,11,65,2,65,13,65,110,65,14,65,0.08,65,140,65,65,65,12,65
"13:50:00 12/10/1981",1.5,65,9.5,65,30,65,49,65,10.6,65,6.3,65,NA,NA,14,65,0.65,65,0.25,65,1.4,65,0.02,65,0.08,65,0.7,65,7.1,65,5.3,65,2,65,7.5,65,34,65,3,65,0.01,65,3,65,4.6,65,12.5,65
"14:00:00 05/11/2008",NA,NA,NA,NA,18,65,72,65,10.2,65,7.1,65,0.003,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,5.5,65,15.5,65
"14:00:00 11/09/2007",NA,NA,NA,NA,25,65,116,65,9.9,65,6.7,65,0.003,65,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,6,65,10.1,65,11.8,65
"14:00:00 14/03/1978",NA,NA,NA,NA,NA,NA,70,65,6.5,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,22,65
"14:02:00 12/05/1980",NA,NA,NA,NA,NA,NA,90,65,10.3,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,65,12,65
"14:05:00 26/05/1977",NA,NA,NA,NA,NA,NA,110,65,7.7,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,65,8,65
"14:10:00 01/04/2008",NA,NA,NA,NA,20,65,76,65,8.7,65,6.9,65,0.003,65,NA,NA,NA,NA,0.21,65,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,2,65,4.2,65,17,65
"14:10:00 13/12/2007",NA,NA,NA,NA,20,65,78,65,10.5,65,6.6,65,0.003,65,NA,NA,NA,NA,0.38,65,NA,NA,NA,NA,0.28,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,7,65,6.7,65,19.5,65
"14:10:00 17/07/2007",NA,NA,NA,NA,25,65,85,65,10,65,7.3,65,0.003,65,NA,NA,NA,NA,0.25,65,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,6,65,10.9,65,9.7,65
"14:20:00 08/05/2007",NA,NA,NA,NA,16,65,83,65,9.7,65,7.1,65,0.003,65,NA,NA,NA,NA,0.38,65,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,8,65,10.9,65,15.6,65
"14:20:00 11/01/1979",NA,NA,NA,NA,NA,NA,57,65,8.4,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,21.2,65
"14:20:00 11/10/1978",NA,NA,NA,NA,NA,NA,50,65,NA,180,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,65,12.6,65
"14:20:00 23/08/1977",NA,NA,NA,NA,NA,NA,48,65,8.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,65,8.5,65
"14:25:00 26/09/1979",NA,NA,NA,NA,NA,NA,73,65,NA,180,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,65,10,65
"14:29:00 13/02/1980",NA,NA,NA,NA,NA,NA,66,65,8.4,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,20.8,65
"14:30:00 11/05/1981",NA,NA,NA,NA,NA,NA,87,65,10.2,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,10.5,65
"14:40:00 17/04/1978",NA,NA,NA,NA,NA,NA,62,65,9.7,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,14,65
"14:40:00 28/03/1980",NA,NA,NA,NA,NA,NA,69,65,8.3,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,15.2,65
"14:45:00 19/09/1977",NA,NA,NA,NA,NA,NA,60,65,8.5,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,65,9.5,65
"14:45:00 20/04/1977",NA,NA,NA,NA,NA,NA,98,65,9,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,13,65
"14:45:00 21/03/1977",NA,NA,NA,NA,NA,NA,120,65,7.7,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,16,65
"14:45:00 22/06/1977",NA,NA,NA,NA,NA,NA,52,65,9.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,65,8,65
"14:50:00 02/07/1979",NA,NA,NA,NA,NA,NA,80,65,11.2,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,7.5,65
"14:50:00 21/02/1978",NA,NA,NA,NA,NA,NA,67,65,8.5,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,20,65
"14:50:00 31/05/1979",NA,NA,NA,NA,NA,NA,65,65,11,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,65,9.6,65
"14:54:00 11/06/1980",NA,NA,NA,NA,NA,NA,54,65,12,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,7.5,65
"14:55:00 14/12/1978",NA,NA,NA,NA,NA,NA,72,65,11.7,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,65,13,65
"14:55:00 26/03/1979",NA,NA,NA,NA,NA,NA,66,65,9.7,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,65,15.5,65
"15:00:00 02/07/2008",NA,NA,NA,NA,19,65,76,65,9.4,65,6.9,65,0.003,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,5,65,8.5,65,11.2,65
"15:00:00 12/12/1977",NA,NA,NA,NA,NA,NA,60,65,8.7,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,21,65
"15:00:00 15/08/1978",NA,NA,NA,NA,NA,NA,74,65,NA,180,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,65,8.5,65
"15:00:00 17/05/1978",NA,NA,NA,NA,NA,NA,71,65,10.8,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,65,9,65
"15:00:00 20/07/1977",NA,NA,NA,NA,NA,NA,55,65,9.6,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,65,6,65
"15:05:00 05/03/2008",NA,NA,NA,NA,18,65,73,65,8.7,65,6.8,65,0.003,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.22,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,5,65,4.6,65,16.4,65
"15:05:00 18/07/1978",NA,NA,NA,NA,NA,NA,41,65,NA,180,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,8.5,65
"15:10:00 13/11/1978",NA,NA,NA,NA,NA,NA,56,65,10.2,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,65,12.5,65
"15:10:00 16/06/1978",NA,NA,NA,NA,NA,NA,80,65,7.8,65,8.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,9,65
"15:15:00 15/11/1979",NA,NA,NA,NA,NA,NA,63,65,8.8,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,65,17,65
"15:17:00 19/12/1979",NA,NA,NA,NA,NA,NA,63,65,NA,180,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,15.5,65
"15:25:00 20/02/1979",NA,NA,NA,NA,NA,NA,70,65,8.6,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,20.8,65
"15:30:00 09/10/2007",NA,NA,NA,NA,25,65,80,65,9.1,65,7,65,0.003,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.26,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,6,65,12.1,65,13.9,65
"15:35:00 08/09/2008",NA,NA,NA,NA,20,65,786,65,8,65,7.1,65,0.003,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,8.3,65,11.5,65
