"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"11:05:00 09/12/1980",NA,NA,NA,NA,NA,NA,64,65,8,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,65,20.5,65
"11:10:00 02/09/2009",NA,NA,NA,NA,25,1,70.2,1,9.6,1,6.5,1,0.002,1,NA,NA,NA,NA,0.07,1,NA,NA,NA,NA,0.139,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,1,1,8.3,1,11.4,1
"11:10:00 05/11/1986",2.3,65,13,65,60,65,35,65,NA,180,6.8,65,NA,NA,16,65,1.1,65,0.35,65,2.1,65,0.03,65,0.19,65,1.1,65,6.9,65,6.4,65,1.5,65,12,65,59,65,6,65,0.09,65,6,65,2.7,65,17,65
"11:10:00 06/06/2012",NA,NA,NA,NA,30,1,73,1,11.5,1,7.4,1,0.003,1,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,1,9,1,9,1,12.2,1
"11:10:00 06/08/2008",NA,NA,NA,NA,19,65,73,65,8.9,65,6.8,65,0.003,65,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,6.5,65,10,65
"11:10:00 06/12/1988",NA,NA,NA,NA,NA,NA,76,65,8.8,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,18,65
"11:10:00 07/08/1989",2.4,65,14,65,40,65,88,65,11.4,65,7.1,65,NA,NA,14,65,1.3,65,0.4,65,2.3,65,0.15,65,0.09,65,1.8,65,7.1,65,7.2,65,0.8,65,14,65,59,65,4,65,0.02,65,3,65,7,65,10,65
"11:10:00 24/01/2006",NA,NA,NA,NA,30,65,76,65,8.5,65,6.8,65,0.003,65,NA,NA,NA,NA,0.37,65,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,10,65,NA,NA
"11:11:00 08/01/2008",NA,NA,NA,NA,18,65,80,65,9.3,65,7.3,65,0.003,65,NA,NA,NA,NA,0.66,65,NA,NA,NA,NA,0.22,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,6,65,6,65,17.7,65
"11:15:00 01/06/1988",NA,NA,NA,NA,NA,NA,78,65,10.8,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,12.5,65
"11:15:00 02/05/1988",2.3,65,14,65,30,65,83,65,9.4,65,7,65,NA,NA,15,65,0.57,65,0.3,65,2.2,65,0.04,65,0.07,65,0.8,65,6.8,65,7.9,65,1.4,65,13,65,56,65,3,65,0.01,65,1,65,2,65,15,65
"11:15:00 03/06/1985",NA,NA,NA,NA,NA,NA,110,65,11.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,65,11.5,65
"11:15:00 04/05/2009",NA,NA,NA,NA,20,65,95,65,9.1,65,6.4,65,0.003,65,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,4.3,65,14,65
"11:15:00 04/07/1985",NA,NA,NA,NA,NA,NA,96,65,10.6,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,10.5,65
"11:20:00 07/10/1983",NA,NA,NA,NA,NA,NA,80,65,11.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,65,10,65
"11:20:00 13/05/1982",NA,NA,NA,NA,NA,NA,73,65,10.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,65,11,65
"11:20:00 14/12/2006",NA,NA,NA,NA,16,65,77,65,9.2,65,6.4,65,0.007,65,NA,NA,NA,NA,0.28,65,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,2,65,4.1,65,18.7,65
"11:20:00 18/05/2006",NA,NA,NA,NA,30,65,78,65,11,65,6.8,65,0.003,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,4,65,4.5,65,13.7,65
"11:20:00 31/08/1987",5.8,65,28,65,50,65,160,65,11.6,65,7.3,65,NA,NA,42,65,1.1,65,0.2,65,6.5,65,0.11,65,0.16,65,1.4,65,9.3,65,15,65,4.1,65,32,65,110,65,5,65,0.02,65,8,65,9.5,65,10,65
"11:30:00 05/10/1987",NA,NA,NA,NA,NA,NA,73,65,9.8,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,65,13.5,65
"11:30:00 06/05/1985",2.8,65,19,65,70,65,86,65,10,65,7.4,65,NA,NA,23,65,1.3,65,0.45,65,3,65,0.08,65,0.16,65,1,65,6.2,65,8.6,65,2.4,65,15,65,70,65,6,65,0.03,65,12,65,3.4,65,15.5,65
"11:30:00 08/09/2010",NA,NA,NA,NA,20,1,81,1,10.5,1,6.5,1,0.003,1,NA,NA,NA,NA,0.16,1,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,1,2,1,7,1,11,1
"11:30:00 11/05/1983",2.3,65,17,65,50,65,84,65,10.2,65,7.1,65,NA,NA,18,65,0.54,65,0.2,65,2.3,65,0.02,65,0.04,65,0.8,65,6.9,65,7,65,2,65,8.3,65,58,65,4,65,0.01,65,12,65,NA,180,13,65
"11:30:00 14/06/2006",NA,NA,NA,NA,30,65,77,65,11.8,65,7.2,65,0.003,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,1,65,3.2,65,11.1,65
"11:30:00 25/07/2006",NA,NA,NA,NA,30,65,78,65,11.1,65,6.6,65,0.003,65,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,4,65,5.1,65,10.4,65
"11:30:00 26/04/2006",NA,NA,NA,NA,30,65,79,65,10.7,65,7.1,65,0.003,65,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,3,65,4.8,65,15,65
"11:35:00 03/10/1986",NA,NA,NA,NA,NA,NA,88,65,11.6,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,65,13.5,65
"11:35:00 10/05/1989",2.5,65,13,65,20,65,86,65,8.8,65,6.6,65,NA,NA,15,65,0.43,65,0.2,65,2.4,65,0.03,65,0.1,65,0.9,65,6.7,65,7.8,65,1.4,65,13,65,51,65,4,65,0.01,65,4,65,4.5,65,16.5,65
"11:35:00 11/06/1986",NA,NA,NA,NA,NA,NA,78,65,12.3,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,65,11,65
"11:35:00 12/10/2005",NA,NA,NA,NA,35,65,78,65,14.4,65,7.2,65,0.003,65,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,0.22,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,5.1,65,NA,NA
"11:35:00 22/06/1982",NA,NA,NA,NA,NA,NA,130,65,11.4,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,65,6,65
"11:35:00 24/10/2006",NA,NA,NA,NA,20,65,NA,NA,11.4,65,6.6,65,0.003,65,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,2,65,3.3,65,15.9,65
"11:40:00 05/08/1980",NA,NA,NA,NA,NA,NA,68,65,11.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,65,8,65
"11:40:00 06/12/1983",NA,NA,NA,NA,NA,NA,86,65,9.2,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,16,65
"11:45:00 01/12/1986",NA,NA,NA,NA,NA,NA,75,65,9.6,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,15,65
"11:45:00 05/03/1984",NA,NA,NA,NA,NA,NA,82,65,8.3,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,65,18,65
"11:50:00 02/03/2009",NA,NA,NA,NA,19,65,69,65,10.4,65,6.9,65,0.003,65,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,9.1,65,18.2,65
"11:50:00 09/06/1981",NA,NA,NA,NA,NA,NA,69,65,11.8,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,65,7,65
"11:50:00 17/09/1987",NA,NA,NA,NA,NA,NA,NA,180,12,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,12,65
"11:50:00 23/08/1983",2.4,65,14,65,30,65,72,65,10.1,65,6.2,65,NA,NA,15,65,0.43,65,0.3,65,2.1,65,0.03,65,0.1,65,0.9,65,7.6,65,7.3,65,2,65,11,65,52,65,5,65,0.07,65,4,65,2.5,65,8,65
"11:55:00 02/12/2008",NA,NA,NA,NA,17,65,70,65,9.7,65,7.3,65,0.003,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,9.3,65,15.4,65
"11:55:00 09/08/1984",3.4,65,16,65,70,65,97,65,10.8,65,6.8,65,NA,NA,20,65,1.5,65,0.25,65,3.2,65,0.05,65,0.22,65,1.4,65,6.4,65,9,65,2.2,65,18,65,72,65,6,65,0.03,65,8,65,16,65,9.5,65
"12:00:00 02/04/1986",NA,NA,NA,NA,NA,NA,88,65,9.4,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,18.5,65
"12:00:00 02/06/1983",NA,NA,NA,NA,NA,NA,100,65,10.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,10.5,65
"12:00:00 05/05/1987",2.2,65,12,65,40,65,96,65,10.8,65,7,65,NA,NA,16,65,0.83,65,0.1,65,2.2,65,0.07,65,0.12,65,0.8,65,7.1,65,7.4,65,1.4,65,11,65,NA,NA,3,65,0.01,65,1,65,2.4,65,12.5,65
"12:00:00 11/03/1986",NA,NA,NA,NA,NA,NA,75,65,9.6,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,65,18,65
"12:00:00 15/03/2006",NA,NA,NA,NA,25,65,99,65,8.9,65,6.9,65,0.003,65,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,2,65,6.7,65,NA,NA
"12:00:00 17/01/1979",1.7,65,11,65,40,65,NA,180,NA,180,NA,180,NA,NA,19,65,0.58,65,0.35,65,1.6,65,0.02,65,0.1,65,0.9,65,9.4,65,6,65,1,65,10,65,48,65,4,65,0.01,65,4,65,NA,180,NA,180
"12:00:00 17/02/1982",NA,NA,NA,NA,NA,NA,67,65,7.6,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,65,23.5,65
"12:00:00 17/07/1979",2.6,65,14,65,40,65,NA,180,NA,180,NA,180,NA,NA,20,65,0.48,65,0.2,65,2.6,65,0.02,65,0.09,65,0.8,65,8.8,65,7.6,65,1,65,11,65,58,65,4,65,0.01,65,1,65,NA,180,NA,180
"12:00:00 31/10/1984",NA,NA,NA,NA,NA,NA,87,65,9.8,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,65,12.5,65
"12:05:00 02/08/1988",2.9,65,16,65,60,65,90,65,9.9,65,7.3,65,NA,NA,17,65,1.2,65,0.3,65,2.9,65,0.1,65,0.05,65,0.9,65,7.1,65,8.8,65,1.7,65,14,65,61,65,5,65,0.01,65,6,65,4.3,65,11,65
"12:05:00 12/02/2008",NA,NA,NA,NA,20,65,74,65,8.5,65,6.8,65,0.003,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,4,65,4.1,65,15.9,65
"12:10:00 01/04/1987",NA,NA,NA,NA,NA,NA,77,65,11.1,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,13.5,65
"12:10:00 05/07/1988",NA,NA,NA,NA,NA,NA,350,65,11,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,65,10.5,65
"12:15:00 25/03/1982",NA,NA,NA,NA,NA,NA,73,65,9.1,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,17,65
"12:20:00 06/10/2008",NA,NA,NA,NA,20,65,83,65,9,65,6.9,65,0.003,65,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,5,65,8.2,65,12.5,65
"12:20:00 16/02/1981",NA,NA,NA,NA,NA,NA,63,65,7.9,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,25,65
"12:25:00 10/03/1983",NA,NA,NA,NA,NA,NA,74,65,8.8,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,21,65
"12:30:00 01/11/1989",2.4,65,13,65,30,65,77,65,10.2,65,6.8,65,NA,NA,14,65,0.79,65,0.5,65,2.1,65,0.04,65,0.17,65,0.9,65,6.6,65,7.1,65,1.6,65,11,65,51,65,4,65,0.01,65,11,65,5.2,65,15,65
"12:30:00 04/12/1989",NA,NA,NA,NA,NA,NA,87,65,9.8,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,19.5,65
"12:30:00 06/07/1984",NA,NA,NA,NA,NA,NA,100,65,10.2,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,9,65
"12:30:00 10/07/1987",NA,NA,NA,NA,NA,NA,95,65,10.2,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,10.5,65
"12:30:00 10/11/1981",NA,NA,NA,NA,NA,NA,60,65,9.6,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,65,16.5,65
"12:30:00 11/08/1982",NA,NA,NA,NA,NA,NA,88,65,11.8,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,65,7.5,65
"12:30:00 16/01/1984",NA,NA,NA,NA,NA,NA,80,65,8.4,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,65,18,65
"12:30:00 16/12/1982",NA,NA,NA,NA,NA,NA,57,65,NA,180,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,65,21,65
"12:35:00 04/09/1985",NA,NA,NA,NA,NA,NA,76,65,11.4,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,65,11,65
"12:35:00 15/01/1980",1.6,65,8.2,65,80,65,46,65,9,65,6.7,65,NA,NA,12,65,1.72,65,0.55,65,1.4,65,0.05,65,1.09,65,0.8,65,5,65,4.7,65,3,65,5.4,65,46,65,13,65,0.04,65,39,65,7.5,65,18,65
"12:40:00 04/06/1984",NA,NA,NA,NA,NA,NA,98,65,11.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,65,12.5,65
"12:40:00 14/11/2007",NA,NA,NA,NA,25,65,95,65,9.2,65,6.8,65,0.003,65,NA,NA,NA,NA,0.22,65,NA,NA,NA,NA,0.25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,7.2,65,16.8,65
"12:40:00 19/01/1983",NA,NA,NA,NA,NA,NA,75,65,NA,180,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,18,65
