"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"10:45:00 08/09/1997",NA,NA,NA,NA,182,1,6.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.196,1,NA,NA,NA,NA,NA,NA,7.16,1
"10:45:00 09/04/1997",NA,NA,NA,NA,160,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,NA,NA,7.32,1
"10:45:00 13/07/2005",50,65,228,65,NA,NA,NA,NA,9,65,7.2,65,0.71,65,2.3,65,0.7,65,NA,NA,1,65,25,65,51,65,NA,NA,NA,NA
"10:45:00 22/02/2007",25,65,109,65,NA,NA,NA,NA,5.2,65,6.9,65,0.003,65,0.35,65,0.02,65,NA,NA,0.03,65,10,65,NA,NA,24.5,65,NA,NA
"10:45:00 27/11/2012",40,1,125,1,NA,NA,NA,NA,6.9,1,7.1,1,0.013,1,0.53,1,0.03,1,NA,NA,0.087,1,18,1,21.4,1,20.5,1,NA,NA
"10:48:00 02/03/1999",NA,NA,NA,NA,130,1,5.67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:50:00 17/02/1998",NA,NA,NA,NA,111,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:50:00 17/11/2009",25,1,67.8,1,NA,NA,NA,NA,9,1,6.8,1,0.008,1,0.16,1,0.045,1,NA,NA,0.012,1,6,1,16.3,1,19,1,NA,NA
"10:50:00 26/02/2015",35,1,140,1,NA,NA,NA,NA,8.4,1,6.9,1,0.034,1,0.46,1,0.036,1,NA,NA,0.1,1,16,1,22.2,1,20.9,1,NA,NA
"10:53:00 02/02/1999",NA,NA,NA,NA,148,1,6.03,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,1,0.36,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:54:00 30/03/1999",NA,NA,NA,NA,133,1,7.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,0.23,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:55:00 10/07/1997",NA,NA,NA,NA,413,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176,1,NA,NA,NA,NA,NA,NA,6.43,1
"10:55:00 13/09/2005",35,65,51,65,NA,NA,NA,NA,10.1,65,7.1,65,0.003,65,0.27,65,0.05,65,NA,NA,0.04,65,12,65,19,65,NA,NA,NA,NA
"10:55:00 14/05/1997",NA,NA,NA,NA,160,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,1,NA,NA,NA,NA,NA,NA,7.03,1
"11:00:00 07/08/2008",20,65,194,65,NA,NA,NA,NA,10.3,65,4.8,65,0.003,65,0.39,65,0.31,65,NA,NA,0.05,65,15,65,20.4,65,9.9,65,NA,NA
"11:00:00 14/08/1997",NA,NA,NA,NA,368,1,7.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,1,NA,NA,NA,NA,NA,NA,7.76,1
"11:00:00 21/10/1997",NA,NA,NA,NA,169,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189,1,NA,NA,NA,NA,NA,NA,7.24,1
"11:00:00 28/07/1998",NA,NA,NA,NA,340,1,10.47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,1,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:01:00 18/04/1999",NA,NA,NA,NA,174,1,7.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0.24,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:10:00 06/05/1997",NA,NA,NA,NA,144,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209,1,NA,NA,NA,NA,NA,NA,6.89,1
"11:10:00 24/09/1997",NA,NA,NA,NA,298,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,NA,NA,7.28,1
