"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"12:00:00 07/07/1998",NA,NA,NA,NA,594,1,9.83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27,1
"12:05:00 18/03/1997",NA,NA,NA,NA,160,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,7.4,1
"12:06:00 04/05/1999",NA,NA,NA,NA,138,1,8.86,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,1,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA
"12:06:00 12/05/1998",NA,NA,NA,NA,247,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,1,NA,NA,NA,NA,NA,NA,NA,NA
"12:10:00 03/03/1998",NA,NA,NA,NA,109,1,4.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066,1,NA,NA,NA,NA,NA,NA,6.74,1
"12:10:00 17/10/2007",35,65,111,65,NA,NA,NA,NA,8.3,65,7.1,65,0.003,65,0.43,65,0.46,65,NA,NA,0.06,65,42,65,91.5,65,15.2,65,NA,NA
"12:12:00 15/09/1998",NA,NA,NA,NA,219,1,9.17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,1,0.32,1,NA,NA,NA,NA,NA,NA,NA,NA
"12:15:00 16/09/1997",NA,NA,NA,NA,213,1,6.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149,1,NA,NA,NA,NA,NA,NA,7.29,1
"12:15:00 29/09/1998",NA,NA,NA,NA,60,1,9.36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,1,0.075,1,NA,NA,NA,NA,NA,NA,NA,NA
"12:16:00 13/10/1998",NA,NA,NA,NA,58,1,9.26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,1,0.067,1,NA,NA,NA,NA,NA,NA,NA,NA
"12:20:00 10/03/2011",30,1,106,1,NA,NA,NA,NA,7.5,1,6.9,1,0.008,1,0.37,1,0.039,1,NA,NA,0.078,1,19,1,23.1,1,19.7,1,NA,NA
"12:25:00 19/03/2008",30,65,159,65,NA,NA,NA,NA,6,65,6.9,65,0.02,65,0.63,65,0.2,65,NA,NA,0.16,65,33,65,40.1,65,21.7,65,NA,NA
"12:25:00 23/12/2008",16,65,72,65,NA,NA,NA,NA,7.9,65,7,65,0.003,65,0.35,65,0.05,65,NA,NA,0.04,65,22,65,20,65,20.7,65,NA,NA
"12:25:00 28/04/2010",25,1,100,1,NA,NA,NA,NA,8,1,6.9,1,0.033,1,0.35,1,0.069,1,NA,NA,0.101,1,16,1,14.8,1,16.1,1,NA,NA
"12:30:00 26/05/1998",NA,NA,NA,NA,223,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273,1,NA,NA,NA,NA,NA,NA,NA,NA
"12:30:00 28/06/2012",80,1,65,1,NA,NA,NA,NA,8.2,1,7,1,0.014,1,0.38,1,0.19,1,NA,NA,0.06,1,38,1,111,1,10.3,1,NA,NA
"12:35:00 06/05/2010",22,1,84.6,1,NA,NA,NA,NA,9.9,1,7,1,0.018,1,0.2,1,0.049,1,NA,NA,0.019,1,14,1,18.2,1,14.1,1,NA,NA
"12:40:00 04/11/2008",NA,NA,96,65,NA,NA,NA,NA,7.3,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,17.8,65,NA,NA
"12:40:00 05/11/2008",18,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,0.45,65,0.03,65,NA,NA,0.08,65,21,65,NA,NA,NA,NA,NA,NA
"12:40:00 07/04/1998",NA,NA,NA,NA,85,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,1,NA,NA,NA,NA,NA,NA,NA,NA
"12:43:00 04/05/1998",NA,NA,NA,NA,148,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183,1,NA,NA,NA,NA,NA,NA,NA,NA
"12:45:00 13/02/2008",60,65,189,65,NA,NA,NA,NA,7.1,65,7.2,65,0.01,65,0.5,65,0.26,65,NA,NA,0.11,65,20,65,35.3,65,20.2,65,NA,NA
"12:48:00 23/07/2013",50,1,224,1,NA,NA,NA,NA,10.3,1,6.9,1,0.025,1,0.54,1,0.47,1,NA,NA,0.096,1,14,1,27.5,1,10.1,1,NA,NA
"12:50:00 17/12/2013",35,1,98,1,NA,NA,NA,NA,8,1,6.8,1,0.004,1,0.25,1,0.039,1,NA,NA,0.044,1,10,1,13.6,1,22,1,NA,NA
"12:55:00 17/11/2010",45,1,101,1,NA,NA,NA,NA,7.3,1,6.6,1,0.1,1,0.59,1,0.17,1,NA,NA,0.19,1,14,1,26.8,1,18.8,1,NA,NA
"13:00:00 04/02/2010",17,1,60.7,1,NA,NA,NA,NA,6.4,1,6.8,1,0.004,1,0.21,1,0.011,1,NA,NA,0.039,1,15,1,16.5,1,25.3,1,NA,NA
"13:00:00 24/09/2013",25,1,69,1,NA,NA,NA,NA,10.5,1,7.1,1,0.006,1,0.24,1,0.16,1,NA,NA,0.033,1,14,1,26.1,1,15.6,1,NA,NA
"13:00:00 30/04/2014",35,1,164,1,NA,NA,NA,NA,8.4,1,7.2,1,0.027,1,0.39,1,0.099,1,NA,NA,0.07,1,29,1,6.6,1,13.8,1,NA,NA
"13:00:00 31/01/2012",45,1,94,1,NA,NA,NA,NA,6.4,1,7.1,1,0.016,1,0.41,1,0.025,1,NA,NA,0.089,1,26,1,24.1,1,22.3,1,NA,NA
"13:05:00 06/03/1997",NA,NA,NA,NA,150,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,NA,NA,7.24,1
"13:10:00 04/11/1997",NA,NA,NA,NA,142,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284,1,NA,NA,NA,NA,NA,NA,7.25,1
"13:20:00 02/04/1997",NA,NA,NA,NA,100,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,1,NA,NA,NA,NA,NA,NA,7.25,1
"13:20:00 30/09/2009",30,1,101.6,1,NA,NA,NA,NA,9.2,1,7.3,1,0.048,1,0.32,1,0.139,1,NA,NA,0.09,1,28,1,29.7,1,14.9,1,NA,NA
"13:25:00 07/12/2009",30,1,101.6,1,NA,NA,NA,NA,6.9,1,7,1,0.014,1,0.14,1,0.032,1,NA,NA,0.014,1,18,1,21.3,1,21.6,1,NA,NA
"13:30:00 08/12/2010",28,1,85,1,NA,NA,NA,NA,7.9,1,7.4,1,0.008,1,0.28,1,0.05,1,NA,NA,0.036,1,22,1,35.2,1,21.7,1,NA,NA
"13:30:00 12/01/2015",30,1,85,1,NA,NA,NA,NA,8.8,1,7.3,1,0.041,1,0.95,1,0.033,1,NA,NA,0.12,1,16,1,16.2,1,23.3,1,NA,NA
"13:30:00 22/05/2014",20,1,82,1,NA,NA,NA,NA,9.6,1,7.2,1,0.007,1,0.25,1,0.052,1,NA,NA,0.029,1,14,1,14.3,1,14.9,1,NA,NA
"13:30:00 24/02/1997",NA,NA,NA,NA,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,1,NA,NA,NA,NA,NA,NA,7.1,1
"13:30:00 27/03/2014",30,1,128,1,NA,NA,NA,NA,7.2,1,6.7,1,0.064,1,0.48,1,0.13,1,NA,NA,0.16,1,41,1,55.9,1,21.4,1,NA,NA
"13:30:00 28/09/2011",40,1,157,1,NA,NA,NA,NA,9,1,6.9,1,0.021,1,0.6,1,0.22,1,NA,NA,0.12,1,28,1,48.3,1,14.9,1,NA,NA
"13:35:00 13/05/2008",55,65,152,65,NA,NA,NA,NA,8.6,65,7.1,65,0.07,65,0.66,65,0.39,65,NA,NA,0.19,65,20,65,50.9,65,14.7,65,NA,NA
"13:45:00 03/05/2007",40,65,211,65,NA,NA,NA,NA,7.3,65,6.9,65,0.003,65,0.44,65,0.54,65,NA,NA,0.04,65,7,65,19.1,65,17.2,65,NA,NA
"13:45:00 09/08/1999",NA,NA,NA,NA,186,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,1,0.13,1,NA,NA,NA,NA,NA,NA,NA,NA
"13:45:00 22/05/1997",NA,NA,NA,NA,208,1,6.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,1,NA,NA,NA,NA,NA,NA,7.3,1
"13:50:00 29/08/2007",35,65,82,65,NA,NA,NA,NA,10.7,65,7.4,65,0.003,65,0.46,65,0.63,65,NA,NA,0.12,65,54,65,182,65,12.3,65,NA,NA
"13:55:00 04/03/2010",25,1,99.8,1,NA,NA,NA,NA,8.3,1,6.8,1,0.033,1,0.21,1,0.048,1,NA,NA,0.038,1,12,1,17.2,1,22.5,1,NA,NA
"13:55:00 05/03/2007",30,65,191,65,NA,NA,NA,NA,6,65,6.8,65,0.003,65,0.51,65,0.02,65,NA,NA,0.06,65,10,65,10.2,65,22.1,65,NA,NA
"13:55:00 25/08/2011",56,1,47,1,NA,NA,NA,NA,10.7,1,7.5,1,0.007,1,0.32,1,0.17,1,NA,NA,0.062,1,54,1,124,1,11,1,NA,NA
"14:00:00 25/10/2012",60,1,151,1,NA,NA,NA,NA,9.1,1,6.8,1,0.02,1,0.66,1,0.12,1,NA,NA,0.11,1,25,1,34,1,17.8,1,NA,NA
"14:02:00 25/01/1999",NA,NA,NA,NA,159,1,6.88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.43,1,NA,NA,NA,NA,NA,NA,NA,NA
"14:04:00 21/11/2007",90,65,150,65,NA,NA,NA,NA,5.8,65,7,65,0.006,65,0.62,65,0.66,65,NA,NA,0.1,65,37,65,77.6,65,20.9,65,NA,NA
"14:10:00 02/02/2009",NA,NA,70,65,NA,NA,NA,NA,6.6,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,65,24.5,65,NA,NA
"14:10:00 02/10/2008",25,65,93,65,NA,NA,NA,NA,8.5,65,7,65,0.01,65,0.4,65,0.17,65,NA,NA,0.1,65,51,65,58.4,65,15.9,65,NA,NA
"14:16:00 26/06/1998",NA,NA,NA,NA,305,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14:20:00 07/03/2012",40,1,73,1,NA,NA,NA,NA,7.4,1,7.3,1,0.046,1,0.46,1,0.067,1,NA,NA,0.098,1,24,1,27.3,1,20,1,NA,NA
"14:20:00 19/03/2015",18,1,104,1,NA,NA,NA,NA,7.5,1,7.1,1,0.016,1,0.72,1,0.027,1,NA,NA,0.067,1,10,1,11.3,1,24.1,1,NA,NA
"14:25:00 03/05/2012",14,1,95,1,NA,NA,NA,NA,9.9,1,7.1,1,0.013,1,0.33,1,0.083,1,NA,NA,0.053,1,12,1,18,1,13.4,1,NA,NA
"14:25:00 07/06/2007",45,65,220,65,NA,NA,NA,NA,9.2,65,7.1,65,0.007,65,0.62,65,0.61,65,NA,NA,0.05,65,9,65,58.9,65,10.5,65,NA,NA
"14:30:00 02/02/2009",18,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,0.33,65,0.03,65,NA,NA,0.07,65,22,65,NA,NA,NA,NA,NA,NA
"14:30:00 06/04/2009",50,65,180,65,NA,NA,NA,NA,8.8,65,7,65,0.07,65,0.99,65,0.17,65,NA,NA,0.27,65,20,65,24.8,65,16,65,NA,NA
"14:30:00 09/05/1997",NA,NA,NA,NA,151,1,6.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,1,NA,NA,NA,NA,NA,NA,6.61,1
"14:30:00 21/12/2011",35,1,206,1,NA,NA,NA,NA,6.4,1,6.7,1,0.018,1,0.46,1,0.021,1,NA,NA,0.092,1,19,1,24.4,1,21.8,1,NA,NA
"14:30:00 26/11/2013",35,1,106,1,NA,NA,NA,NA,7.8,1,7.2,1,0.028,1,0.47,1,0.15,1,NA,NA,0.12,1,18,1,26.4,1,19.7,1,NA,NA
"14:30:00 28/01/2014",30,1,84,1,NA,NA,NA,NA,8.2,1,6.5,1,0.004,1,0.25,1,0.019,1,NA,NA,0.037,1,14,1,11.6,1,24.9,1,NA,NA
"14:30:00 28/10/2010",30,1,71,1,NA,NA,NA,NA,10.1,1,6.7,1,0.008,1,0.29,1,0.058,1,NA,NA,0.064,1,17,1,33.5,1,17.7,1,NA,NA
"14:30:00 30/01/2013",25,1,92,1,NA,NA,NA,NA,7.9,1,7.5,1,0.004,1,0.31,1,0.003,1,NA,NA,0.045,1,18,1,17.2,1,21.9,1,NA,NA
"14:30:00 31/07/2014",18,1,63,1,NA,NA,NA,NA,10.3,1,7.4,1,0.006,1,0.32,1,0.06,1,NA,NA,0.059,1,43,1,42,1,13.2,1,NA,NA
"14:40:00 04/04/2012",40,1,96,1,NA,NA,NA,NA,8,1,6.1,1,0.014,1,0.35,1,0.082,1,NA,NA,0.056,1,27,1,11.6,1,20.3,1,NA,NA
"14:40:00 05/01/2011",40,1,137,1,NA,NA,NA,NA,6.2,1,6.3,1,0.006,1,0.6,1,0.056,1,NA,NA,0.13,1,22,1,24.7,1,22.3,1,NA,NA
"14:40:00 26/02/2014",18,1,81,1,NA,NA,NA,NA,7.6,1,7.4,1,0.004,1,0.25,1,0.007,1,NA,NA,0.04,1,12,1,14.1,1,21.2,1,NA,NA
"14:45:00 10/06/2008",35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,0.35,65,0.35,65,NA,NA,0.04,65,27,65,NA,NA,NA,NA,NA,NA
"14:45:00 11/06/2008",NA,NA,118,65,NA,NA,NA,NA,10,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,65,13.3,65,NA,NA
"14:45:00 13/09/2007",40,65,137,65,NA,NA,NA,NA,9.3,65,6.9,65,0.01,65,0.52,65,0.62,65,NA,NA,0.14,65,58,65,123,65,13.9,65,NA,NA
"14:45:00 16/06/1998",NA,NA,NA,NA,330,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,1,NA,NA,NA,NA,NA,NA,NA,NA
"14:45:00 27/10/2011",40,1,113,1,NA,NA,NA,NA,8.4,1,6.9,1,0.039,1,0.48,1,0.15,1,NA,NA,0.12,1,24,1,41.2,1,19,1,NA,NA
"14:50:00 08/07/2008",35,65,335,65,NA,NA,NA,NA,9.9,65,6.7,65,0.003,65,0.61,65,0.5,65,NA,NA,0.06,65,16,65,25,65,8.9,65,NA,NA
"15:00:00 23/07/2012",56,1,60,1,NA,NA,NA,NA,11.7,1,7.8,1,0.003,1,0.34,1,0.16,1,NA,NA,0.045,1,21,1,59,1,10,1,NA,NA
"15:00:00 23/12/2014",70,1,192,1,NA,NA,NA,NA,8.5,1,7.1,1,0.12,1,1.1,1,0.021,1,NA,NA,0.24,1,30,1,23.7,1,23.5,1,NA,NA
"15:00:00 27/09/2012",25,1,88,1,NA,NA,NA,NA,10.3,1,7.5,1,0.003,1,0.29,1,0.089,1,NA,NA,0.053,1,28,1,32.2,1,14.8,1,NA,NA
"15:00:00 28/08/2013",35,1,77,1,NA,NA,NA,NA,10.6,1,7.3,1,0.004,1,0.27,1,0.22,1,NA,NA,0.038,1,26,1,38.2,1,11.6,1,NA,NA
"15:05:00 21/02/2013",30,1,98,1,NA,NA,NA,NA,7.3,1,6.9,1,0.004,1,0.39,1,0.012,1,NA,NA,0.07,1,24,1,22.7,1,23.4,1,NA,NA
"15:05:00 26/06/2013",160,1,262,1,NA,NA,NA,NA,8.8,1,7.3,1,0.22,1,1.8,1,0.67,1,NA,NA,0.41,1,46,1,81.8,1,10.5,1,NA,NA
"15:20:00 09/09/2008",19,65,110,65,NA,NA,NA,NA,9.3,65,7,65,0.003,65,0.41,65,0.44,65,NA,NA,0.05,65,18,65,27.3,65,11.8,65,NA,NA
"15:20:00 28/07/2011",25,1,52,1,NA,NA,NA,NA,10.5,1,6.8,1,0.004,1,0.19,1,0.066,1,NA,NA,0.02,1,15,1,24,1,9.2,1,NA,NA
"15:25:00 06/04/2011",40,1,122,1,NA,NA,NA,NA,7.7,1,6.6,1,0.008,1,0.46,1,0.12,1,NA,NA,0.093,1,16,1,20.1,1,17.7,1,NA,NA
"15:30:00 04/06/2015",18,1,129,1,NA,NA,NA,NA,11.2,1,7.6,1,0.007,1,0.34,1,0.054,1,NA,NA,0.047,1,8,1,10.3,1,9.2,1,NA,NA
"15:30:00 30/06/2014",12,1,68,1,NA,NA,NA,NA,10.4,1,7.4,1,0.003,1,0.22,1,0.026,1,NA,NA,0.034,1,19,1,23.8,1,10,1,NA,NA
"15:35:00 18/07/2007",90,65,88,65,NA,NA,NA,NA,11.2,65,6.4,65,0.004,65,1,65,0.92,65,NA,NA,0.22,65,220,65,599,65,8.8,65,NA,NA
"15:36:00 30/06/1998",NA,NA,NA,NA,438,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15:40:00 18/09/2014",30,1,209,1,NA,NA,NA,NA,10.6,1,7,1,0.004,1,0.51,1,0.054,1,NA,NA,0.064,1,13,1,16.4,1,13,1,NA,NA
"15:45:00 04/05/2009",27,65,161,65,NA,NA,NA,NA,9.5,65,6.9,65,0.03,65,0.44,65,0.14,65,NA,NA,0.09,65,12,65,15.8,65,12.7,65,NA,NA
"15:45:00 30/07/2009",25,1,162.4,1,NA,NA,NA,NA,9.3,1,6.4,1,0.002,1,0.05,1,0.186,1,NA,NA,0.009,1,12,1,16.9,1,11,1,NA,NA
"15:50:00 26/08/2010",12,1,47,1,NA,NA,NA,NA,10,1,6.9,1,0.003,1,0.19,1,0.018,1,NA,NA,0.025,1,14,1,12.3,1,10.3,1,NA,NA
"15:55:00 02/08/2010",16,1,100,1,NA,NA,NA,NA,10.4,1,7,1,0.005,1,0.3,1,0.12,1,NA,NA,0.04,1,14,1,14.1,1,10.1,1,NA,NA
"16:00:00 09/04/2015",NA,180,166,1,NA,NA,NA,NA,7,1,7.2,1,0.54,1,1.7,1,0.46,1,NA,NA,0.76,1,23,1,33.2,1,16.9,1,NA,NA
"16:00:00 15/05/2013",14,1,99,1,NA,NA,NA,NA,10.7,1,7,1,0.018,1,0.26,1,0.066,1,NA,NA,0.054,1,12,1,14.2,1,12.3,1,NA,NA
"16:00:00 16/02/2012",35,1,112,1,NA,NA,NA,NA,7.5,1,6.9,1,0.043,1,0.52,1,0.009,1,NA,NA,0.13,1,22,1,20.1,1,23.7,1,NA,NA
"16:46:00 01/08/1999",NA,NA,NA,NA,165,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,1,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA
"21:30:00 14/02/1997",NA,NA,NA,NA,150,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,1,NA,NA,NA,NA,NA,NA,7.05,1
