"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"09:45:00 08/11/2010",NA,NA,NA,NA,NA,NA,50,1,56,1,NA,NA,NA,NA,9.9,1,6.9,1,0.006,1,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,0.32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,1,6,1,5.6,1,11.1,1,NA,NA
"09:45:00 09/07/2008",NA,NA,NA,NA,NA,NA,60,65,69,65,NA,NA,NA,NA,9.8,65,6.6,65,0.003,65,NA,NA,NA,NA,0.27,65,NA,NA,NA,NA,0.28,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,6,65,3.4,65,6.8,65,NA,NA
"09:45:00 11/10/2010",NA,NA,NA,NA,NA,NA,50,1,59,1,NA,NA,NA,NA,11.2,1,5.7,1,0.003,1,NA,NA,NA,NA,0.27,1,NA,NA,NA,NA,0.32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,1,8,1,6.2,1,9.6,1,NA,NA
"09:45:00 13/02/1985",NA,NA,1.2,65,11,65,40,65,73,65,NA,NA,NA,NA,8.2,65,6.5,65,NA,NA,NA,NA,0.47,65,0.35,65,0.9,65,0.03,65,0.29,65,1.3,65,15,65,8.2,65,1.4,65,9.6,65,55,65,8,65,0.01,65,12,65,2.5,65,12.5,65,NA,NA
"09:45:00 15/01/1980",NA,NA,1.3,65,10,65,100,65,58,65,NA,NA,NA,NA,NA,180,6.4,65,NA,NA,8,65,0.72,65,0.35,65,0.9,65,0.04,65,0.22,65,1.7,65,15,65,7.4,65,2,65,6.6,65,50,65,11,65,0.01,65,14,65,3.6,65,13,65,NA,NA
"09:45:00 15/04/1998",NA,NA,1.4,65,10,65,70,65,60,65,66,65,NA,NA,10.7,65,6.7,65,0.003,65,NA,NA,NA,NA,0.41,65,1.1,65,NA,NA,0.22,65,2.3,65,NA,NA,8.5,65,2,65,9,65,NA,NA,NA,NA,0.01,65,8,65,4,65,10.5,65,6.8,65
"09:45:00 22/09/1997",NA,NA,1.1,65,11,65,50,65,62,65,60,65,NA,NA,11.6,65,6.8,65,0.003,65,NA,NA,NA,NA,0.3,65,0.9,65,NA,NA,0.3,65,1.7,65,NA,NA,7.8,65,1.3,65,9,65,NA,NA,NA,NA,0.01,65,14,65,5.5,65,7.7,65,7,65
"09:50:00 04/04/1984",NA,NA,NA,NA,NA,NA,NA,NA,67,65,NA,NA,NA,NA,11.4,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,65,7.8,65,NA,NA
"09:50:00 08/03/1978",NA,NA,NA,NA,NA,NA,NA,NA,63,65,NA,NA,NA,NA,NA,180,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,65,12.1,65,NA,NA
"09:50:00 25/11/1982",NA,NA,NA,NA,NA,NA,NA,NA,68,65,NA,NA,NA,NA,9.5,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,15,65,NA,NA
"09:50:00 30/10/2000",NA,NA,1.3,65,10,65,60,65,53,65,55,65,NA,NA,11.6,65,6.6,65,0.004,65,NA,NA,NA,NA,0.27,65,1,65,NA,NA,0.32,65,2.1,65,NA,NA,7,65,2,65,7,65,NA,NA,NA,NA,0.006,65,8,65,4.4,65,8,65,6.8,65
"09:55:00 02/12/2010",NA,NA,NA,NA,NA,NA,100,1,47,1,NA,NA,NA,NA,10.2,1,6.8,1,0.012,1,NA,NA,NA,NA,0.46,1,NA,NA,NA,NA,0.26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,1,12,1,10.2,1,13.8,1,NA,NA
"09:55:00 12/11/1986",NA,NA,1.2,65,11,65,70,65,54,65,NA,NA,NA,NA,10.8,65,6.5,65,NA,NA,8,65,0.43,65,0.35,65,0.8,65,0.02,65,0.32,65,1.5,65,12,65,7.6,65,1.4,65,7,65,54,65,6,65,0.01,65,11,65,3.6,65,10.8,65,NA,NA
"09:55:00 12/11/2009",NA,NA,NA,NA,NA,NA,55,1,74.7,1,NA,NA,NA,NA,9.7,1,6.8,1,0.001,1,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,0.233,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,1,10,1,5.3,1,14,1,NA,NA
"09:55:00 22/07/1996",NA,NA,1.1,65,10,65,75,65,62,65,54,65,NA,NA,10.2,65,6.6,65,0.02,65,NA,NA,NA,NA,0.33,65,1,65,NA,NA,0.39,65,2.1,65,NA,NA,7.1,65,1.3,65,9,65,NA,NA,NA,NA,0.04,65,12,65,6.3,65,8.5,65,6.5,65
"09:55:00 26/05/1998",NA,NA,1.3,65,9,65,90,65,54,65,59,65,NA,NA,11.1,65,6.6,65,0.003,65,NA,NA,NA,NA,0.38,65,1,65,NA,NA,0.3,65,2.1,65,NA,NA,7.9,65,2,65,6,65,NA,NA,NA,NA,0.02,65,12,65,2.6,65,8.4,65,6.5,65
"10:00:00 01/02/1988",NA,NA,1.4,65,11,65,60,65,59,65,NA,NA,NA,NA,10.6,65,6.6,65,NA,NA,6,65,0.38,65,0.2,65,0.9,65,0.02,65,0.22,65,1.3,65,16,65,8.6,65,1.4,65,8,65,NA,NA,5,65,0.01,65,11,65,2.5,65,10,65,NA,NA
"10:00:00 01/12/1980",NA,NA,NA,NA,NA,NA,NA,NA,59,65,NA,NA,NA,NA,7.4,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,11.7,65,NA,NA
"10:00:00 02/08/2011",NA,NA,NA,NA,NA,NA,45,1,60,1,NA,NA,NA,NA,10.7,1,6.8,1,0.003,1,NA,NA,NA,NA,0.31,1,NA,NA,NA,NA,0.44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,1,11,1,6.9,1,8.5,1,NA,NA
"10:00:00 03/03/2011",NA,NA,NA,NA,NA,NA,70,1,52,1,NA,NA,NA,NA,9.7,1,5.8,1,0.003,1,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,1,2,1,3.8,1,12.1,1,NA,NA
"10:00:00 03/05/2010",NA,NA,NA,NA,NA,NA,63,1,56.1,1,NA,NA,NA,NA,11.2,1,6.1,1,0.01,1,NA,NA,NA,NA,0.23,1,NA,NA,NA,NA,0.215,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,1,7,1,4.1,1,10,1,NA,NA
"10:00:00 04/11/1987",NA,NA,3.5,65,11,65,60,65,58,65,NA,NA,NA,NA,10.8,65,7,65,NA,NA,12,65,0.47,65,0.2,65,1,65,0.02,65,0.27,65,1.5,65,14,65,7.6,65,1.4,65,13,65,53,65,4,65,0.01,65,9,65,4,65,8.5,65,NA,NA
"10:00:00 05/08/1983",NA,NA,NA,NA,NA,NA,NA,NA,79,65,NA,NA,NA,NA,12.1,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,3.8,65,NA,NA
"10:00:00 06/04/2009",NA,NA,NA,NA,NA,NA,60,65,60,65,NA,NA,NA,NA,9.8,65,6.7,65,0.003,65,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,5,65,6.2,65,10.9,65,NA,NA
"10:00:00 07/04/2010",NA,NA,NA,NA,NA,NA,55,1,56.2,1,NA,NA,NA,NA,10.4,1,6.2,1,0.001,1,NA,NA,NA,NA,0.06,1,NA,NA,NA,NA,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,1,1,3.1,1,13.6,1,NA,NA
"10:00:00 10/04/2007",NA,NA,NA,NA,NA,NA,50,65,75,65,NA,NA,NA,NA,9.9,65,7.3,65,0.003,65,NA,NA,NA,NA,0.21,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,3,65,2.2,65,10.4,65,NA,NA
"10:00:00 11/04/2000",NA,NA,1.2,65,13,65,45,65,64,65,62,65,NA,NA,10.6,65,6.7,65,0.003,65,NA,NA,NA,NA,0.17,65,0.9,65,NA,NA,0.24,65,1.7,65,NA,NA,7.6,65,1,65,9,65,NA,NA,NA,NA,0.01,65,8,65,1.1,65,10.9,65,6.7,65
"10:00:00 11/09/2008",NA,NA,NA,NA,NA,NA,45,65,72,65,NA,NA,NA,NA,8.4,65,6.3,65,0.003,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.34,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,8,65,5.1,65,6.8,65,NA,NA
"10:00:00 13/10/1997",NA,NA,1.2,65,11,65,50,65,61,65,62,65,NA,NA,10,65,7.1,65,0.006,65,NA,NA,NA,NA,0.32,65,0.9,65,NA,NA,0.21,65,1.9,65,NA,NA,8.3,65,1.4,65,9,65,NA,NA,NA,NA,0.02,65,16,65,3.5,65,9.9,65,6.8,65
"10:00:00 15/02/1984",NA,NA,1.3,65,13,65,70,65,58,65,NA,NA,NA,NA,10.2,65,7.8,65,NA,NA,8,65,0.26,65,0.2,65,1,65,0.01,65,0.26,65,1.8,65,15,65,8.1,65,1,65,9.8,65,53,65,2,65,0.01,65,4,65,1,65,11.2,65,NA,NA
"10:00:00 18/10/1977",NA,NA,NA,NA,NA,NA,NA,NA,64,65,NA,NA,NA,NA,11.4,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,65,9.6,65,NA,NA
"10:00:00 20/02/2002",NA,NA,1.1,65,11,65,50,65,54,65,59,65,NA,NA,10.1,65,6.9,65,0.02,65,NA,NA,NA,NA,0.32,65,0.8,65,NA,NA,0.24,65,1.6,65,NA,NA,7.6,65,1,65,9,65,NA,NA,NA,NA,0.04,65,8,65,3.4,65,10.5,65,7,65
"10:00:00 20/08/1982",NA,NA,NA,NA,NA,NA,NA,NA,63,65,NA,NA,NA,NA,11.4,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,3.5,65,NA,NA
"10:00:00 21/03/2000",NA,NA,1.2,65,11,65,55,65,59,65,61,65,NA,NA,11.6,65,7,65,0.003,65,NA,NA,NA,NA,0.17,65,0.9,65,NA,NA,0.22,65,1.8,65,NA,NA,7.7,65,1,65,9,65,NA,NA,NA,NA,0.01,65,2,65,1.5,65,12.3,65,7.3,65
"10:00:00 28/10/1982",NA,NA,NA,NA,NA,NA,NA,NA,62,65,NA,NA,NA,NA,10.3,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,11.5,65,NA,NA
"10:05:00 02/10/1984",NA,NA,NA,NA,NA,NA,NA,NA,210,65,NA,NA,NA,NA,11.1,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,65,9,65,NA,NA
"10:05:00 05/05/2011",NA,NA,NA,NA,NA,NA,70,1,70,1,NA,NA,NA,NA,10.4,1,5.9,1,0.003,1,NA,NA,NA,NA,0.32,1,NA,NA,NA,NA,0.29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,1,7,1,4.6,1,10.6,1,NA,NA
"10:05:00 12/11/1985",NA,NA,1.2,65,9,65,50,65,55,65,NA,NA,NA,NA,11.1,65,6.9,65,NA,NA,8,65,0.65,65,0.4,65,0.9,65,0.02,65,0.31,65,1.7,65,14,65,7.5,65,1.3,65,8,65,64,65,6,65,0.01,65,11,65,3.6,65,13.5,65,NA,NA
"10:05:00 18/06/2009",NA,NA,NA,NA,NA,NA,40,65,55,65,NA,NA,NA,NA,11.6,65,6.4,65,0.003,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,2,65,5.4,65,5.7,65,NA,NA
"10:05:00 19/01/1978",NA,NA,NA,NA,NA,NA,NA,NA,68,65,NA,NA,NA,NA,NA,180,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,10.8,65,NA,NA
"10:05:00 25/08/1997",NA,NA,1.3,65,10,65,100,65,47,65,56,65,NA,NA,11.8,65,7,65,0.004,65,NA,NA,NA,NA,0.78,65,1,65,NA,NA,0.28,65,2,65,NA,NA,8.1,65,1.5,65,7,65,NA,NA,NA,NA,0.04,65,28,65,8,65,6.4,65,6.6,65
"10:05:00 30/05/2001",NA,NA,1.3,65,11,65,50,65,42,65,61,65,NA,NA,11.4,65,6.5,65,0.004,65,NA,NA,NA,NA,0.29,65,1,65,NA,NA,0.25,65,1.8,65,NA,NA,7.7,65,1,65,9,65,NA,NA,NA,NA,0.01,65,5,65,2.1,65,11.6,65,6.5,65
"10:06:00 06/05/1982",NA,NA,NA,NA,NA,NA,NA,NA,59,65,NA,NA,NA,NA,10.3,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,12,65,NA,NA
"10:10:00 06/01/2011",NA,NA,NA,NA,NA,NA,45,1,56,1,NA,NA,NA,NA,10.1,1,6.6,1,0.003,1,NA,NA,NA,NA,0.23,1,NA,NA,NA,NA,0.29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,1,7,1,3.8,1,14.2,1,NA,NA
"10:10:00 12/07/1982",NA,NA,NA,NA,NA,NA,NA,NA,70,65,NA,NA,NA,NA,10.5,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,65,7.6,65,NA,NA
"10:10:00 15/01/1998",NA,NA,1.3,65,12,65,80,65,NA,180,67,65,NA,NA,9.2,65,6.7,65,0.008,65,NA,NA,NA,NA,0.61,65,0.9,65,NA,NA,0.19,65,2.5,65,NA,NA,8.3,65,1,65,9,65,NA,NA,NA,NA,0.02,65,8,65,NA,180,16.1,65,6.9,65
"10:10:00 19/03/2001",NA,NA,1.4,65,13,65,100,65,83,65,66,65,NA,NA,10.6,65,6.3,65,0.003,65,NA,NA,NA,NA,0.36,65,1,65,NA,NA,0.21,65,2.1,65,NA,NA,8.2,65,2,65,7,65,NA,NA,NA,NA,0.01,65,12,65,4.2,65,13.1,65,6.6,65
"10:10:00 21/08/1996",NA,NA,0.9,65,10,65,47,65,62,65,55,65,NA,NA,12.3,65,6.7,65,0.003,65,NA,NA,NA,NA,0.26,65,0.7,65,NA,NA,0.46,65,0.9,65,NA,NA,6.6,65,0.6,65,6,65,NA,NA,NA,NA,0.009,65,6,65,7,65,8,65,6.6,65
"10:15:00 05/10/2011",NA,NA,NA,NA,NA,NA,50,1,85,1,NA,NA,NA,NA,12,1,5.8,1,0.003,1,NA,NA,NA,NA,0.32,1,NA,NA,NA,NA,0.42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,1,6,1,7.4,1,9,1,NA,NA
"10:15:00 06/03/2007",NA,NA,NA,NA,NA,NA,50,65,58,65,NA,NA,NA,NA,9.9,65,7.3,65,0.003,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,3,65,2.3,65,13.1,65,NA,NA
"10:15:00 12/07/2011",NA,NA,NA,NA,NA,NA,60,1,56,1,NA,NA,NA,NA,11.6,1,6.8,1,0.003,1,NA,NA,NA,NA,0.33,1,NA,NA,NA,NA,0.43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,1,7,1,6.8,1,7.3,1,NA,NA
"10:15:00 15/05/2000",NA,NA,1.2,65,11,65,80,65,62,65,61,65,NA,NA,11.4,65,6.6,65,0.02,65,NA,NA,NA,NA,0.32,65,0.9,65,NA,NA,0.28,65,1.9,65,NA,NA,7.5,65,1,65,8,65,NA,NA,NA,NA,0.03,65,4,65,1,65,10.3,65,6.5,65
"10:15:00 18/04/2001",NA,NA,1.1,65,11,65,40,65,48,65,62,65,NA,NA,9,65,6.5,65,0.003,65,NA,NA,NA,NA,0.16,65,0.9,65,NA,NA,0.22,65,1.8,65,NA,NA,7.9,65,1,65,9,65,NA,NA,NA,NA,0.01,65,4,65,1.6,65,11.5,65,6.8,65
"10:19:00 16/03/1993",NA,NA,NA,NA,NA,NA,NA,NA,54,65,NA,NA,NA,NA,10.1,65,6.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,65,13.5,65,NA,NA
"10:20:00 03/01/2002",NA,NA,1.2,65,10,65,120,65,56,65,56,65,NA,NA,9,65,6.7,65,0.01,65,NA,NA,NA,NA,0.45,65,0.8,65,NA,NA,0.22,65,1.9,65,NA,NA,6,65,4,65,8,65,NA,NA,NA,NA,0.02,65,14,65,3.6,65,11.8,65,6.6,65
"10:20:00 06/08/2012",NA,NA,NA,NA,NA,NA,90,1,54,1,NA,NA,NA,NA,10.6,1,6,1,0.003,1,NA,NA,NA,NA,0.56,1,NA,NA,NA,NA,0.38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,1,20,1,16.6,1,7.8,1,NA,NA
"10:20:00 09/06/1982",NA,NA,NA,NA,NA,NA,NA,NA,59,65,NA,NA,NA,NA,12.4,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,5.8,65,NA,NA
"10:20:00 10/04/1995",NA,NA,NA,NA,NA,NA,120,65,57,65,NA,NA,NA,NA,10,65,6.2,65,0.003,65,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,0.26,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,15,65,4.2,65,9.5,65,NA,NA
"10:20:00 12/01/1988",NA,NA,NA,NA,NA,NA,NA,NA,58,65,NA,NA,NA,NA,8.3,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,17,65,NA,NA
"10:20:00 15/12/1997",NA,NA,1.3,65,11,65,65,65,60,65,63,65,NA,NA,11,65,7.3,65,0.003,65,NA,NA,NA,NA,0.29,65,1,65,NA,NA,0.22,65,2.3,65,NA,NA,8.5,65,1.2,65,9,65,NA,NA,NA,NA,0.01,65,7,65,3.5,65,12.9,65,6.9,65
"10:22:00 04/08/1992",NA,NA,NA,NA,NA,NA,NA,NA,48,65,NA,NA,NA,NA,9.8,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,65,7,65,NA,NA
"10:25:00 02/08/1979",NA,NA,NA,NA,NA,NA,NA,NA,57,65,NA,NA,NA,NA,10.7,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,65,6.5,65,NA,NA
"10:25:00 08/12/1987",NA,NA,NA,NA,NA,NA,NA,NA,58,65,NA,NA,NA,NA,10.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,10.5,65,NA,NA
"10:30:00 05/06/2013",NA,NA,NA,NA,NA,NA,72,1,63,1,NA,NA,NA,NA,11,1,5.1,1,0.003,1,NA,NA,NA,NA,0.29,1,NA,NA,NA,NA,0.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,1,15,1,10.2,1,9.3,1,NA,NA
"10:30:00 05/11/1986",NA,NA,NA,NA,NA,NA,NA,NA,64,65,NA,NA,NA,NA,10.6,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,12.5,65,NA,NA
"10:30:00 07/06/1988",NA,NA,NA,NA,NA,NA,NA,NA,49,65,NA,NA,NA,NA,10.9,65,5.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,65,9.5,65,NA,NA
"10:30:00 10/12/2003",NA,NA,NA,NA,NA,NA,80,65,58,65,NA,NA,NA,NA,10.4,65,7.3,65,0.003,65,NA,NA,NA,NA,0.28,65,NA,NA,NA,NA,0.27,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,8,65,NA,NA,17.2,65,NA,NA
"10:30:00 14/07/2010",NA,NA,NA,NA,NA,NA,100,1,57,1,NA,NA,NA,NA,11.9,1,5.9,1,0.003,1,NA,NA,NA,NA,1.2,1,NA,NA,NA,NA,0.37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,1,62,1,41,1,8.1,1,NA,NA
"10:30:00 15/04/1997",NA,NA,1.4,65,12,65,60,65,68,65,64,65,NA,NA,10.6,65,6.8,65,0.004,65,NA,NA,NA,NA,0.22,65,1.1,65,NA,NA,0.32,65,1.9,65,NA,NA,8,65,0.9,65,9,65,NA,NA,NA,NA,0.02,65,14,65,5.4,65,12,65,7,65
"10:30:00 16/11/1977",NA,NA,NA,NA,NA,NA,NA,NA,58,65,NA,NA,NA,NA,NA,180,8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,65,9.3,65,NA,NA
"10:30:00 17/11/2004",NA,NA,NA,NA,NA,NA,60,65,54,65,NA,NA,NA,NA,12.3,65,6.6,65,0.004,65,NA,NA,NA,NA,0.25,65,NA,NA,NA,NA,0.36,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,4,65,4.5,65,11.9,65,NA,NA
"10:30:00 20/10/1980",NA,NA,1.8,65,16,65,70,65,57,65,NA,NA,NA,NA,10,65,7.2,65,NA,NA,11,65,2.23,65,0.4,65,1.5,65,0.03,65,0.32,65,1.8,65,12,65,8.8,65,2,65,7.4,65,76,65,6,65,0.04,65,29,65,7.4,65,10,65,NA,NA
"10:30:00 28/01/1981",NA,NA,1.4,65,12,65,70,65,53,65,NA,NA,NA,NA,9.2,65,6.8,65,NA,NA,8,65,0.42,65,0.35,65,1.1,65,0.02,65,0.19,65,1.7,65,15,65,7.8,65,2,65,7.9,65,58,65,8,65,0.02,65,15,65,3.5,65,14,65,NA,NA
"10:30:00 28/06/2000",NA,NA,1.2,65,11,65,40,65,57,65,57,65,NA,NA,9.9,65,6.7,65,0.003,65,NA,NA,NA,NA,0.19,65,0.9,65,NA,NA,0.29,65,1.8,65,NA,NA,7.6,65,2,65,8,65,NA,NA,NA,NA,0.01,65,6,65,2.5,65,8.6,65,6.7,65
"10:32:00 05/05/1992",NA,NA,NA,NA,NA,NA,NA,NA,52,65,NA,NA,NA,NA,11.4,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,11.5,65,NA,NA
"10:35:00 07/12/1998",NA,NA,1.2,65,10,65,70,65,65,65,58,65,NA,NA,9.9,65,6.9,65,0.003,65,NA,NA,NA,NA,0.21,65,0.9,65,NA,NA,0.25,65,1.7,65,NA,NA,7.4,65,1,65,8,65,NA,NA,NA,NA,0.01,65,6,65,2.6,65,13.5,65,6.6,65
"10:35:00 10/04/1996",NA,NA,NA,NA,NA,NA,100,65,47,65,NA,NA,NA,NA,10.8,65,6.4,65,0.004,65,NA,NA,NA,NA,0.49,65,NA,NA,NA,NA,0.27,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,11,65,4.5,65,10.5,65,NA,NA
