"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"10:35:00 15/06/1994",NA,NA,NA,NA,NA,NA,NA,NA,15,65,380,65,NA,NA,12.2,65,7.1,65,0.05,65,1.2,65,NA,NA,NA,NA,NA,NA,1.6,65,0.21,65,56,65,45,65,10,65,NA,NA
"10:36:00 15/09/2005",NA,NA,0.001,65,2e-04,65,0.003,65,64,65,368,65,0.005,65,10.3,65,7.1,65,0.01,65,1.2,65,0.006,65,1e-04,65,0.003,65,1.3,65,0.14,65,70,65,88,65,NA,NA,0.01,65
"10:37:00 08/02/2018",NA,NA,0.001,1,2e-04,1,0.002,1,64,1,644,1,0.002,1,5.9,1,6.7,1,0.013,1,2.4,1,0.002,1,1e-04,1,0.002,1,0.36,1,0.15,1,68,1,81.4,1,22.5,1,0.005,1
"10:40:00 10/07/2002",NA,NA,NA,NA,NA,NA,NA,NA,40,65,60,65,NA,NA,10.7,65,7.1,65,0.04,65,0.9,65,NA,NA,NA,NA,NA,NA,1.7,65,0.17,65,35,65,33,65,8.9,65,NA,NA
"10:40:00 12/10/2005",NA,NA,0.001,65,2e-04,65,0.005,65,70,65,363,65,0.005,65,12.7,65,7,65,0.01,65,1.3,65,0.002,65,1e-04,65,0.005,65,0.96,65,0.18,65,69,65,81,65,NA,NA,0.02,65
"10:40:00 15/09/2004",NA,NA,0.001,65,2e-04,65,0.005,65,55,65,370,65,0.005,65,9.5,65,6.7,65,0.05,65,1.5,65,0.002,65,1e-04,65,0.005,65,1.7,65,0.18,65,78,65,92,65,11.4,65,0.01,65
"10:40:00 20/03/1997",NA,NA,NA,NA,NA,NA,NA,NA,38,65,540,65,NA,NA,7.8,65,7,65,0.03,65,0.72,65,NA,NA,NA,NA,NA,NA,1.1,65,0.15,65,41,65,32,65,16.9,65,NA,NA
"10:45:00 03/02/1999",NA,NA,NA,NA,NA,NA,NA,NA,55,65,540,65,NA,NA,7.4,65,7,65,0.04,65,0.68,65,NA,NA,NA,NA,NA,NA,0.19,65,0.18,65,28,65,22,65,23,65,NA,NA
"10:45:00 03/04/2019",NA,NA,0.001,1,2e-04,1,0.002,1,40,1,487,1,0.003,1,8.1,1,7.2,1,0.004,1,0.58,1,0.001,1,1e-04,1,0.002,1,0.89,1,0.077,1,47,1,67.3,1,14.2,1,0.011,1
"10:45:00 05/08/2020",NA,NA,0.002,1,2e-04,1,0.006,1,100,1,501,1,0.007,1,10.8,1,7.1,1,0.06,1,3.1,1,0.005,1,1e-04,1,0.005,1,0.71,1,0.79,1,320,1,287,1,8.2,1,0.044,1
"10:45:00 09/08/2005",NA,NA,0.001,65,2e-04,65,0.004,65,50,65,421,65,0.003,65,10.3,65,7.5,65,0.01,65,1,65,0.002,65,1e-04,65,0.003,65,1.1,65,0.13,65,50,65,68,65,NA,NA,0.01,65
"10:45:00 12/05/2004",NA,NA,0.001,65,2e-04,65,0.002,65,30,65,530,65,0.004,65,10.2,65,7.3,65,0.003,65,0.62,65,0.001,65,1e-04,65,0.003,65,0.85,65,0.06,65,24,65,32,65,10.5,65,0.01,65
"10:45:00 15/04/2003",0.12,65,0.001,65,2e-04,65,0.006,65,35,65,440,65,0.005,65,10.5,65,7.6,65,0.01,65,0.92,65,0.003,65,1e-04,65,0.004,65,1.1,65,0.13,65,21,65,56,65,15.1,65,0.02,65
"10:45:00 15/11/1995",NA,NA,NA,NA,NA,NA,NA,NA,70,65,340,65,NA,NA,9.8,65,6.8,65,0.04,65,1.4,65,NA,NA,NA,NA,NA,NA,1.2,65,0.26,65,150,65,50,65,15,65,NA,NA
"10:50:00 06/10/2009",NA,NA,0.001,1,1e-04,1,0.001,1,50,1,377,1,0.003,1,8.9,1,6.9,1,0.039,1,0.42,1,0.001,1,1e-04,1,0.003,1,1.1,1,0.159,1,40,1,43.4,1,12.5,1,0.006,1
"10:50:00 15/03/1999",NA,NA,NA,NA,NA,NA,NA,NA,60,65,450,65,NA,NA,7.6,65,6.7,65,0.07,65,0.81,65,NA,NA,NA,NA,NA,NA,0.33,65,0.2,65,62,65,30,65,17.5,65,NA,NA
