"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"08:20:00 14/01/2009",NA,NA,NA,NA,33,65,84,65,NA,NA,7.5,65,7.2,65,0.003,65,0.21,65,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,10,65,11.6,65,21.3,65,NA,NA
"08:30:00 08/12/2006",NA,NA,NA,NA,25,65,87,65,NA,NA,8.5,65,6.7,65,0.005,65,0.16,65,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,9,65,4.6,65,18.3,65,NA,NA
"08:30:00 26/11/1997",3.6,65,12,65,20,65,110,65,71,65,7.4,65,7.2,65,0.003,65,0.28,65,3.4,65,0.11,65,1,65,11,65,4,65,25,65,0.03,65,15,65,6.3,65,21,65,6.9,65
"08:40:00 02/11/1977",NA,NA,NA,NA,NA,NA,120,65,NA,NA,8.3,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,65,17,65,NA,NA
"08:40:00 27/01/1978",NA,NA,NA,NA,NA,NA,120,65,NA,NA,6.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,65,22.1,65,NA,NA
"08:45:00 17/04/1997",3.8,65,13,65,32,65,98,65,100,65,10.4,65,6.5,65,0.003,65,0.17,65,3.6,65,0.58,65,1,65,10,65,2.7,65,26,65,0.02,65,7,65,4.3,65,14,65,7.2,65
"08:45:00 17/09/1998",2.8,65,10,65,25,65,79,65,76,65,11,65,7.3,65,0.003,65,0.16,65,2.6,65,0.14,65,1,65,7.3,65,4,65,20,65,0.02,65,6,65,7,65,11,65,7.1,65
"08:45:00 21/01/2010",NA,NA,NA,NA,20,1,70,1,NA,NA,7.6,1,6.7,1,0.006,1,0.05,1,NA,NA,0.038,1,NA,NA,NA,NA,NA,NA,NA,NA,0.008,1,8,1,9,1,19,1,NA,NA
"08:50:00 20/01/1978",NA,NA,NA,NA,NA,NA,120,65,NA,NA,6.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,65,21.5,65,NA,NA
"09:00:00 02/02/2009",NA,NA,NA,NA,25,65,80,65,NA,NA,6.5,65,6.4,65,0.003,65,0.19,65,NA,NA,0.06,65,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,8,65,7.7,65,22.9,65,NA,NA
"09:00:00 05/09/1991",NA,NA,NA,NA,NA,NA,71,65,NA,NA,10.4,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,65,10,65,NA,NA
"09:00:00 06/02/1978",NA,NA,NA,NA,NA,NA,120,65,NA,NA,7.4,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65,19.8,65,NA,NA
"09:00:00 14/05/1996",NA,NA,NA,NA,20,65,70,65,NA,NA,12.6,65,7,65,0.004,65,0.08,65,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,12,65,6.4,65,11,65,NA,NA
"09:00:00 14/05/1997",2.9,65,7,65,15,65,74,65,65,65,11,65,7.1,65,0.003,65,0.09,65,2.4,65,0.07,65,0.8,65,5.8,65,3.4,65,18,65,0.01,65,7,65,2.2,65,11,65,7.1,65
"09:00:00 15/03/2007",NA,NA,NA,NA,40,65,90,65,NA,NA,7.5,65,6.6,65,0.003,65,0.41,65,NA,NA,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,25,65,25,65,18.2,65,NA,NA
"09:00:00 15/12/2010",NA,NA,NA,NA,36,1,100,1,NA,NA,6.8,1,6.8,1,0.004,1,0.27,1,NA,NA,0.095,1,NA,NA,NA,NA,NA,NA,NA,NA,0.042,1,10,1,18,1,21.2,1,NA,NA
"09:00:00 25/05/1994",NA,NA,NA,NA,15,65,90,65,NA,NA,11,65,6.6,65,0.003,65,0.2,65,NA,NA,0.09,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,9,65,3.7,65,12,65,NA,NA
"09:00:00 27/10/2008",NA,NA,NA,NA,30,65,111,65,NA,NA,9.1,65,6.7,65,0.003,65,0.21,65,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,12,65,12,65,17,65,NA,NA
"09:05:00 12/12/1977",NA,NA,NA,NA,NA,NA,110,65,NA,NA,7.4,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,19,65,NA,NA
"09:06:00 25/01/2006",NA,NA,NA,NA,36,65,71,65,NA,NA,7.2,65,6.5,65,0.003,65,0.17,65,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,10,65,13,65,NA,NA,NA,NA
"09:10:00 15/08/1996",2.4,65,7,65,11,65,67,65,60,65,10.8,65,7,65,0.006,65,0.22,65,2.1,65,0.15,65,0.9,65,5.5,65,2.5,65,16,65,0.01,65,13,65,6.9,65,11,65,7.2,65
"09:10:00 24/01/1978",NA,NA,NA,NA,NA,NA,120,65,NA,NA,6.7,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,22.2,65,NA,NA
"09:15:00 09/12/1977",NA,NA,NA,NA,NA,NA,120,65,NA,NA,7.5,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,65,20.5,65,NA,NA
"09:15:00 17/01/2007",NA,NA,NA,NA,25,65,86,65,NA,NA,6.7,65,6.6,65,0.003,65,0.14,65,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,6,65,6.9,65,22.8,65,NA,NA
"09:16:00 13/05/2008",NA,NA,NA,NA,30,65,111,65,NA,NA,9,65,7,65,0.003,65,0.23,65,NA,NA,0.17,65,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,9,65,16.3,65,14.3,65,NA,NA
"09:20:00 21/02/1978",NA,NA,NA,NA,NA,NA,120,65,NA,NA,6.5,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,65,22,65,NA,NA
"09:20:00 22/05/2007",NA,NA,NA,NA,20,65,88,65,NA,NA,8.6,65,6.8,65,0.003,65,0.19,65,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,1,65,11,65,11.8,65,NA,NA
"09:25:00 27/05/1977",NA,NA,NA,NA,NA,NA,84,65,NA,NA,10.1,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,9.5,65,NA,NA
"09:26:00 15/02/2006",NA,NA,NA,NA,35,65,93,65,NA,NA,6.8,65,7.1,65,0.003,65,0.09,65,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,7,65,9.3,65,19.5,65,NA,NA
"09:30:00 16/01/2008",NA,NA,NA,NA,35,65,110,65,NA,NA,6.6,65,7.2,65,0.003,65,0.28,65,NA,NA,0.17,65,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,34,65,46.8,65,20.8,65,NA,NA
"09:30:00 16/07/1992",NA,NA,NA,NA,NA,NA,64,65,NA,NA,10.1,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,7,65,NA,NA
"09:30:00 23/04/2007",NA,NA,NA,NA,40,65,108,65,NA,NA,9.4,65,6.7,65,0.004,65,0.18,65,NA,NA,0.21,65,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,13,65,35.5,65,15.6,65,NA,NA
"09:30:00 24/10/1994",NA,NA,NA,NA,25,65,60,65,NA,NA,9.3,65,7.7,65,0.003,65,0.3,65,NA,NA,0.14,65,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,9,65,3.4,65,14,65,NA,NA
"09:35:00 03/03/1978",NA,NA,NA,NA,NA,NA,150,65,NA,NA,7.9,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,16.9,65,NA,NA
"09:35:00 05/04/1979",NA,NA,NA,NA,NA,NA,82,65,NA,NA,8.8,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,65,16,65,NA,NA
"09:35:00 23/02/1978",NA,NA,NA,NA,NA,NA,160,65,NA,NA,7.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,65,18.2,65,NA,NA
"09:40:00 14/04/1977",NA,NA,NA,NA,NA,NA,120,65,NA,NA,7.6,65,6.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,65,14.1,65,NA,NA
"09:40:00 16/03/2006",NA,NA,NA,NA,25,65,74,65,NA,NA,7.6,65,6.7,65,0.006,65,0.1,65,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,9,65,13,65,18.9,65,NA,NA
"09:40:00 18/05/1977",NA,NA,NA,NA,NA,NA,680,65,NA,NA,9.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,65,12,65,NA,NA
"09:40:00 19/06/2007",NA,NA,NA,NA,25,65,103,65,NA,NA,11,65,7.2,65,0.005,65,0.21,65,NA,NA,0.54,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,8,65,16.9,65,9.1,65,NA,NA
"09:45:00 08/09/1978",NA,NA,NA,NA,NA,NA,60,65,NA,NA,9.8,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,65,10.5,65,NA,NA
"09:45:00 10/10/1991",NA,NA,NA,NA,NA,NA,74,65,NA,NA,10.2,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,13.5,65,NA,NA
"09:45:00 25/05/1978",NA,NA,NA,NA,NA,NA,100,65,NA,NA,9.8,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,65,11.6,65,NA,NA
"09:50:00 26/01/1978",NA,NA,NA,NA,NA,NA,170,65,NA,NA,7,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,65,21.5,65,NA,NA
"09:50:00 26/03/1996",NA,NA,NA,NA,23,65,83,65,NA,NA,9.4,65,6.9,65,0.003,65,0.1,65,NA,NA,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,11,65,2.2,65,15.5,65,NA,NA
"09:55:00 27/10/1977",NA,NA,NA,NA,NA,NA,110,65,NA,NA,7.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,65,19.8,65,NA,NA
"09:55:00 30/04/2008",NA,NA,NA,NA,20,65,92,65,NA,NA,9.7,65,7.6,65,0.003,65,0.11,65,NA,NA,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,8,65,11.1,65,11.5,65,NA,NA
"10:00:00 06/08/1979",NA,NA,NA,NA,NA,NA,110,65,NA,NA,9.7,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,9,65,NA,NA
"10:00:00 09/10/1996",2.2,65,6,65,16,65,62,65,55,65,9.8,65,6.6,65,0.003,65,0.15,65,1.9,65,0.11,65,0.8,65,4.3,65,1.9,65,14,65,0.02,65,18,65,5.4,65,12,65,7,65
"10:00:00 17/05/1991",NA,NA,NA,NA,NA,NA,87,65,NA,NA,11.6,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,11.5,65,NA,NA
"10:00:00 22/06/2009",NA,NA,NA,NA,12,65,103,65,NA,NA,11.8,65,7.8,65,0.003,65,0.14,65,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,4.5,65,8.7,65,NA,NA
"10:00:00 28/07/2008",NA,NA,NA,NA,17,65,97,65,NA,NA,11.4,65,7.5,65,0.003,65,0.11,65,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,4.6,65,7.8,65,NA,NA
"10:00:00 30/01/1992",NA,NA,NA,NA,NA,NA,100,65,NA,NA,8.8,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,65,16.5,65,NA,NA
"10:00:00 31/07/1978",NA,NA,NA,NA,NA,NA,21,65,NA,NA,11.2,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,65,8,65,NA,NA
"10:05:00 01/07/1977",NA,NA,NA,NA,NA,NA,51,65,NA,NA,11.4,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,6.4,65,NA,NA
"10:05:00 08/11/2006",NA,NA,NA,NA,25,65,NA,NA,NA,NA,9.1,65,7.3,65,0.003,65,0.12,65,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,8,65,7,65,15.6,65,NA,NA
"10:05:00 20/08/2009",NA,NA,NA,NA,20,1,104,1,NA,NA,10.8,1,7.1,1,0.001,1,0.08,1,NA,NA,0.115,1,NA,NA,NA,NA,NA,NA,NA,NA,0.009,1,10,1,5.8,1,10.9,1,NA,NA
"10:10:00 03/06/1977",NA,NA,NA,NA,NA,NA,98,65,NA,NA,10.1,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,65,9.8,65,NA,NA
"10:10:00 11/02/1997",3.4,65,13,65,35,65,100,65,100,65,9.2,65,6.6,65,0.003,65,0.26,65,3.2,65,0.08,65,1,65,10,65,2.9,65,25,65,0.05,65,7,65,8.5,65,20.5,65,7.1,65
"10:10:00 20/09/2012",NA,NA,NA,NA,25,1,156,1,NA,NA,10.1,1,6.9,1,0.003,1,0.26,1,NA,NA,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.045,1,26,1,34.5,1,14.5,1,NA,NA
"10:10:00 29/07/1998",3,65,9,65,19,65,94,65,84,65,11.4,65,7.1,65,0.003,65,0.09,65,2.9,65,0.1,65,0.8,65,7.8,65,5,65,20,65,0.01,65,4,65,1.5,65,8,65,6.7,65
"10:20:00 19/03/1979",NA,NA,NA,NA,NA,NA,83,65,NA,NA,8.5,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,65,18,65,NA,NA
"10:20:00 22/03/1978",NA,NA,NA,NA,NA,NA,94,65,NA,NA,6.8,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,65,17.6,65,NA,NA
"10:20:00 28/04/2010",NA,NA,NA,NA,17,1,76.1,1,NA,NA,8.5,1,6.7,1,0.001,1,0.12,1,NA,NA,0.013,1,NA,NA,NA,NA,NA,NA,NA,NA,0.013,1,5,1,10.1,1,15.3,1,NA,NA
"10:25:00 15/12/2005",NA,NA,NA,NA,35,65,90,65,NA,NA,9,65,6.6,65,0.003,65,0.11,65,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,7,65,7.2,65,NA,NA,NA,NA
"10:25:00 21/03/1978",NA,NA,NA,NA,NA,NA,110,65,NA,NA,6.5,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,65,17.8,65,NA,NA
"10:25:00 22/09/2010",NA,NA,NA,NA,20,1,81,1,NA,NA,9.5,1,7,1,0.003,1,0.16,1,NA,NA,0.072,1,NA,NA,NA,NA,NA,NA,NA,NA,0.017,1,10,1,14.7,1,12.9,1,NA,NA
"10:25:00 23/05/1978",NA,NA,NA,NA,NA,NA,88,65,NA,NA,9.7,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,65,11.5,65,NA,NA
"10:25:00 28/07/1977",NA,NA,NA,NA,NA,NA,70,65,NA,NA,11.1,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,65,7.1,65,NA,NA
"10:30:00 04/07/2007",NA,NA,NA,NA,45,65,105,65,NA,NA,10.4,65,6.2,65,0.005,65,0.44,65,NA,NA,0.59,65,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,65,65,76.1,65,10,65,NA,NA
"10:30:00 11/08/1978",NA,NA,NA,NA,NA,NA,71,65,NA,NA,12,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,65,9,65,NA,NA
"10:30:00 14/08/2012",NA,NA,NA,NA,60,1,100,1,NA,NA,9.3,1,7.3,1,0.003,1,0.28,1,NA,NA,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA,0.037,1,12,1,26.5,1,9.2,1,NA,NA
"10:30:00 19/12/1978",NA,NA,NA,NA,NA,NA,78,65,NA,NA,9.7,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,16,65,NA,NA
"10:30:00 22/11/1978",NA,NA,NA,NA,NA,NA,58,65,NA,NA,9.4,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,65,16,65,NA,NA
"10:30:00 27/06/1995",NA,NA,NA,NA,26,65,78,65,NA,NA,10.4,65,7.2,65,0.003,65,0.1,65,NA,NA,0.13,65,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,5,65,4.9,65,7.5,65,NA,NA
"10:30:00 28/06/1994",NA,NA,NA,NA,15,65,140,65,NA,NA,11.8,65,7.1,65,0.005,65,0.2,65,NA,NA,0.15,65,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,14,65,7.2,65,9,65,NA,NA
"10:32:00 03/11/2005",NA,NA,NA,NA,35,65,86,65,NA,NA,7.3,65,6.4,65,0.005,65,0.14,65,NA,NA,0.06,65,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,8,65,6.8,65,NA,NA,NA,NA
"10:35:00 28/06/1991",NA,NA,NA,NA,NA,NA,87,65,NA,NA,9.9,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,9,65,NA,NA
"10:40:00 05/12/1977",NA,NA,NA,NA,NA,NA,120,65,NA,NA,8.4,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,65,18.3,65,NA,NA
"10:40:00 16/05/1978",NA,NA,NA,NA,NA,NA,130,65,NA,NA,10.4,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,11.4,65,NA,NA
"10:40:00 24/01/1979",NA,NA,NA,NA,NA,NA,110,65,NA,NA,8.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,65,23,65,NA,NA
"10:45:00 15/06/1977",NA,NA,NA,NA,NA,NA,66,65,NA,NA,10.5,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,65,8.5,65,NA,NA
"10:50:00 06/01/1978",NA,NA,NA,NA,NA,NA,110,65,NA,NA,7.9,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,20.5,65,NA,NA
"10:55:00 22/05/1978",NA,NA,NA,NA,NA,NA,81,65,NA,NA,9.2,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,65,12.1,65,NA,NA
"11:00:00 18/01/1996",NA,NA,NA,NA,50,65,110,65,NA,NA,8.2,65,6.6,65,0.006,65,0.2,65,NA,NA,0.09,65,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,13,65,6.2,65,19,65,NA,NA
"11:00:00 21/08/1978",NA,NA,NA,NA,NA,NA,72,65,NA,NA,NA,180,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,9,65,NA,NA
"11:02:00 16/08/2006",NA,NA,NA,NA,25,65,76,65,NA,NA,11,65,6.8,65,0.003,65,0.16,65,NA,NA,0.06,65,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,4,65,3.7,65,10.3,65,NA,NA
"11:05:00 10/08/2005",NA,NA,NA,NA,30,65,73,65,NA,NA,10.3,65,7.3,65,0.003,65,0.15,65,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,5.8,65,NA,NA,NA,NA
"11:05:00 18/11/1977",NA,NA,NA,NA,NA,NA,92,65,NA,NA,8,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,18.5,65,NA,NA
"11:10:00 01/07/2009",NA,NA,NA,NA,15,1,55.3,1,NA,NA,10.2,1,7.5,1,0.004,1,0.16,1,NA,NA,0.144,1,NA,NA,NA,NA,NA,NA,NA,NA,0.007,1,5,1,6.1,1,10.5,1,NA,NA
"11:10:00 10/05/2006",NA,NA,NA,NA,25,65,67,65,NA,NA,10.7,65,6.6,65,0.005,65,0.14,65,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,8,65,6.3,65,12.4,65,NA,NA
"11:10:00 28/09/2006",NA,NA,NA,NA,30,65,75,65,NA,NA,9.6,65,6.2,65,0.004,65,0.16,65,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,4.1,65,NA,NA,NA,NA
