"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"13:00:00 28/01/2010",NA,NA,0.001,1,1e-04,1,0.001,1,10,1,316.2,1,0.001,1,8.2,1,7.7,1,0.006,1,0.22,1,0.001,1,1e-04,1,0.001,1,0.005,1,0.005,1,8,1,4.7,1,25.8,1,0.004,1,NA,NA
"13:05:00 06/10/2020",NA,NA,0.001,1,2e-04,1,0.001,1,20,1,176,1,0.001,1,9.6,1,6.9,1,0.004,1,0.23,1,0.001,1,1e-04,1,0.001,1,0.048,1,0.014,1,4,1,7.2,1,16.1,1,0.002,1,NA,NA
"13:05:00 22/11/2006",NA,NA,0.001,65,2e-04,65,0.001,65,8,65,357,65,0.002,65,9.1,65,7.5,65,0.003,65,0.18,65,0.001,65,1e-04,65,0.002,65,0.006,65,0.02,65,6,65,5.2,65,23.3,65,0.004,65,NA,NA
"13:10:00 11/08/1993",NA,NA,NA,NA,NA,NA,NA,NA,5,65,240,65,NA,NA,10.8,65,7.2,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.28,65,0.02,65,6,65,7,65,11.5,65,NA,NA,NA,NA
"13:10:00 21/12/2011",NA,NA,0.001,1,2e-04,1,0.001,1,30,1,166,1,0.001,1,7.7,1,6.7,1,0.003,1,0.24,1,0.001,1,1e-04,1,0.001,1,0.003,1,0.019,1,6,1,5.9,1,22.3,1,0.008,1,NA,NA
"13:10:00 23/02/2005",NA,NA,0.001,65,2e-04,65,0.001,65,30,65,260,65,0.003,65,7.3,65,7.1,65,0.003,65,0.31,65,0.001,65,1e-04,65,0.002,65,0.13,65,0.02,65,2,65,5.1,65,23.7,65,0.01,65,NA,NA
"13:10:00 24/11/2004",NA,NA,0.001,65,2e-04,65,0.001,65,45,65,140,65,0.003,65,7.7,65,6.9,65,0.003,65,0.23,65,0.001,65,1e-04,65,0.001,65,0.01,65,0.01,65,4,65,3.3,65,23.1,65,0.004,65,NA,NA
"13:10:00 29/01/2002",NA,NA,NA,NA,NA,NA,NA,NA,20,65,230,65,NA,NA,6.8,65,7,65,0.004,65,0.23,65,NA,NA,NA,NA,NA,NA,0.07,65,0.02,65,2,65,2.8,65,23.5,65,NA,NA,NA,NA
"13:15:00 16/01/2008",NA,NA,0.002,65,2e-04,65,0.001,65,25,65,276,65,0.001,65,6.5,65,7.1,65,0.003,65,0.3,65,0.001,65,1e-04,65,0.002,65,0.01,65,0.02,65,12,65,7.4,65,25.9,65,0.009,65,NA,NA
"13:15:00 16/11/2005",NA,NA,0.001,65,2e-04,65,0.001,65,25,65,197,65,0.002,65,9.4,65,6.8,65,0.003,65,0.19,65,0.001,65,1e-04,65,0.001,65,0.003,65,0.01,65,4,65,4.3,65,NA,NA,0.002,65,NA,NA
