"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"12:20:00 14/02/2012",80,1,86,1,8.3,1,7.4,1,0.006,1,0.36,1,0.14,1,NA,NA,0.023,1,12,1,18,1,20,1
"12:20:00 17/02/2011",70,1,125,1,7.6,1,7,1,0.003,1,0.42,1,0.083,1,NA,NA,0.033,1,7,1,16.4,1,21.5,1
"12:25:00 08/10/2019",NA,NA,79,1,10,1,6.76,1,0.003,1,0.17,1,0.14,1,0.31,1,0.011,1,NA,NA,6.4,1,14.9,1
"12:30:00 04/10/2017",NA,NA,69,1,11.3,1,6.7,1,0.003,1,0.15,1,0.091,1,NA,NA,0.011,1,NA,NA,11.4,1,14.5,1
"12:30:00 05/06/2018",NA,NA,70,1,11,1,6.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,1,9,1
"12:30:00 05/12/2012",44,1,98,1,8.1,1,6.9,1,0.003,1,0.26,1,0.06,1,NA,NA,0.019,1,6,1,10.4,1,18,1
"12:30:00 06/03/2013",35,1,90,1,8.8,1,6.9,1,0.003,1,0.26,1,0.018,1,NA,NA,0.015,1,8,1,7.8,1,21.5,1
"12:30:00 07/02/2018",NA,NA,64,1,7.4,1,6.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,1,23.5,1
"12:30:00 07/03/2018",NA,NA,65,1,7.2,1,6.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,1,19,1
"12:30:00 09/11/2016",NA,NA,71,1,8.9,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1,17,1
"12:40:00 06/01/2016",32,1,74,1,8.4,1,7,1,0.009,1,0.21,1,0.014,1,NA,NA,0.011,1,4,1,5.4,1,21,1
"12:40:00 08/08/2012",64,1,94,1,11.3,1,6.9,1,0.003,1,0.3,1,0.26,1,NA,NA,0.014,1,4,1,16.4,1,8.5,1
"12:40:00 16/06/2011",60,1,86,1,11,1,7.3,1,0.003,1,0.25,1,0.14,1,NA,NA,0.022,1,5,1,13.6,1,9,1
"12:45:00 09/01/2008",NA,NA,80,65,7.7,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,65,23.8,65
"12:50:00 03/01/2019",NA,NA,72,1,7.09,1,6.83,1,0.003,1,0.22,1,0.011,1,NA,NA,0.01,1,NA,NA,3.8,1,24.4,1
"12:50:00 03/02/2016",32,1,86,1,9.2,1,6.9,1,0.003,1,0.21,1,0.031,1,NA,NA,0.01,1,3,1,6.4,1,22,1
"12:50:00 05/02/2014",45,1,69,1,8,1,6.8,1,0.003,1,0.25,1,0.009,1,NA,NA,0.022,1,2,1,5.1,1,21.5,1
"12:50:00 06/11/2013",45,1,83,1,9.4,1,7.1,1,0.003,1,0.19,1,0.1,1,NA,NA,0.025,1,4,1,7.9,1,18,1
"12:50:00 08/12/2015",24,1,75,1,8,1,6.8,1,0.005,1,0.21,1,0.013,1,NA,NA,0.015,1,4,1,6.1,1,21.5,1
"12:55:00 06/05/2015",35,1,80,1,10.7,1,6.8,1,0.003,1,0.19,1,0.025,1,NA,NA,0.014,1,2,1,4.7,1,12,1
"13:00:00 02/04/2014",30,1,73,1,8.6,1,7.2,1,0.003,1,0.19,1,0.017,1,NA,NA,0.026,1,2,1,5.2,1,19.5,1
